LeagueId;Round;MatchDate;Home;Away;HG;AG;Status;Notes
Bhutan_PremierLeague;?;2026-08-04;RTC;Thimphu FC;1;2;Finale;
Bolivia_DivisionProfesional;?;2026-08-04;Academia del Balompie;Real Oruro;4;1;Finale;
Finland_Kakkonen_GroupB;?;2026-08-04;Ilves 2;MuSa;7;0;Finale;
Germany_Regionalliga_Nordost;?;2026-08-04;Babelsberg;Altglienicke;2;2;Finale;
Germany_Regionalliga_Nordost;?;2026-08-04;Chemnitzer;Zwickau;3;1;Finale;
Germany_Regionalliga_Nordost;?;2026-08-04;Hertha II;Greifswald;1;4;Finale;
Germany_Regionalliga_Nordost;?;2026-08-04;Jena;RSV Eintracht;4;0;Finale;
Germany_Regionalliga_Nordost;?;2026-08-04;Magdeburg II;Luckenwalde;0;1;Finale;
Germany_Oberliga_SchleswigHolstein;?;2026-08-04;Flensburg;Rotenhof;4;1;Finale;
Germany_Oberliga_SchleswigHolstein;?;2026-08-04;Hohenwestedt;PSV Neumunster;1;1;Finale;
Germany_Oberliga_SchleswigHolstein;?;2026-08-04;Kaltenkirchen;Eichede;1;0;Finale;
Germany_Oberliga_SchleswigHolstein;?;2026-08-04;Nordmark Satrup;Eckernforder SV;2;1;Finale;
Germany_Oberliga_SchleswigHolstein;?;2026-08-04;Oldenburger;Lubeck II;4;0;Finale;
Germany_Oberliga_SchleswigHolstein;?;2026-08-04;Rapid Lubeck;Phonix Lubeck B;3;1;Finale;
Germany_Oberliga_SchleswigHolstein;?;2026-08-04;VfR Neumunster;Kilia Kiel;1;1;Finale;
Iceland_BestaDeildKarla;?;2026-08-04;Thor Akureyri;Breidablik;1;0;Finale;
Romania_Liga2;?;2026-08-04;Politehnica Timisoara;Chindia Targoviste;1;0;Finale;
Finland_Kolmonen_Western_Group3;?;2026-08-04;VPV;KPV/Akatemia;1;0;Finale;
