LeagueId;Round;MatchDate;Home;Away;HG;AG;Status;Notes
Armenia_PremierLeague;?;2026-08-07;Ararat;Sardarapat;1;2;Finale;
Armenia_PremierLeague;?;2026-08-07;Ararat-Armenia;Urartu;2;1;Finale;
Australia_NPLQueensland;?;2026-08-07;Queensland Lions;Brisbane Roar U23;4;2;Finale;
Australia_NPLSouthAustralia;?;2026-08-07;Adelaide Comets;NE Metrostars;0;1;Finale;
Australia_NPLSouthAustralia;?;2026-08-07;Adelaide City;Playford Patriots;1;0;Finale;
Australia_NPLSouthAustralia;?;2026-08-07;Campbelltown City;FK Beograd;2;0;Finale;
Australia_NPLSouthAustralia;?;2026-08-07;West Torrens;West Adelaide;6;1;Finale;
Australia_NSWLeagueOne;?;2026-08-07;Prospect United;Western City Rangers;1;1;Finale;
Australia_NSWLeagueOne;?;2026-08-07;Blacktown Spartans;Inter Lions;4;0;Finale;
Australia_SAStateLeague;?;2026-08-07;Adelaide Croatia Raiders;Cove FC;4;2;Finale;
Australia_TasmaniaSouthernChampionship;?;2026-08-07;Glenorchy Knights U21;Hobart Utd.;3;6;Finale;
Australia_TasmaniaSouthernChampionship;?;2026-08-07;Olympia Warriors;Clarence Zebras U21;3;1;Finale;
Australia_VictoriaPremierLeague2;?;2026-08-07;Bayside Argonauts;Box Hill;0;1;Finale;
Austria_Bundesliga;?;2026-08-07;Altach;Tirol;3;1;Finale;
Austria_2Liga;?;2026-08-07;Liefering;Hertha Wels;2;3;Finale;
Austria_2Liga;?;2026-08-07;St. Polten;Austria (Am);0;1;Finale;
Austria_2Liga;?;2026-08-07;BW Linz;Innsbruck;3;0;Finale;
Austria_Regionalliga_East;?;2026-08-07;Gloggnitz;Kremser;3;1;Finale;
Austria_Regionalliga_East;?;2026-08-07;Marchfeld;Leobendorf;0;1;Finale;
Austria_Regionalliga_East;?;2026-08-07;Parndorf;SV Donau;6;1;Finale;
Austria_Regionalliga_East;?;2026-08-07;Favoritner;Wiener Viktoria;1;0;Finale;
Austria_Regionalliga_East;?;2026-08-07;Horn;Wienerberger;3;0;Finale;
Austria_Regionalliga_East;?;2026-08-07;SV Oberwart;Warth;1;2;Finale;
Austria_Regionalliga_East;?;2026-08-07;Traiskirchen;Donaufeld Wien;0;1;Finale;
Austria_Regionalliga_West;?;2026-08-07;Hohenems;FC Lustenau;6;0;Finale;
Austria_Regionalliga_West;?;2026-08-07;Reichenau;Tirol (Am);1;0;Finale;
Austria_Regionalliga_West;?;2026-08-07;Kufstein;Lochau;1;1;Finale;
Austria_Regionalliga_South;?;2026-08-07;Deutschlandsberger;Allerheiligen;1;1;Finale;
Austria_Regionalliga_South;?;2026-08-07;Gleisdorf;Hartberg (Am);1;0;Finale;
Austria_Regionalliga_South;?;2026-08-07;Lafnitz;Weiz;2;1;Finale;
Austria_Regionalliga_South;?;2026-08-07;Tillmitsch;Kalsdorf;0;1;Finale;
Austria_Regionalliga_South;?;2026-08-07;Volkermarkt;Atus Velden;1;1;Finale;
Austria_Regionalliga_South;?;2026-08-07;A. Klagenfurt;Treibach;1;3;Finale;
Austria_Regionalliga_North;?;2026-08-07;Kuchl;Wallern/St Marienkirchen;2;2;Finale;
Austria_Regionalliga_North;?;2026-08-07;Ried (Am);Leonfelden;1;1;Finale;
Austria_Regionalliga_North;?;2026-08-07;Saalfelden;Dietach;2;4;Finale;
Austria_Regionalliga_North;?;2026-08-07;Seekirchen;Grodig;0;1;Finale;
Austria_Regionalliga_North;?;2026-08-07;Union Gurten;Schallerbach;2;0;Finale;
Austria_Burgenland;?;2026-08-07;Pinkafeld;Kohfidisch;1;1;Finale;
Austria_Burgenland;?;2026-08-07;Leithaprodersdorf;Edelserpentin;3;2;Finale;
Austria_Karnten;?;2026-08-07;Dellach/Gail;Launsdorf;;;Posticipata;
Austria_Karnten;?;2026-08-07;SGA Sirnitz;SV Spittal;2;1;Finale;
Austria_Karnten;?;2026-08-07;TSV Grafenstein;Lendorf;1;2;Finale;
Austria_Karnten;?;2026-08-07;Nussdorf;SC St. Veit;0;3;Finale;
Austria_Niederosterreich;?;2026-08-07;Ardagger;Admira (Am);0;0;Finale;
Austria_Niederosterreich;?;2026-08-07;SCU Kilb;Amstetten (Am);2;1;Finale;
Austria_Niederosterreich;?;2026-08-07;Zwettl;St. Peter in der Au;3;1;Finale;
Austria_Niederosterreich;?;2026-08-07;Wieselburg;Retz;2;2;Finale;
Austria_Oberosterreich;?;2026-08-07;Bad Ischl;Weisskirchen;1;3;Finale;
Austria_Oberosterreich;?;2026-08-07;Friedburg;Gmunden;2;0;Finale;
Austria_Oberosterreich;?;2026-08-07;ASK St.Valentin;Pregarten;2;0;Finale;
Austria_Oberosterreich;?;2026-08-07;Micheldorf;Mondsee;0;1;Finale;
Austria_Oberosterreich;?;2026-08-07;Ostermiething;Union Unis Gschwandt;;;Posticipata;
Austria_Oberosterreich;?;2026-08-07;St. Martin im Muhlreis;Garsten;0;4;Finale;
Austria_Oberosterreich;?;2026-08-07;Perg;Vocklamarkt;3;0;Finale;
Austria_Salzburg;?;2026-08-07;Puch;Eugendorf;3;3;Finale;
Austria_Salzburg;?;2026-08-07;Strasswalchen;ATSV Salzburg;5;0;Finale;
Austria_Salzburg;?;2026-08-07;USV 1960 Berndorf;SAK 1914;1;2;Finale;
Austria_Tirol;?;2026-08-07;Kematen;Absam;6;2;Finale;
Austria_Tirol;?;2026-08-07;SV Worgl;Ebbs;0;6;Finale;
Austria_Tirol;?;2026-08-07;Haiming;FC Natters;4;0;Finale;
Austria_Tirol;?;2026-08-07;SC Kundl;Munster;5;0;Finale;
Belgium_JupilerProLeague;?;2026-08-07;Club Brugge;Kortrijk;3;0;Finale;
Bhutan_PremierLeague;?;2026-08-07;Tsirang;Thimphu City;1;1;Finale;
Belarus_VysshayaLiga;?;2026-08-07;Naftan;Arsenal Dzerzhinsk;3;0;Finale;
Belarus_VysshayaLiga;?;2026-08-07;Slavia Mozyr;Dnepr Mogilev;3;0;Finale;
Bolivia_DivisionProfesional;?;2026-08-07;Blooming;Always Ready;0;0;Finale;
Bolivia_DivisionProfesional;?;2026-08-07;Academia del Balompie;Guabira;0;1;Finale;
Bulgaria_ParvaLiga;?;2026-08-07;Levski;Lok. Plovdiv;2;0;Finale;
Bulgaria_VtoraLiga;?;2026-08-07;Etar;Marek;1;0;Finale;Fonte contiene valore isolato 2 prima del risultato
Denmark_Superliga;?;2026-08-07;Sonderjyske;Viborg;0;0;Finale;
Denmark_2ndDivision;?;2026-08-07;Middelfart;Brabrand;4;0;Finale;
Denmark_2ndDivision;?;2026-08-07;B.93;Roskilde;1;2;Finale;
