LeagueId;Round;MatchDate;Home;Away;HG;AG;Status;Notes
Armenia_FirstLeague;;2026-09-21;Andranik;Lernayin Artsakh;1;2;Finale;
Armenia_FirstLeague;;2026-09-21;Araks Ararat;BKMA 2;0;0;Finale;
Armenia_FirstLeague;;2026-09-21;Shirak 2;Noah 2;2;1;Finale;
Bhutan_PremierLeague;;2026-09-21;Thimphu FC;Ugyen Academy;1;0;Finale;
Bulgaria_VtoraLiga;;2026-09-21;Svoge;Vihren;3;2;Finale;
Bulgaria_VtoraLiga;;2026-09-21;Dobrudzha;CSKA Sofia II;1;3;Finale;
Bulgaria_VtoraLiga;;2026-09-21;Spartak Pleven;Ludogorets II;1;0;Finale;
Bulgaria_VtoraLiga;;2026-09-21;Montana;Hebar;0;5;Finale;
Denmark_1stDivision;;2026-09-21;Koge;Hobro;5;2;Finale;
Estonia_Esiliiga;;2026-09-21;Nomme Kalju U21;Nomme Utd U21;2;3;Finale;
Estonia_EsiliigaB;;2026-09-21;Levadia U19;Tammeka U21;1;0;Finale;
Georgia_ErovnuliLiga;;2026-09-21;Rustavi;Iberia 1999;0;2;Finale;
Georgia_ErovnuliLiga;;2026-09-21;Spaeri;Dila Gori;1;4;Finale;
Germany_Regionalliga_West;;2026-09-21;Paderborn II;Dortmund II;1;1;Finale;
Italy_SerieC_GironeA;;2026-09-21;Dolomiti Bellunesi;Lumezzane;1;2;Finale;
Italy_SerieC_GironeA;;2026-09-21;Trento;Pro Vercelli;4;0;Finale;
Italy_SerieC_GironeA;;2026-09-21;Treviso;Desenzano;0;0;Finale;
Italy_SerieC_GironeB;;2026-09-21;Guidonia;Livorno;1;1;Finale;
Italy_SerieC_GironeB;;2026-09-21;Pianese;Sambenedettese;1;1;Finale;
Italy_SerieC_GironeB;;2026-09-21;Spezia;Vis Pesaro;3;1;Finale;
NorthMacedonia_1MFL;;2026-09-21;Struga;Arsimi;6;0;Finale;
Mexico_LigaMX_Apertura;;2026-09-21;Pachuca;Tijuana;2;2;Finale;
Mexico_LigaMX_Apertura;;2026-09-21;Toluca;Santos Laguna;2;3;Finale;
Mexico_LigaMX_Apertura;;2026-09-21;Queretaro;Leon;1;1;Finale;
Mexico_LigaExpansionMX_Apertura;;2026-09-21;Tapatio;Tlaxcala;4;0;Finale;
Norway_3rdDivision_Group1;;2026-09-21;K. Oslo 2;Ready;2;5;Finale;
Norway_3rdDivision_Group2;;2026-09-21;Spjelkavik;Rosenborg 2;0;4;Finale;
Norway_3rdDivision_Group2;;2026-09-21;Nardo;Ranheim 2;4;1;Finale;
Norway_3rdDivision_Group3;;2026-09-21;Brann 2;Fyllingsdalen;7;0;Finale;
Norway_3rdDivision_Group3;;2026-09-21;OS;Åsane 2;3;2;Finale;
Norway_3rdDivision_Group4;;2026-09-21;Odd 2;Stabaek 2;1;1;Finale;
Norway_3rdDivision_Group4;;2026-09-21;Madla IL;Haugesund 2;1;1;Finale;
Norway_3rdDivision_Group4;;2026-09-21;Staal Jorpeland;Viking 2;2;2;Finale;
Norway_3rdDivision_Group5;;2026-09-21;Tromsø 2;Kongsvinger 2;6;0;Finale;
Norway_3rdDivision_Group5;;2026-09-21;Alta;Strømsgodset 2;2;0;Finale;
Norway_3rdDivision_Group6;;2026-09-21;Brumunddal;Sandefjord 2;1;2;Finale;
Norway_3rdDivision_Group6;;2026-09-21;Lyn 2;Sarpsborg 08 2;2;2;Finale;
Romania_Superliga;;2026-09-21;Otelul;Corvinul;2;3;Finale;
Romania_Superliga;;2026-09-21;Petrolul;Csikszereda M. Ciuc;2;0;Finale;
Serbia_PrvaLiga;;2026-09-21;TSC;Dubocica;0;0;Finale;
Serbia_PrvaLiga;;2026-09-21;Vrsac;Bor 1919;1;0;Finale;
Serbia_PrvaLiga;;2026-09-21;Javor;Proleter 023;4;2;Finale;
Serbia_PrvaLiga;;2026-09-21;Jedinstvo U.;Loznica;2;3;Finale;
Serbia_PrvaLiga;;2026-09-21;Metalac;Graficar Beograd;1;0;Finale;
Serbia_PrvaLiga;;2026-09-21;Napredak;Smederevo;1;4;Finale;
Serbia_PrvaLiga;;2026-09-21;Sp. Subotica;Vozdovac;0;2;Finale;
Slovakia_2Liga;;2026-09-21;Petrzalka;Pohronie;1;0;Finale;
Sweden_Division1_Norra;;2026-09-21;Arlanda;Hammarby TFF;4;2;Finale;
Sweden_Division1_Norra;;2026-09-21;Vasalund;Assyriska FF;1;5;Finale;
Sweden_Division1_Sodra;;2026-09-21;Angelholm;Eskilsminne;2;2;Finale;
Sweden_Division1_Sodra;;2026-09-21;Jonkoping;Skövde;3;2;Finale;
Ukraine_PershaLiga;;2026-09-21;Viktoria;Nyva Ternopil;1;3;Finale;
USA_MLS;;2026-09-21;Inter Miami;San Diego FC;2;2;Finale;
USA_USLChampionship;;2026-09-21;Sacramento Republic;San Antonio;0;0;Finale;
USA_USLLeagueOne;;2026-09-21;Spokane Velocity;Boise;2;2;Finale;
