LeagueId;Round;MatchDate;PredictionDate;Home;Away;HG;AG;Status
Austria_Salzburg;11;2026-09-24;2026-09-22;SAK 1914;Thalgau;2;0;Finale
Bhutan_PremierLeague;18;2026-09-24;2026-09-22;Ugyen Academy;Drukpa;2;4;Finale
Finland_Kolmonen_Eastern_Group3;24;2026-09-24;2026-09-23;LAUTP/2;Kultsu;3;1;Finale
Finland_Kolmonen_Southern_Group1;21;2026-09-24;2026-09-23;EIF/Akademi;HooGee;3;1;Finale
Finland_Kolmonen_Southern_Group1;21;2026-09-24;2026-09-23;Malmin Palloseura;Pöxyt;2;2;Finale
Finland_Kolmonen_Southern_Group2;23;2026-09-24;2026-09-23;Kontu;Laajasalon Palloseura;1;3;Finale
Finland_Kolmonen_Southern_Group2;23;2026-09-24;2026-09-23;PPJ/Lauttasaari;PPS;7;4;Finale
Finland_Kolmonen_Western_Group1;23;2026-09-24;2026-09-23;JyTy;ÅCF;2;1;Finale
Finland_Kolmonen_Western_Group2;23;2026-09-24;2026-09-23;Fish United;Sääksjärven Loiske;4;3;Finale
France_National;8;2026-09-24;2026-09-22;Caen;Rouen;3;2;Finale
Sweden_Division2_VastraGotaland;25;2026-09-24;2026-09-22;Kongahalla;Lindome;3;2;Finale
USA_MLS;30;2026-09-24;2026-09-22;Seattle Sounders;Real Salt Lake;2;0;Finale
Finland_Kolmonen_Southern_Group3;23;2026-09-25;2026-09-25;Atlantis 2;JäPS/47;0;5;Finale
Peru_Liga2_GroupA;13;2026-09-25;2026-09-25;ADA Jaen;Llacuabamba;0;0;Finale
Peru_Liga2_GroupB;13;2026-09-25;2026-09-25;Binacional;AD Cantolao;2;2;Finale
