LeagueId;Season;Round;MatchDate;Home;Away;HG;AG;Notes
Australia_NPLNSW_2026;2026;?;2026-06-30;SD Raiders FC;Sydney FC Youth;0;1;
Australia_QueenslandPremierLeague_2026;2026;?;2026-06-30;Logan Lightning;Redlands United;5;1;
Estonia_Esiliiga_2026;2026;?;2026-06-30;Nomme United U21;Flora Tallinn U21;3;3;
Latvia_Virsliga_2026;2026;?;2026-06-30;RFS;BFC Daugavpils;3;1;
Latvia_Virsliga_2026;2026;?;2026-06-30;FK Liepaja;Ogre United;4;0;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;?;2026-06-30;Asheville City SC;Charlotte Independence 2;1;0;
USA_USLLeagueTwo_Ranger_2026;2026;?;2026-06-30;Hill Country Lobos;Lonestar;3;5;
USA_USLLeagueTwo_Mountain_2026;2026;?;2026-06-30;Atletico Union;Real Colorado;2;2;
USA_USLLeagueTwo_SouthFlorida_2026;2026;?;2026-06-29;Miami AC;Brevard;3;2;
Latvia_Virsliga_2026;2026;?;2026-07-01;FK Tukums 2000;SK Super Nova;1;2;
Australia_NPLACT_2026;2026;?;2026-07-04;Canberra White Eagles FC;Tigers FC;0;2;
Australia_NPLACT_2026;2026;?;2026-07-04;Belconnen United;Canberra Juventus;0;1;
Australia_NPLACT_2026;2026;?;2026-07-04;Monaro Panthers;Brindabella Blues FC;9;0;
Australia_NPLNSW_2026;2026;?;2026-07-04;UNSW FC;Sydney FC Youth;3;2;
Australia_NPLNSW_2026;2026;?;2026-07-04;Western Sydney Wanderers FC Youth;Sydney Olympic;2;1;
Australia_NPLNSW_2026;2026;?;2026-07-04;Manly United;SD Raiders FC;1;0;
Australia_NPLNSW_2026;2026;?;2026-07-04;Sutherland Sharks;APIA Leichhardt Tigers;3;2;
Australia_NPLQueensland_2026;2026;?;2026-07-04;Gold Coast Knights;Moreton City Excelsior;2;1;
Australia_NPLQueensland_2026;2026;?;2026-07-04;Eastern Suburbs;Peninsula Power;1;3;
Australia_NPLQueensland_2026;2026;?;2026-07-04;Lions FC;Olympic FC;2;0;
Australia_NPLSouthAustralia_2026;2026;?;2026-07-04;Adelaide City;Para Hills Knights;2;0;
Australia_NPLSouthAustralia_2026;2026;?;2026-07-04;Adelaide United Youth;Campbelltown City;0;0;
Australia_NPLSouthAustralia_2026;2026;?;2026-07-04;Sturt Lions;Playford City Patriots;1;0;
Australia_NPLSouthAustralia_2026;2026;?;2026-07-04;FK Beograd;West Adelaide;1;0;
Australia_NPLSouthAustralia_2026;2026;?;2026-07-04;North Eastern Metro Stars;West Torrens Birkalla;3;1;
Australia_NPLTasmania_2026;2026;?;2026-07-04;Devonport City;Riverside Olympic;4;1;
