LeagueId;Round;MatchDate;Home;Away;HG;AG;Status;Notes
Iceland_BestaDeildKarla;19;2026-07-06;Keflavik;Fram;1;1;Finale;
Latvia_Virsliga;22;2026-07-06;Super Nova;Ogre United;1;2;Finale;
Lithuania_Toplyga;24;2026-07-06;Suduva;Transinvest;0;0;Finale;
Sweden_Allsvenskan;17;2026-07-06;Brommapojkarna;GAIS;1;1;Finale;
Sweden_Allsvenskan;17;2026-07-06;Hacken;Djurgarden;2;4;Finale;
USA_MLSNextPro_EasternConference_SoutheastDivision;18;2026-07-06;Crown Legacy;Orlando City B;1;1;Finale;
USA_MLSNextPro_WesternConference_CentralDivision;19;2026-07-06;Austin FC II;Colorado Rapids 2;3;2;Finale;
USA_MLSNextPro_WesternConference_CentralDivision;19;2026-07-06;Huntsville;Chicago Fire II;2;2;Finale;
USA_MLSNextPro_WesternConference_PacificDivision;20;2026-07-06;Los Angeles FC 2;Real Monarchs;2;2;Finale;
USA_MLSNextPro_WesternConference_PacificDivision;20;2026-07-06;Tacoma Defiance;Portland Timbers 2;0;2;Finale;
USA_USLLeagueOne;23;2026-07-06;AV Alta;Charlotte Independ.;1;1;Finale;
USA_USLLeagueTwo_Chesapeake;27;2026-07-06;Northern Virginia;Patuxent;8;0;Finale;
USA_USLLeagueTwo_GreatLakes;23;2026-07-06;Lansing City;Flint City;2;6;Finale;
USA_USLLeagueTwo_Metropolitan;26;2026-07-06;Ironbound SC;Staten Island ASC;3;0;Finale;
USA_USLLeagueTwo_MidSouth;19;2026-07-06;Little Rock Rangers;Louisiana;2;0;Finale;
USA_USLLeagueTwo_NorCal;28;2026-07-06;Marin;Glens SC;1;1;Finale;
USA_USLLeagueTwo_NorCal;28;2026-07-06;San Francisco City;Academica SC;5;1;Finale;
USA_USLLeagueTwo_Northwest;34;2026-07-06;Bigfoot;Portland Bangers;3;0;Finale;
USA_USLLeagueTwo_SouthAtlantic;37;2026-07-06;North Carolina FC U23;Asheville City;1;2;Finale;
USA_USLLeagueTwo_SouthCentral;21;2026-07-06;East Atlanta;Birmingham 2;4;1;Finale;
