LeagueId;Round;MatchDate;Home;Away;HG;AG;Notes
USA_USLLeagueTwo_PlayIn;?;2026-07-15;Asheville City;Virginia Beach;1;0;
USA_USLLeagueTwo_PlayIn;?;2026-07-15;LVU Rush;Appalachian;0;1;
USA_USLLeagueTwo_PlayIn;?;2026-07-15;NEFC;Ironbound SC;0;3;
Australia_NPLNorthernNSW;?;2026-07-15;Charlestown Azzurri;Weston Bears;0;5;
Bhutan_PremierLeague;?;2026-07-15;Tensung;Thimphu City;0;4;
Bolivia_DivisionProfesional;?;2026-07-15;Real Oruro;Always Ready;0;6;
Bolivia_DivisionProfesional;?;2026-07-15;Blooming;GV San Jose;1;1;
Finland_Ykkosliiga;?;2026-07-15;Jippo;Mikkeli;3;1;
Finland_Kakkonen_GroupC;?;2026-07-15;GBK Kokkola;Narpes Kraft;6;2;
