LeagueId;Round;MatchDate;Home;Away;HG;AG;Status;Notes
Estonia_Meistriliiga;?;2026-06-26;Parnu JK Vaprus;Kuressaare;1;0;Finale;
Iceland_Division_1;?;2026-06-26;Fylkir;Kopavogur;0;2;Finale;
Iceland_Division_1;?;2026-06-26;Leiknir;IR Reykjavik;2;1;Finale;
Iceland_Division_2;?;2026-06-26;Selfoss;Haukar;2;2;Finale;
Iceland_Division_2;?;2026-06-26;Throttur Vogar;Fjolnir;3;2;Finale;
Norway_2ndDivision_Group2;?;2026-06-26;Eidsvold;Tromsdalen;2;1;Finale;
Norway_3rdDivision_Group1;?;2026-06-26;Vålerenga 2;Union Carl Berner;2;1;Finale;
Norway_3rdDivision_Group4;?;2026-06-26;Flekkeroy;Akra;3;1;Finale;
Sweden_Division1_Norra;?;2026-06-26;Assyriska FF;Vasalund;3;1;Finale;
Sweden_Division1_Norra;?;2026-06-26;Sollentuna;AFC Eskilstuna;1;4;Finale;
Sweden_Division1_Sodra;?;2026-06-26;Hassleholms IF;Tvaaker;4;2;Finale;
Sweden_Division1_Sodra;?;2026-06-26;Kristianstad;Trelleborg;0;0;Finale;
Sweden_Division2_NorraGotaland;?;2026-06-26;Skara;Herrestads AIF;2;0;Finale;
Sweden_Division2_NorraGotaland;?;2026-06-26;Vanersborgs IF;Stenungsunds;1;0;Finale;
Sweden_Division2_NorraSvealand;?;2026-06-26;Kungsangen;Skiljebo;1;3;Finale;
Sweden_Division2_SodraGotaland;?;2026-06-26;IFK Berga;Vaxjo Norra;3;1;Finale;
Sweden_Division2_VastraGotaland;?;2026-06-26;Dalstorps IF;Lindome;2;2;Finale;
Sweden_Division2_VastraGotaland;?;2026-06-26;Onsala;Landvetter;2;4;Finale;
Sweden_Superettan;?;2026-06-26;Brage;Falkenberg;2;4;Finale;
USA_USLLeagueTwo_Metropolitan;?;2026-06-26;Long Island Rough Riders;Cedar Stars;4;1;Finale;
USA_USLLeagueTwo_Mountain;?;2026-06-26;Flatirons FC;Utah United;0;3;Finale;
USA_USLLeagueTwo_SouthFlorida;?;2026-06-26;Brevard SC;Weston FC;1;0;Finale;
Australia_TasmaniaSouthernChampionship;13;2026-06-27;Glenorchy Knights U21;South Hobart U21;6;1;Finale;
