Engine;Metric;Rule;Threshold;Baseline_OK;Baseline_KO;Baseline_Total;Baseline_HitRate;OK;KO;Total;HitRate;DeltaVsBaseline;KO_Rate
v20;LAST5;AT_LEAST_ONE_STRONG;0.8;95;19;114;83.3333;13;4;17;76.4706;-6.8627;23.5294
v20;LAST5;BOTH_STRONG;0.8;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;LAST5;HOME_STRONG;0.8;95;19;114;83.3333;13;3;16;81.25;-2.0833;18.75
v20;LAST5;AWAY_STRONG;0.8;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0
v20;LAST5;AT_LEAST_ONE_STRONG;1.0;95;19;114;83.3333;19;6;25;76.0;-7.3333;24.0
v20;LAST5;BOTH_STRONG;1.0;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;LAST5;HOME_STRONG;1.0;95;19;114;83.3333;18;5;23;78.2609;-5.0724;21.7391
v20;LAST5;AWAY_STRONG;1.0;95;19;114;83.3333;1;1;2;50.0;-33.3333;50.0
v20;LAST5;AT_LEAST_ONE_STRONG;1.1;95;19;114;83.3333;19;6;25;76.0;-7.3333;24.0
v20;LAST5;BOTH_STRONG;1.1;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;LAST5;HOME_STRONG;1.1;95;19;114;83.3333;18;5;23;78.2609;-5.0724;21.7391
v20;LAST5;AWAY_STRONG;1.1;95;19;114;83.3333;1;1;2;50.0;-33.3333;50.0
v20;LAST5;AT_LEAST_ONE_STRONG;1.2;95;19;114;83.3333;31;11;42;73.8095;-9.5238;26.1905
v20;LAST5;BOTH_STRONG;1.2;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;LAST5;HOME_STRONG;1.2;95;19;114;83.3333;30;9;39;76.9231;-6.4102;23.0769
v20;LAST5;AWAY_STRONG;1.2;95;19;114;83.3333;1;2;3;33.3333;-50.0;66.6667
v20;LAST5;AT_LEAST_ONE_STRONG;1.3;95;19;114;83.3333;31;11;42;73.8095;-9.5238;26.1905
v20;LAST5;BOTH_STRONG;1.3;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;LAST5;HOME_STRONG;1.3;95;19;114;83.3333;30;9;39;76.9231;-6.4102;23.0769
v20;LAST5;AWAY_STRONG;1.3;95;19;114;83.3333;1;2;3;33.3333;-50.0;66.6667
v20;LAST5;AT_LEAST_ONE_STRONG;1.4;95;19;114;83.3333;41;11;52;78.8462;-4.4871;21.1538
v20;LAST5;BOTH_STRONG;1.4;95;19;114;83.3333;1;1;2;50.0;-33.3333;50.0
v20;LAST5;HOME_STRONG;1.4;95;19;114;83.3333;38;9;47;80.8511;-2.4822;19.1489
v20;LAST5;AWAY_STRONG;1.4;95;19;114;83.3333;4;3;7;57.1429;-26.1904;42.8571
v20;LAST5;AT_LEAST_ONE_STRONG;1.5;95;19;114;83.3333;41;11;52;78.8462;-4.4871;21.1538
v20;LAST5;BOTH_STRONG;1.5;95;19;114;83.3333;1;1;2;50.0;-33.3333;50.0
v20;LAST5;HOME_STRONG;1.5;95;19;114;83.3333;38;9;47;80.8511;-2.4822;19.1489
v20;LAST5;AWAY_STRONG;1.5;95;19;114;83.3333;4;3;7;57.1429;-26.1904;42.8571
v20;LAST5;AT_LEAST_ONE_STRONG;1.6;95;19;114;83.3333;56;13;69;81.1594;-2.1739;18.8406
v20;LAST5;BOTH_STRONG;1.6;95;19;114;83.3333;5;2;7;71.4286;-11.9047;28.5714
v20;LAST5;HOME_STRONG;1.6;95;19;114;83.3333;53;10;63;84.127;0.7937;15.873
v20;LAST5;AWAY_STRONG;1.6;95;19;114;83.3333;8;5;13;61.5385;-21.7948;38.4615
v22;LAST5;AT_LEAST_ONE_STRONG;0.8;482;181;663;72.6998;60;28;88;68.1818;-4.518;31.8182
v22;LAST5;BOTH_STRONG;0.8;482;181;663;72.6998;3;2;5;60.0;-12.6998;40.0
v22;LAST5;HOME_STRONG;0.8;482;181;663;72.6998;36;14;50;72.0;-0.6998;28.0
v22;LAST5;AWAY_STRONG;0.8;482;181;663;72.6998;27;16;43;62.7907;-9.9091;37.2093
v22;LAST5;AT_LEAST_ONE_STRONG;1.0;482;181;663;72.6998;102;53;155;65.8065;-6.8933;34.1935
v22;LAST5;BOTH_STRONG;1.0;482;181;663;72.6998;9;5;14;64.2857;-8.4141;35.7143
v22;LAST5;HOME_STRONG;1.0;482;181;663;72.6998;61;27;88;69.3182;-3.3816;30.6818
v22;LAST5;AWAY_STRONG;1.0;482;181;663;72.6998;50;31;81;61.7284;-10.9714;38.2716
v22;LAST5;AT_LEAST_ONE_STRONG;1.1;482;181;663;72.6998;102;53;155;65.8065;-6.8933;34.1935
v22;LAST5;BOTH_STRONG;1.1;482;181;663;72.6998;9;5;14;64.2857;-8.4141;35.7143
v22;LAST5;HOME_STRONG;1.1;482;181;663;72.6998;61;27;88;69.3182;-3.3816;30.6818
v22;LAST5;AWAY_STRONG;1.1;482;181;663;72.6998;50;31;81;61.7284;-10.9714;38.2716
v22;LAST5;AT_LEAST_ONE_STRONG;1.2;482;181;663;72.6998;168;73;241;69.7095;-2.9903;30.2905
v22;LAST5;BOTH_STRONG;1.2;482;181;663;72.6998;18;9;27;66.6667;-6.0331;33.3333
v22;LAST5;HOME_STRONG;1.2;482;181;663;72.6998;101;39;140;72.1429;-0.5569;27.8571
v22;LAST5;AWAY_STRONG;1.2;482;181;663;72.6998;85;43;128;66.4062;-6.2936;33.5938
v22;LAST5;AT_LEAST_ONE_STRONG;1.3;482;181;663;72.6998;168;73;241;69.7095;-2.9903;30.2905
v22;LAST5;BOTH_STRONG;1.3;482;181;663;72.6998;18;9;27;66.6667;-6.0331;33.3333
v22;LAST5;HOME_STRONG;1.3;482;181;663;72.6998;101;39;140;72.1429;-0.5569;27.8571
v22;LAST5;AWAY_STRONG;1.3;482;181;663;72.6998;85;43;128;66.4062;-6.2936;33.5938
v22;LAST5;AT_LEAST_ONE_STRONG;1.4;482;181;663;72.6998;234;102;336;69.6429;-3.0569;30.3571
v22;LAST5;BOTH_STRONG;1.4;482;181;663;72.6998;31;19;50;62.0;-10.6998;38.0
v22;LAST5;HOME_STRONG;1.4;482;181;663;72.6998;141;54;195;72.3077;-0.3921;27.6923
v22;LAST5;AWAY_STRONG;1.4;482;181;663;72.6998;124;67;191;64.9215;-7.7783;35.0785
v22;LAST5;AT_LEAST_ONE_STRONG;1.5;482;181;663;72.6998;234;102;336;69.6429;-3.0569;30.3571
v22;LAST5;BOTH_STRONG;1.5;482;181;663;72.6998;31;19;50;62.0;-10.6998;38.0
v22;LAST5;HOME_STRONG;1.5;482;181;663;72.6998;141;54;195;72.3077;-0.3921;27.6923
v22;LAST5;AWAY_STRONG;1.5;482;181;663;72.6998;124;67;191;64.9215;-7.7783;35.0785
