Engine;Metric;Bucket;OK;KO;Total;HitRate
v20;LAST5;0.00-0.80;10;3;13;76.9231
v20;LAST5;0.80-1.00;3;1;4;75.0
v20;LAST5;1.00-1.10;6;2;8;75.0
v20;LAST5;1.10-1.20;0;0;0;0.0
v20;LAST5;1.20-1.30;12;5;17;70.5882
v20;LAST5;1.30-1.40;0;0;0;0.0
v20;LAST5;1.40-1.50;10;0;10;100.0
v20;LAST5;1.50-1.60;0;0;0;0.0
v20;LAST5;1.60-1.80;15;2;17;88.2353
v20;LAST5;1.80-2.00;9;2;11;81.8182
v20;LAST5;>=2.00;30;4;34;88.2353
v22;LAST5;0.00-0.80;32;15;47;68.0851
v22;LAST5;0.80-1.00;28;13;41;68.2927
v22;LAST5;1.00-1.10;42;25;67;62.6866
v22;LAST5;1.10-1.20;0;0;0;0.0
v22;LAST5;1.20-1.30;66;20;86;76.7442
v22;LAST5;1.30-1.40;0;0;0;0.0
v22;LAST5;1.40-1.50;66;29;95;69.4737
v22;LAST5;1.50-1.60;0;0;0;0.0
v22;LAST5;1.60-1.80;67;28;95;70.5263
v22;LAST5;1.80-2.00;58;18;76;76.3158
v22;LAST5;>=2.00;123;33;156;78.8462
v25;LAST5;0.00-0.80;32;15;47;68.0851
v25;LAST5;0.80-1.00;28;13;41;68.2927
v25;LAST5;1.00-1.10;42;25;67;62.6866
v25;LAST5;1.10-1.20;0;0;0;0.0
v25;LAST5;1.20-1.30;66;20;86;76.7442
v25;LAST5;1.30-1.40;0;0;0;0.0
v25;LAST5;1.40-1.50;66;29;95;69.4737
v25;LAST5;1.50-1.60;0;0;0;0.0
v25;LAST5;1.60-1.80;67;28;95;70.5263
v25;LAST5;1.80-2.00;58;18;76;76.3158
v25;LAST5;>=2.00;123;33;156;78.8462
v26;LAST5;0.00-0.80;12;6;18;66.6667
v26;LAST5;0.80-1.00;11;5;16;68.75
v26;LAST5;1.00-1.10;9;7;16;56.25
v26;LAST5;1.10-1.20;0;0;0;0.0
v26;LAST5;1.20-1.30;21;4;25;84.0
v26;LAST5;1.30-1.40;0;0;0;0.0
v26;LAST5;1.40-1.50;25;8;33;75.7576
v26;LAST5;1.50-1.60;0;0;0;0.0
v26;LAST5;1.60-1.80;21;7;28;75.0
v26;LAST5;1.80-2.00;19;4;23;82.6087
v26;LAST5;>=2.00;25;3;28;89.2857
