Engine;Metric;Rule;Threshold;Baseline_OK;Baseline_KO;Baseline_Total;Baseline_HitRate;OK;KO;Total;HitRate;DeltaVsBaseline;KO_Rate;AbsoluteDrop
v25;LAST5;HOME_STRONG;0.8;482;181;663;72.6998;36;14;50;72.0;-0.6998;28.0;0.6998
v22;SEASON;AT_LEAST_ONE_STRONG;1.6;482;181;663;72.6998;255;99;354;72.0339;-0.6659;27.9661;0.6659
v25;SEASON;AT_LEAST_ONE_STRONG;1.6;482;181;663;72.6998;255;99;354;72.0339;-0.6659;27.9661;0.6659
v22;LAST5;HOME_STRONG;1.2;482;181;663;72.6998;101;39;140;72.1429;-0.5569;27.8571;0.5569
v22;LAST5;HOME_STRONG;1.3;482;181;663;72.6998;101;39;140;72.1429;-0.5569;27.8571;0.5569
v25;LAST5;HOME_STRONG;1.2;482;181;663;72.6998;101;39;140;72.1429;-0.5569;27.8571;0.5569
v25;LAST5;HOME_STRONG;1.3;482;181;663;72.6998;101;39;140;72.1429;-0.5569;27.8571;0.5569
v22;LAST5;HOME_STRONG;1.4;482;181;663;72.6998;141;54;195;72.3077;-0.3921;27.6923;0.3921
v22;LAST5;HOME_STRONG;1.5;482;181;663;72.6998;141;54;195;72.3077;-0.3921;27.6923;0.3921
v25;LAST5;HOME_STRONG;1.4;482;181;663;72.6998;141;54;195;72.3077;-0.3921;27.6923;0.3921
v25;LAST5;HOME_STRONG;1.5;482;181;663;72.6998;141;54;195;72.3077;-0.3921;27.6923;0.3921
v22;SEASON;AT_LEAST_ONE_STRONG;1.5;482;181;663;72.6998;214;81;295;72.5424;-0.1574;27.4576;0.1574
