Engine;LeagueId;Home;Away;Reason;HomePlayed;AwayPlayed
v20;Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;South Hobart U21;Storico risultati non disponibile;;
v20;Australia_TasmaniaSouthernChampionship;Olympia Warriors;University of Tasmania;Storico risultati non disponibile;;
v20;Norway_3rdDivision_Group5;Skedsmo;Skjetten;Storico risultati non disponibile;;
v20;Norway_3rdDivision_Group5;Lillestrom 2;Tromsø 2;Storico risultati non disponibile;;
v20;Australia_NPLNorthernNSW;Edgeworth E.;Kahibah;Storico risultati non disponibile;;
v20;Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;Clarence Zebras U21;Storico risultati non disponibile;;
v20;Australia_NPLACT;Monaro Panthers;Brindabella;Storico risultati non disponibile;;
v20;Australia_NPLQueensland;Queensland Lions;Olympic FC;Storico risultati non disponibile;;
v20;Australia_TasmaniaNorthernChampionship;Burnie Utd.;Riverside Olympic U21;Storico risultati non disponibile;;
v20;Australia_TasmaniaNorthernChampionship;Devonport U21;Launceston United U21;Storico risultati non disponibile;;
v20;Australia_TasmaniaSouthernChampionship;Hobart City;University of Tasmania;Storico risultati non disponibile;;
v20;Australia_TasmaniaSouthernChampionship;Taroona;Hobart Utd.;Storico risultati non disponibile;;
v20;Finland_Kakkonen_GroupB;Honka;MuSa;Storico risultati non disponibile;;
v20;Finland_Kakkonen_GroupC;Narpes Kraft;Jaro 2;Storico risultati non disponibile;;
v20;Australia_NPLACT;Canberra Croatia;Canberra Olympic;Storico risultati non disponibile;;
v20;Australia_NPLQueenslandU23;Gold Coast Blaze U23;Magic United U23;Storico risultati non disponibile;;
v20;Australia_NPLQueensland;Brisbane City;Brisbane Roar U23;Storico risultati non disponibile;;
v20;Australia_NPLQueensland;Peninsula;Wynnum Wolves;Storico risultati non disponibile;;
v20;Australia_NPLACT;Canberra Croatia;Brindabella;Storico risultati non disponibile;;
v20;Australia_NPLACT;Tuggeranong Utd;Belconnen Utd.;Storico risultati non disponibile;;
v20;Australia_NPLQueenslandU23;Moreton City Excelsior U23;Magic United U23;Storico risultati non disponibile;;
v20;Australia_NPLQueensland;Moreton City Excelsior;Magic United;Storico risultati non disponibile;;
v20;Australia_NPLTasmania;Devonport;South East Utd.;Storico risultati non disponibile;;
v20;Australia_NPLTasmania;South Hobart;Ulverstone;Storico risultati non disponibile;;
v20;Australia_NPL_NSW_U20;NWS Spirit U20;St George Saints U20;Storico risultati non disponibile;;
v20;Australia_QueenslandPremierLeague;Redlands;Capalaba;Storico risultati non disponibile;;
v20;Australia_TasmaniaNorthernChampionship;Devonport U21;Ulverstone U21;Storico risultati non disponibile;;
v20;Australia_TasmaniaNorthernChampionship;Northern Rangers;Launceston U21;Storico risultati non disponibile;;
v20;Australia_TasmaniaNorthernChampionship;Somerset;Riverside Olympic U21;Storico risultati non disponibile;;
v20;Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;Olympia Warriors;Storico risultati non disponibile;;
v20;Finland_Kakkonen_GroupC;Huima / Urho;Hercules;Storico risultati non disponibile;;
v20;Finland_Ykkonen;JJK Jyvaskyla;KuPS Akatemia;Storico risultati non disponibile;;
v20;Australia_NPLQueenslandU23;Gold Coast Knights U23;Brisbane City U23;Storico risultati non disponibile;;
v20;Iceland_BestaDeildKarla;Fram;Thor Akureyri;Storico risultati non disponibile;;
v20;Estonia_EsiliigaB;Tartu Kalev;Legion;Storico risultati non disponibile;;
v20;Australia_NPLQueenslandU23;Moreton City Excelsior U23;QLD State Team U17;Storico risultati non disponibile;;
v20;Finland_Kolmonen_Southern_Group2;LPS Helsinki;VJS Vantaa B;Meno di 5 gare precedenti;0.0;0.0
v20;Mexico_LigaMX_Apertura;Tijuana;Leon;Meno di 5 gare precedenti;1.0;1.0
v20;USA_MLSNextPro_EasternConference_NortheastDivision;New York Red Bulls II;Crown Legacy;Meno di 5 gare precedenti;14.0;1.0
v20;Germany_Oberliga_Bayern_Sud;FC Schwaig;TSV 1880 Wasserburg;Meno di 5 gare precedenti;1.0;1.0
v20;Germany_Oberliga_Bayern_Sud;Monaco 1860 II;Schalding;Meno di 5 gare precedenti;2.0;2.0
v20;Switzerland_ChallengeLeague;Wil;Xamax;Meno di 5 gare precedenti;1.0;1.0
v20;USA_MLSNextPro_EasternConference_SoutheastDivision;Chicago Fire II;Cincinnati 2;Meno di 5 gare precedenti;16.0;3.0
v22;Finland_Ykkonen;OLS Oulu;KuPS Akatemia;Storico risultati non disponibile;;
v22;Iceland_BestaDeildKarla;Keflavik;KR Reykjavik;Storico risultati non disponibile;;
v22;Iceland_BestaDeildKarla;Stjarnan;Akureyri;Storico risultati non disponibile;;
v22;Norway_2ndDivision_Group1;Sotra;Jerv;Storico risultati non disponibile;;
v22;Norway_2ndDivision_Group2;Skeid;Trygg/Lade;Storico risultati non disponibile;;
v22;Norway_3rdDivision_Group1;K. Oslo 2;Heming;Storico risultati non disponibile;;
v22;Norway_3rdDivision_Group4;Brodd;Haugesund 2;Storico risultati non disponibile;;
v22;Norway_3rdDivision_Group4;Varhaug;Odd 2;Storico risultati non disponibile;;
v22;Norway_3rdDivision_Group4;Vindbjart;Stabaek 2;Storico risultati non disponibile;;
v22;Norway_3rdDivision_Group5;Lillestrom 2;Tromsø 2;Storico risultati non disponibile;;
v22;Norway_3rdDivision_Group6;Rade;Lyn 2;Storico risultati non disponibile;;
