Engine;Metric;Rule;Threshold;Baseline_OK;Baseline_KO;Baseline_Total;Baseline_HitRate;OK;KO;Total;HitRate;DeltaVsBaseline;KO_Rate;AbsoluteDrop
v20;SEASON;AWAY_STRONG;0.8;68;10;78;87.1795;0;1;1;0.0;-87.1795;100.0;87.1795
v20;SEASON;AWAY_STRONG;1.0;68;10;78;87.1795;0;1;1;0.0;-87.1795;100.0;87.1795
v20;SEASON;AWAY_STRONG;1.1;68;10;78;87.1795;0;1;1;0.0;-87.1795;100.0;87.1795
v20;SEASON;AWAY_STRONG;1.2;68;10;78;87.1795;0;1;1;0.0;-87.1795;100.0;87.1795
v20;SEASON;AWAY_STRONG;1.3;68;10;78;87.1795;0;1;1;0.0;-87.1795;100.0;87.1795
v20;SEASON;AWAY_STRONG;1.4;68;10;78;87.1795;0;1;1;0.0;-87.1795;100.0;87.1795
v20;SEASON;AWAY_STRONG;1.5;68;10;78;87.1795;0;1;1;0.0;-87.1795;100.0;87.1795
v20;SEASON;AWAY_STRONG;1.6;68;10;78;87.1795;0;1;1;0.0;-87.1795;100.0;87.1795
v20;LAST5;AWAY_STRONG;0.8;68;10;78;87.1795;0;1;1;0.0;-87.1795;100.0;87.1795
v26;LAST5;BOTH_STRONG;0.8;115;36;151;76.1589;0;1;1;0.0;-76.1589;100.0;76.1589
v20;LAST5;AWAY_STRONG;1.2;68;10;78;87.1795;1;2;3;33.3333;-53.8462;66.6667;53.8462
v20;LAST5;AWAY_STRONG;1.3;68;10;78;87.1795;1;2;3;33.3333;-53.8462;66.6667;53.8462
v26;LAST5;BOTH_STRONG;1.0;115;36;151;76.1589;1;2;3;33.3333;-42.8256;66.6667;42.8256
v26;LAST5;BOTH_STRONG;1.1;115;36;151;76.1589;1;2;3;33.3333;-42.8256;66.6667;42.8256
v20;LAST5;AWAY_STRONG;1.0;68;10;78;87.1795;1;1;2;50.0;-37.1795;50.0;37.1795
v20;LAST5;AWAY_STRONG;1.1;68;10;78;87.1795;1;1;2;50.0;-37.1795;50.0;37.1795
v20;LAST5;AWAY_STRONG;1.4;68;10;78;87.1795;3;2;5;60.0;-27.1795;40.0;27.1795
v20;LAST5;AWAY_STRONG;1.5;68;10;78;87.1795;3;2;5;60.0;-27.1795;40.0;27.1795
v26;LAST5;BOTH_STRONG;1.2;115;36;151;76.1589;3;3;6;50.0;-26.1589;50.0;26.1589
v26;LAST5;BOTH_STRONG;1.3;115;36;151;76.1589;3;3;6;50.0;-26.1589;50.0;26.1589
v26;SEASON;BOTH_STRONG;1.5;115;36;151;76.1589;2;2;4;50.0;-26.1589;50.0;26.1589
v26;SEASON;BOTH_STRONG;1.4;115;36;151;76.1589;1;1;2;50.0;-26.1589;50.0;26.1589
v26;LAST5;BOTH_STRONG;1.6;115;36;151;76.1589;9;8;17;52.9412;-23.2177;47.0588;23.2177
v22;LAST5;BOTH_STRONG;0.8;349;128;477;73.1656;1;1;2;50.0;-23.1656;50.0;23.1656
v25;LAST5;BOTH_STRONG;0.8;349;128;477;73.1656;1;1;2;50.0;-23.1656;50.0;23.1656
v26;LAST5;AWAY_STRONG;0.8;115;36;151;76.1589;6;5;11;54.5455;-21.6134;45.4545;21.6134
v26;LAST5;BOTH_STRONG;1.4;115;36;151;76.1589;6;5;11;54.5455;-21.6134;45.4545;21.6134
v26;LAST5;BOTH_STRONG;1.5;115;36;151;76.1589;6;5;11;54.5455;-21.6134;45.4545;21.6134
v26;LAST5;AWAY_STRONG;1.0;115;36;151;76.1589;11;9;20;55.0;-21.1589;45.0;21.1589
v26;LAST5;AWAY_STRONG;1.1;115;36;151;76.1589;11;9;20;55.0;-21.1589;45.0;21.1589
v26;SEASON;BOTH_STRONG;1.6;115;36;151;76.1589;5;4;9;55.5556;-20.6033;44.4444;20.6033
v20;LAST5;AWAY_STRONG;1.6;68;10;78;87.1795;6;3;9;66.6667;-20.5128;33.3333;20.5128
v22;LAST5;BOTH_STRONG;1.4;349;128;477;73.1656;17;13;30;56.6667;-16.4989;43.3333;16.4989
v22;LAST5;BOTH_STRONG;1.5;349;128;477;73.1656;17;13;30;56.6667;-16.4989;43.3333;16.4989
v25;LAST5;BOTH_STRONG;1.4;349;128;477;73.1656;17;13;30;56.6667;-16.4989;43.3333;16.4989
v25;LAST5;BOTH_STRONG;1.5;349;128;477;73.1656;17;13;30;56.6667;-16.4989;43.3333;16.4989
v26;SEASON;AWAY_STRONG;1.1;115;36;151;76.1589;6;4;10;60.0;-16.1589;40.0;16.1589
v26;SEASON;AWAY_STRONG;1.2;115;36;151;76.1589;11;7;18;61.1111;-15.0478;38.8889;15.0478
v26;SEASON;AWAY_STRONG;1.0;115;36;151;76.1589;5;3;8;62.5;-13.6589;37.5;13.6589
v26;LAST5;AWAY_STRONG;1.6;115;36;151;76.1589;40;23;63;63.4921;-12.6668;36.5079;12.6668
v26;LAST5;AT_LEAST_ONE_STRONG;1.0;115;36;151;76.1589;23;13;36;63.8889;-12.27;36.1111;12.27
v26;LAST5;AT_LEAST_ONE_STRONG;1.1;115;36;151;76.1589;23;13;36;63.8889;-12.27;36.1111;12.27
v20;SEASON;AT_LEAST_ONE_STRONG;0.8;68;10;78;87.1795;3;1;4;75.0;-12.1795;25.0;12.1795
v26;SEASON;AWAY_STRONG;1.4;115;36;151;76.1589;20;11;31;64.5161;-11.6428;35.4839;11.6428
v22;LAST5;BOTH_STRONG;1.6;349;128;477;73.1656;37;23;60;61.6667;-11.4989;38.3333;11.4989
v25;LAST5;BOTH_STRONG;1.6;349;128;477;73.1656;37;23;60;61.6667;-11.4989;38.3333;11.4989
v26;LAST5;AWAY_STRONG;1.2;115;36;151;76.1589;19;10;29;65.5172;-10.6417;34.4828;10.6417
v26;LAST5;AWAY_STRONG;1.3;115;36;151;76.1589;19;10;29;65.5172;-10.6417;34.4828;10.6417
v22;LAST5;AWAY_STRONG;1.6;349;128;477;73.1656;117;67;184;63.587;-9.5786;36.413;9.5786
v25;LAST5;AWAY_STRONG;1.6;349;128;477;73.1656;117;67;184;63.587;-9.5786;36.413;9.5786
v26;LAST5;AWAY_STRONG;1.4;115;36;151;76.1589;32;16;48;66.6667;-9.4922;33.3333;9.4922
v26;LAST5;AWAY_STRONG;1.5;115;36;151;76.1589;32;16;48;66.6667;-9.4922;33.3333;9.4922
v26;SEASON;AWAY_STRONG;1.3;115;36;151;76.1589;16;8;24;66.6667;-9.4922;33.3333;9.4922
v22;LAST5;AWAY_STRONG;0.8;349;128;477;73.1656;16;9;25;64.0;-9.1656;36.0;9.1656
v25;LAST5;AWAY_STRONG;0.8;349;128;477;73.1656;16;9;25;64.0;-9.1656;36.0;9.1656
v26;SEASON;AWAY_STRONG;1.5;115;36;151;76.1589;27;13;40;67.5;-8.6589;32.5;8.6589
