Engine;Metric;Rule;Threshold;Baseline_OK;Baseline_KO;Baseline_Total;Baseline_HitRate;OK;KO;Total;HitRate;DeltaVsBaseline;KO_Rate
v20;SEASON;AT_LEAST_ONE_STRONG;0.8;95;19;114;83.3333;3;2;5;60.0;-23.3333;40.0
v20;SEASON;BOTH_STRONG;0.8;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;SEASON;HOME_STRONG;0.8;95;19;114;83.3333;3;1;4;75.0;-8.3333;25.0
v20;SEASON;AWAY_STRONG;0.8;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0
v20;SEASON;AT_LEAST_ONE_STRONG;1.0;95;19;114;83.3333;13;3;16;81.25;-2.0833;18.75
v20;SEASON;BOTH_STRONG;1.0;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;SEASON;HOME_STRONG;1.0;95;19;114;83.3333;13;2;15;86.6667;3.3334;13.3333
v20;SEASON;AWAY_STRONG;1.0;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0
v20;SEASON;AT_LEAST_ONE_STRONG;1.1;95;19;114;83.3333;17;4;21;80.9524;-2.3809;19.0476
v20;SEASON;BOTH_STRONG;1.1;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;SEASON;HOME_STRONG;1.1;95;19;114;83.3333;17;3;20;85.0;1.6667;15.0
v20;SEASON;AWAY_STRONG;1.1;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0
v20;SEASON;AT_LEAST_ONE_STRONG;1.2;95;19;114;83.3333;21;5;26;80.7692;-2.5641;19.2308
v20;SEASON;BOTH_STRONG;1.2;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;SEASON;HOME_STRONG;1.2;95;19;114;83.3333;21;4;25;84.0;0.6667;16.0
v20;SEASON;AWAY_STRONG;1.2;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0
v20;SEASON;AT_LEAST_ONE_STRONG;1.3;95;19;114;83.3333;25;9;34;73.5294;-9.8039;26.4706
v20;SEASON;BOTH_STRONG;1.3;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;SEASON;HOME_STRONG;1.3;95;19;114;83.3333;25;8;33;75.7576;-7.5757;24.2424
v20;SEASON;AWAY_STRONG;1.3;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0
v20;SEASON;AT_LEAST_ONE_STRONG;1.4;95;19;114;83.3333;33;10;43;76.7442;-6.5891;23.2558
v20;SEASON;BOTH_STRONG;1.4;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;SEASON;HOME_STRONG;1.4;95;19;114;83.3333;33;9;42;78.5714;-4.7619;21.4286
v20;SEASON;AWAY_STRONG;1.4;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0
v20;SEASON;AT_LEAST_ONE_STRONG;1.5;95;19;114;83.3333;38;11;49;77.551;-5.7823;22.449
v20;SEASON;BOTH_STRONG;1.5;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;SEASON;HOME_STRONG;1.5;95;19;114;83.3333;38;10;48;79.1667;-4.1666;20.8333
v20;SEASON;AWAY_STRONG;1.5;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0
v20;SEASON;AT_LEAST_ONE_STRONG;1.6;95;19;114;83.3333;46;13;59;77.9661;-5.3672;22.0339
v20;SEASON;BOTH_STRONG;1.6;95;19;114;83.3333;0;0;0;0.0;-83.3333;0.0
v20;SEASON;HOME_STRONG;1.6;95;19;114;83.3333;46;12;58;79.3103;-4.023;20.6897
v20;SEASON;AWAY_STRONG;1.6;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0
v22;SEASON;AT_LEAST_ONE_STRONG;0.8;482;181;663;72.6998;14;4;18;77.7778;5.078;22.2222
v22;SEASON;BOTH_STRONG;0.8;482;181;663;72.6998;0;0;0;0.0;-72.6998;0.0
v22;SEASON;HOME_STRONG;0.8;482;181;663;72.6998;7;2;9;77.7778;5.078;22.2222
v22;SEASON;AWAY_STRONG;0.8;482;181;663;72.6998;7;2;9;77.7778;5.078;22.2222
v22;SEASON;AT_LEAST_ONE_STRONG;1.0;482;181;663;72.6998;48;17;65;73.8462;1.1464;26.1538
v22;SEASON;BOTH_STRONG;1.0;482;181;663;72.6998;0;0;0;0.0;-72.6998;0.0
v22;SEASON;HOME_STRONG;1.0;482;181;663;72.6998;28;9;37;75.6757;2.9759;24.3243
v22;SEASON;AWAY_STRONG;1.0;482;181;663;72.6998;20;8;28;71.4286;-1.2712;28.5714
v22;SEASON;AT_LEAST_ONE_STRONG;1.1;482;181;663;72.6998;63;23;86;73.2558;0.556;26.7442
v22;SEASON;BOTH_STRONG;1.1;482;181;663;72.6998;0;0;0;0.0;-72.6998;0.0
v22;SEASON;HOME_STRONG;1.1;482;181;663;72.6998;39;11;50;78.0;5.3002;22.0
v22;SEASON;AWAY_STRONG;1.1;482;181;663;72.6998;24;12;36;66.6667;-6.0331;33.3333
v22;SEASON;AT_LEAST_ONE_STRONG;1.2;482;181;663;72.6998;91;33;124;73.3871;0.6873;26.6129
v22;SEASON;BOTH_STRONG;1.2;482;181;663;72.6998;2;0;2;100.0;27.3002;0.0
v22;SEASON;HOME_STRONG;1.2;482;181;663;72.6998;55;16;71;77.4648;4.765;22.5352
v22;SEASON;AWAY_STRONG;1.2;482;181;663;72.6998;38;17;55;69.0909;-3.6089;30.9091
v22;SEASON;AT_LEAST_ONE_STRONG;1.3;482;181;663;72.6998;120;48;168;71.4286;-1.2712;28.5714
v22;SEASON;BOTH_STRONG;1.3;482;181;663;72.6998;4;0;4;100.0;27.3002;0.0
v22;SEASON;HOME_STRONG;1.3;482;181;663;72.6998;71;22;93;76.3441;3.6443;23.6559
v22;SEASON;AWAY_STRONG;1.3;482;181;663;72.6998;53;26;79;67.0886;-5.6112;32.9114
v22;SEASON;AT_LEAST_ONE_STRONG;1.4;482;181;663;72.6998;164;67;231;70.9957;-1.7041;29.0043
v22;SEASON;BOTH_STRONG;1.4;482;181;663;72.6998;9;4;13;69.2308;-3.469;30.7692
v22;SEASON;HOME_STRONG;1.4;482;181;663;72.6998;93;31;124;75.0;2.3002;25.0
v22;SEASON;AWAY_STRONG;1.4;482;181;663;72.6998;80;40;120;66.6667;-6.0331;33.3333
v22;SEASON;AT_LEAST_ONE_STRONG;1.5;482;181;663;72.6998;214;81;295;72.5424;-0.1574;27.4576
v22;SEASON;BOTH_STRONG;1.5;482;181;663;72.6998;20;10;30;66.6667;-6.0331;33.3333
v22;SEASON;HOME_STRONG;1.5;482;181;663;72.6998;124;38;162;76.5432;3.8434;23.4568
v22;SEASON;AWAY_STRONG;1.5;482;181;663;72.6998;110;53;163;67.4847;-5.2151;32.5153
v22;SEASON;AT_LEAST_ONE_STRONG;1.6;482;181;663;72.6998;255;99;354;72.0339;-0.6659;27.9661
v22;SEASON;BOTH_STRONG;1.6;482;181;663;72.6998;32;18;50;64.0;-8.6998;36.0
v22;SEASON;HOME_STRONG;1.6;482;181;663;72.6998;151;51;202;74.7525;2.0527;25.2475
v22;SEASON;AWAY_STRONG;1.6;482;181;663;72.6998;136;66;202;67.3267;-5.3731;32.6733
v25;SEASON;AT_LEAST_ONE_STRONG;0.8;482;181;663;72.6998;14;4;18;77.7778;5.078;22.2222
v25;SEASON;BOTH_STRONG;0.8;482;181;663;72.6998;0;0;0;0.0;-72.6998;0.0
v25;SEASON;HOME_STRONG;0.8;482;181;663;72.6998;7;2;9;77.7778;5.078;22.2222
v25;SEASON;AWAY_STRONG;0.8;482;181;663;72.6998;7;2;9;77.7778;5.078;22.2222
v25;SEASON;AT_LEAST_ONE_STRONG;1.0;482;181;663;72.6998;48;17;65;73.8462;1.1464;26.1538
v25;SEASON;BOTH_STRONG;1.0;482;181;663;72.6998;0;0;0;0.0;-72.6998;0.0
v25;SEASON;HOME_STRONG;1.0;482;181;663;72.6998;28;9;37;75.6757;2.9759;24.3243
v25;SEASON;AWAY_STRONG;1.0;482;181;663;72.6998;20;8;28;71.4286;-1.2712;28.5714
v25;SEASON;AT_LEAST_ONE_STRONG;1.1;482;181;663;72.6998;63;23;86;73.2558;0.556;26.7442
v25;SEASON;BOTH_STRONG;1.1;482;181;663;72.6998;0;0;0;0.0;-72.6998;0.0
v25;SEASON;HOME_STRONG;1.1;482;181;663;72.6998;39;11;50;78.0;5.3002;22.0
