Engine;LeagueId;MatchDate;Home;Away;Band;Outcome;TeamsCount;HomePlayed;AwayPlayed;HomePoints;AwayPoints;PointsGap;HomePosition;AwayPosition;IsRelegationBattle;TestMaxPointsGap
v21;Australia_TasmaniaNorthernChampionship;2026-08-01;Riverside Olympic U21;Launceston U21;ALTA;KO;8;13;15;12;15;3;7;6;True;12
v21;Finland_Kolmonen_Southern_Group1;2026-08-06;PPJ/Ruoholahti;HooGee;ALTA;OK;12;13;13;12;10;2;9;12;True;12
v21dev;Iceland_BestaDeildKarla;2026-06-28;Hafnarfjordur;Vestmannaeyjar;ALTA;KO;12;11;11;6;11;5;12;9;True;ANY
v21dev;FaroeIslands_1Deild;2026-07-03;B36 Torshavn 2;Hoyvik;ALTA;OK;10;11;12;11;10;1;8;9;True;ANY
v21dev;Norway_OBOSLigaen;2026-07-03;Raufoss;Strømmen;ALTA;KO;16;13;13;10;11;1;16;15;True;ANY
v21dev;Australia_NPLWesternAustralia;2026-07-04;Perth Glory U23;Balcatta;ALTA;OK;13;16;16;13;8;5;11;12;True;ANY
v21dev;Finland_Kakkonen_GroupC;2026-07-04;Hercules;Vaajakoski;ALTA;OK;10;10;10;9;10;1;10;9;True;ANY
v21dev;Australia_NPLQueenslandU23;2026-07-05;Brisbane City U23;QLD State Team U17;ALTA;KO;12;16;15;18;16;2;9;11;True;ANY
v21dev;Estonia_EsiliigaB;2026-07-05;Legion;Tallinna Kalev U21;ALTA;OK;10;15;16;7;11;4;10;9;True;ANY
v21dev;Australia_TasmaniaNorthernChampionship;2026-07-11;Launceston United U21;Burnie Utd.;ALTA;OK;8;12;12;3;12;9;8;6;True;ANY
v21dev;Australia_TasmaniaNorthernChampionship;2026-07-11;Somerset;Riverside Olympic U21;ALTA;KO;8;12;10;14;9;5;5;7;True;ANY
v21dev;Australia_WAStateLeague;2026-07-11;Subiaco;Murdoch Melville;ALTA;KO;12;15;15;9;15;6;12;9;True;ANY
