Engine;LeagueId;Home;Away;Reason
v20;CzechRepublic_1Liga;Artis Brno;Mlada Boleslav;Squadra non trovata nella classifica ricostruita
v20;CzechRepublic_ChNL;Opava;Karvina;Squadra non trovata nella classifica ricostruita
v20;Slovakia_2Liga;Samorin;Malzenice;Squadra non trovata nella classifica ricostruita
v20;Hungary_NBI;MTK Budapest;Zalaegerszeg;Squadra non trovata nella classifica ricostruita
v20;Finland_Kolmonen_Western_Group3;VPV;KPV/Akatemia;Squadra non trovata nella classifica ricostruita
v21;USA_MLSNextPro_EasternConference_SoutheastDivision;Atlanta United 2;Toronto FC II;Squadra non trovata nella classifica ricostruita
v21;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;Squadra non trovata nella classifica ricostruita
v21;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;New York City II;Squadra non trovata nella classifica ricostruita
v21;Bulgaria_ParvaLiga;Slavia Sofia;CSKA Sofia;Squadra non trovata nella classifica ricostruita
v21;Bulgaria_ParvaLiga;Botev Plovdiv;Lok. Sofia;Squadra non trovata nella classifica ricostruita
v21;Romania_Superliga;Corvinul;Csikszereda M. Ciuc;Squadra non trovata nella classifica ricostruita
v21;Romania_Superliga;Rapid Bucarest;Sepsi Sf. Gheorghe;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Nord;Grossbardorf;Wurzburger FV;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Nord;Bamberg;Weiden;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Nord;DJK Bamberg;Kornburg;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Nord;Neudrossenfeld;Fortuna Regensburg;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Sud;Ismaning;Pfaffenhofen;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Sud;Kottern-St. Mang;Schwabmunchen;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Sud;Pipinsried;Heimstetten;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Sud;Rosenheim;Schalding;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Sud;Heimstetten;FC Schwaig;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Nord;Kornburg;Ammerthal;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Sud;Landshut;Erlbach;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Sud;TSV 1880 Wasserburg;Gundelfingen;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Sud;Hankofen-Hailing;Ismaning;Squadra non trovata nella classifica ricostruita
v21;Romania_Superliga;UTA Arad;Otelul;Squadra non trovata nella classifica ricostruita
v21;Finland_Kolmonen_Southern_Group2;LPS Helsinki;VJS Vantaa B;Squadra non trovata nella classifica ricostruita
v21;Finland_Kolmonen_Western_Group2;NOPS;FC Haka Juniors;Squadra non trovata nella classifica ricostruita
v21;Finland_Kolmonen_Western_Group2;LeKi Futis;Saaksjarven Loiske;Squadra non trovata nella classifica ricostruita
v21;Germany_Regionalliga_Bayern;Eichstatt;Illertissen;Squadra non trovata nella classifica ricostruita
v21;Germany_Regionalliga_Bayern;Schwaben Augsburg;Buchbach;Squadra non trovata nella classifica ricostruita
v21;Germany_Regionalliga_Bayern;Landsberg;Memmingen;Squadra non trovata nella classifica ricostruita
v21;Germany_Regionalliga_Bayern;Vilzing;Norinberga II;Squadra non trovata nella classifica ricostruita
v21;Germany_Regionalliga_Bayern;Ansbach;Burghausen;Squadra non trovata nella classifica ricostruita
v21;Germany_Regionalliga_Bayern;Bayern II;Eltersdorf;Squadra non trovata nella classifica ricostruita
v21;Germany_Regionalliga_Bayern;Bayreuth;Augsburg II;Squadra non trovata nella classifica ricostruita
v21;Finland_Kolmonen_Western_Group2;TP-49;Ylojarvi United;Squadra non trovata nella classifica ricostruita
v21;Finland_Kolmonen_Western_Group2;Tampere Utd II;Lasten;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Bayern_Nord;Neumarkt;Grossbardorf;Squadra non trovata nella classifica ricostruita
v21;Romania_Superliga;Din. Bucuresti;Univ. Craiova;Squadra non trovata nella classifica ricostruita
