Engine;Rule;MaxPointsGap;MinMatchesPlayed;Original_ALTA_OK;Original_ALTA_KO;Original_ALTA_Total;Original_ALTA_HitRate;RELEGATION_OK;RELEGATION_KO;RELEGATION_Total;RELEGATION_HitRate;Remaining_ALTA_OK;Remaining_ALTA_KO;Remaining_ALTA_Total;Remaining_ALTA_HitRate;DeltaHitRate;OK_Removed;KO_Removed
v13;BOTH_LAST_4;6;10;319;154;473;67.4419;1;2;3;33.3333;318;152;470;67.6596;0.2177;1;2
v13;BOTH_LAST_4;9;10;319;154;473;67.4419;1;2;3;33.3333;318;152;470;67.6596;0.2177;1;2
v13;BOTH_LAST_4;ANY;10;319;154;473;67.4419;4;3;7;57.1429;315;151;466;67.5966;0.1547;4;3
v13;BOTH_LAST_4;12;10;319;154;473;67.4419;3;2;5;60.0;316;152;468;67.5214;0.0795;3;2
v13;BOTH_LAST_4;3;10;319;154;473;67.4419;1;1;2;50.0;318;153;471;67.5159;0.074;1;1
v20;BOTH_LAST_4;6;10;79;30;109;72.4771;1;1;2;50.0;78;29;107;72.8972;0.4201;1;1
v20;BOTH_LAST_4;9;10;79;30;109;72.4771;2;1;3;66.6667;77;29;106;72.6415;0.1644;2;1
v20;BOTH_LAST_4;12;10;79;30;109;72.4771;2;1;3;66.6667;77;29;106;72.6415;0.1644;2;1
v20;BOTH_LAST_4;ANY;10;79;30;109;72.4771;3;1;4;75.0;76;29;105;72.381;-0.0961;3;1
v20;BOTH_LAST_4;3;10;79;30;109;72.4771;1;0;1;100.0;78;30;108;72.2222;-0.2549;1;0
v21;BOTH_LAST_4;9;10;538;240;778;69.1517;21;12;33;63.6364;517;228;745;69.396;0.2443;21;12
v21;BOTH_LAST_4;6;10;538;240;778;69.1517;19;11;30;63.3333;519;229;748;69.385;0.2333;19;11
v21;BOTH_LAST_4;12;10;538;240;778;69.1517;25;12;37;67.5676;513;228;741;69.2308;0.0791;25;12
v21;BOTH_LAST_4;3;10;538;240;778;69.1517;13;6;19;68.4211;525;234;759;69.17;0.0183;13;6
v21;BOTH_LAST_4;ANY;10;538;240;778;69.1517;29;13;42;69.0476;509;227;736;69.1576;0.0059;29;13
v21dev;BOTH_LAST_4;9;10;531;236;767;69.2308;19;12;31;61.2903;512;224;736;69.5652;0.3344;19;12
v21dev;BOTH_LAST_4;6;10;531;236;767;69.2308;17;11;28;60.7143;514;225;739;69.5535;0.3227;17;11
v21dev;BOTH_LAST_4;12;10;531;236;767;69.2308;23;12;35;65.7143;508;224;732;69.3989;0.1681;23;12
v21dev;BOTH_LAST_4;3;10;531;236;767;69.2308;11;6;17;64.7059;520;230;750;69.3333;0.1025;11;6
v21dev;BOTH_LAST_4;ANY;10;531;236;767;69.2308;27;13;40;67.5;504;223;727;69.326;0.0952;27;13
v22;BOTH_LAST_4;9;10;449;184;633;70.9321;17;7;24;70.8333;432;177;609;70.936;0.0039;17;7
v22;BOTH_LAST_4;3;10;449;184;633;70.9321;10;4;14;71.4286;439;180;619;70.9208;-0.0113;10;4
v22;BOTH_LAST_4;6;10;449;184;633;70.9321;15;6;21;71.4286;434;178;612;70.915;-0.0171;15;6
v22;BOTH_LAST_4;ANY;10;449;184;633;70.9321;22;8;30;73.3333;427;176;603;70.8126;-0.1195;22;8
v22;BOTH_LAST_4;12;10;449;184;633;70.9321;20;7;27;74.0741;429;177;606;70.7921;-0.14;20;7
v23;BOTH_LAST_4;9;10;376;158;534;70.412;12;7;19;63.1579;364;151;515;70.6796;0.2676;12;7
v23;BOTH_LAST_4;6;10;376;158;534;70.412;10;6;16;62.5;366;152;518;70.6564;0.2444;10;6
v23;BOTH_LAST_4;ANY;10;376;158;534;70.412;16;8;24;66.6667;360;150;510;70.5882;0.1762;16;8
v23;BOTH_LAST_4;12;10;376;158;534;70.412;14;7;21;66.6667;362;151;513;70.5653;0.1533;14;7
v23;BOTH_LAST_4;3;10;376;158;534;70.412;7;4;11;63.6364;369;154;523;70.5545;0.1425;7;4
v24;BOTH_LAST_4;6;10;630;321;951;66.2461;19;11;30;63.3333;611;310;921;66.3409;0.0948;19;11
v24;BOTH_LAST_4;3;10;630;321;951;66.2461;12;7;19;63.1579;618;314;932;66.309;0.0629;12;7
v24;BOTH_LAST_4;9;10;630;321;951;66.2461;22;12;34;64.7059;608;309;917;66.3032;0.0571;22;12
v24;BOTH_LAST_4;12;10;630;321;951;66.2461;27;12;39;69.2308;603;309;912;66.1184;-0.1277;27;12
v24;BOTH_LAST_4;ANY;10;630;321;951;66.2461;31;13;44;70.4545;599;308;907;66.0419;-0.2042;31;13
v25;BOTH_LAST_4;9;10;383;153;536;71.4552;12;6;18;66.6667;371;147;518;71.6216;0.1664;12;6
v25;BOTH_LAST_4;6;10;383;153;536;71.4552;10;5;15;66.6667;373;148;521;71.5931;0.1379;10;5
v25;BOTH_LAST_4;ANY;10;383;153;536;71.4552;17;7;24;70.8333;366;146;512;71.4844;0.0292;17;7
v25;BOTH_LAST_4;3;10;383;153;536;71.4552;7;3;10;70.0;376;150;526;71.4829;0.0277;7;3
v25;BOTH_LAST_4;12;10;383;153;536;71.4552;15;6;21;71.4286;368;147;515;71.4563;0.0011;15;6
