Driver;Band;BinIndex;BinMin;BinMax;OK;KO;Total;HitRate
AwayDefenseWeaknessScore;ALTA;6;8.08;8.368;0;0;0;
AwayDefenseWeaknessScore;ALTA;7;8.368;9.254;2;1;3;0.666667
AwayDefenseWeaknessScore;ALTA;8;9.254;10.0;7;2;9;0.777778
AwayDefenseWeaknessScore;MEDIA;1;4.04;5.68;2;2;4;0.5
AwayDefenseWeaknessScore;MEDIA;2;5.68;6.236;2;1;3;0.666667
AwayDefenseWeaknessScore;MEDIA;3;6.236;6.748;2;1;3;0.666667
AwayDefenseWeaknessScore;MEDIA;4;6.748;7.2;0;1;1;0.0
AwayDefenseWeaknessScore;MEDIA;5;7.2;8.08;5;0;5;1.0
AwayDefenseWeaknessScore;MEDIA;6;8.08;8.368;3;2;5;0.6
AwayDefenseWeaknessScore;MEDIA;7;8.368;9.254;0;1;1;0.0
AwayDefenseWeaknessScore;MEDIA;8;9.254;10.0;3;1;4;0.75
HomeLast10OverScore;ALTA;1;4.8;6.0;0;0;0;
HomeLast10OverScore;ALTA;2;6.0;7.2;0;0;0;
HomeLast10OverScore;ALTA;3;7.2;8.0;0;0;0;
HomeLast10OverScore;ALTA;4;8.0;8.4;1;0;1;1.0
HomeLast10OverScore;ALTA;5;8.4;9.6;2;1;3;0.666667
HomeLast10OverScore;ALTA;6;9.6;10.8;6;1;7;0.857143
HomeLast10OverScore;ALTA;7;10.8;12.0;4;2;6;0.666667
HomeLast10OverScore;MEDIA;1;4.8;6.0;5;2;7;0.714286
HomeLast10OverScore;MEDIA;2;6.0;7.2;6;2;8;0.75
HomeLast10OverScore;MEDIA;3;7.2;8.0;3;2;5;0.6
HomeLast10OverScore;MEDIA;4;8.0;8.4;1;1;2;0.5
HomeLast10OverScore;MEDIA;5;8.4;9.6;2;0;2;1.0
HomeLast10OverScore;MEDIA;6;9.6;10.8;0;2;2;0.0
HomeLast10OverScore;MEDIA;7;10.8;12.0;0;0;0;
AwayLast10OverScore;ALTA;1;4.8;6.0;0;0;0;
AwayLast10OverScore;ALTA;2;6.0;7.2;1;0;1;1.0
AwayLast10OverScore;ALTA;3;7.2;8.4;1;0;1;1.0
AwayLast10OverScore;ALTA;4;8.4;9.12;2;1;3;0.666667
AwayLast10OverScore;ALTA;5;9.12;9.6;0;0;0;
AwayLast10OverScore;ALTA;6;9.6;10.602;5;1;6;0.833333
AwayLast10OverScore;ALTA;7;10.602;10.8;1;0;1;1.0
AwayLast10OverScore;ALTA;8;10.8;12.0;3;2;5;0.6
AwayLast10OverScore;MEDIA;1;4.8;6.0;3;0;3;1.0
AwayLast10OverScore;MEDIA;2;6.0;7.2;2;2;4;0.5
AwayLast10OverScore;MEDIA;3;7.2;8.4;3;3;6;0.5
AwayLast10OverScore;MEDIA;4;8.4;9.12;5;3;8;0.625
AwayLast10OverScore;MEDIA;5;9.12;9.6;0;0;0;
AwayLast10OverScore;MEDIA;6;9.6;10.602;1;1;2;0.5
AwayLast10OverScore;MEDIA;7;10.602;10.8;1;0;1;1.0
AwayLast10OverScore;MEDIA;8;10.8;12.0;2;0;2;1.0
HomeVenueOverScore;ALTA;1;0.0;4.058;0;0;0;
HomeVenueOverScore;ALTA;2;4.058;5.0;0;0;0;
HomeVenueOverScore;ALTA;3;5.0;6.0;0;0;0;
HomeVenueOverScore;ALTA;4;6.0;6.67;1;0;1;1.0
HomeVenueOverScore;ALTA;5;6.67;7.212;4;1;5;0.8
HomeVenueOverScore;ALTA;6;7.212;7.612;2;1;3;0.666667
HomeVenueOverScore;ALTA;7;7.612;8.33;0;1;1;0.0
HomeVenueOverScore;ALTA;8;8.33;8.75;1;1;2;0.5
HomeVenueOverScore;ALTA;9;8.75;10.0;5;0;5;1.0
HomeVenueOverScore;MEDIA;1;0.0;4.058;3;2;5;0.6
HomeVenueOverScore;MEDIA;2;4.058;5.0;1;0;1;1.0
HomeVenueOverScore;MEDIA;3;5.0;6.0;4;1;5;0.8
HomeVenueOverScore;MEDIA;4;6.0;6.67;2;2;4;0.5
HomeVenueOverScore;MEDIA;5;6.67;7.212;4;1;5;0.8
HomeVenueOverScore;MEDIA;6;7.212;7.612;0;1;1;0.0
HomeVenueOverScore;MEDIA;7;7.612;8.33;1;1;2;0.5
HomeVenueOverScore;MEDIA;8;8.33;8.75;1;1;2;0.5
HomeVenueOverScore;MEDIA;9;8.75;10.0;1;0;1;1.0
AwayVenueOverScore;ALTA;1;2.0;4.0;0;0;0;
AwayVenueOverScore;ALTA;2;4.0;5.0;0;0;0;
AwayVenueOverScore;ALTA;3;5.0;6.402;1;0;1;1.0
AwayVenueOverScore;ALTA;4;6.402;7.334;2;0;2;1.0
