Driver;Band;BinIndex;BinMin;BinMax;OK;KO;Total;HitRate
HomeLongBreakDays;ALTA;8;47.8;61.0;2;0;2;1.0
HomeLongBreakDays;MEDIA;1;21.0;23.2;2;2;4;0.5
HomeLongBreakDays;MEDIA;2;23.2;35.8;0;2;2;0.0
HomeLongBreakDays;MEDIA;3;35.8;36.0;0;0;0;
HomeLongBreakDays;MEDIA;4;36.0;38.0;3;2;5;0.6
HomeLongBreakDays;MEDIA;5;38.0;42.4;3;1;4;0.75
HomeLongBreakDays;MEDIA;6;42.4;44.6;3;1;4;0.75
HomeLongBreakDays;MEDIA;7;44.6;47.8;4;0;4;1.0
HomeLongBreakDays;MEDIA;8;47.8;61.0;2;1;3;0.666667
AwayLongBreakDays;ALTA;1;21.0;22.0;2;0;2;1.0
AwayLongBreakDays;ALTA;2;22.0;23.0;1;1;2;0.5
AwayLongBreakDays;ALTA;3;23.0;28.6;3;2;5;0.6
AwayLongBreakDays;ALTA;4;28.6;34.0;2;0;2;1.0
AwayLongBreakDays;ALTA;5;34.0;36.0;1;0;1;1.0
AwayLongBreakDays;ALTA;6;36.0;41.2;2;0;2;1.0
AwayLongBreakDays;ALTA;7;41.2;43.6;0;0;0;
AwayLongBreakDays;ALTA;8;43.6;48.2;0;1;1;0.0
AwayLongBreakDays;ALTA;9;48.2;61.0;2;0;2;1.0
AwayLongBreakDays;MEDIA;1;21.0;22.0;0;0;0;
AwayLongBreakDays;MEDIA;2;22.0;23.0;1;3;4;0.25
AwayLongBreakDays;MEDIA;3;23.0;28.6;0;0;0;
AwayLongBreakDays;MEDIA;4;28.6;34.0;1;0;1;1.0
AwayLongBreakDays;MEDIA;5;34.0;36.0;2;2;4;0.5
AwayLongBreakDays;MEDIA;6;36.0;41.2;5;2;7;0.714286
AwayLongBreakDays;MEDIA;7;41.2;43.6;3;1;4;0.75
AwayLongBreakDays;MEDIA;8;43.6;48.2;3;0;3;1.0
AwayLongBreakDays;MEDIA;9;48.2;61.0;2;1;3;0.666667
HomeMatchesSinceRestart;ALTA;1;1.0;2.0;5;0;5;1.0
HomeMatchesSinceRestart;ALTA;2;2.0;3.4;0;1;1;0.0
HomeMatchesSinceRestart;ALTA;3;3.4;5.0;0;0;0;
HomeMatchesSinceRestart;ALTA;4;5.0;7.0;4;1;5;0.8
HomeMatchesSinceRestart;ALTA;5;7.0;10.0;4;2;6;0.666667
HomeMatchesSinceRestart;MEDIA;1;1.0;2.0;8;5;13;0.615385
HomeMatchesSinceRestart;MEDIA;2;2.0;3.4;7;4;11;0.636364
HomeMatchesSinceRestart;MEDIA;3;3.4;5.0;1;0;1;1.0
HomeMatchesSinceRestart;MEDIA;4;5.0;7.0;1;0;1;1.0
HomeMatchesSinceRestart;MEDIA;5;7.0;10.0;0;0;0;
AwayMatchesSinceRestart;ALTA;1;1.0;1.8;4;0;4;1.0
AwayMatchesSinceRestart;ALTA;2;1.8;2.0;0;0;0;
AwayMatchesSinceRestart;ALTA;3;2.0;3.0;1;1;2;0.5
AwayMatchesSinceRestart;ALTA;4;3.0;4.6;2;0;2;1.0
AwayMatchesSinceRestart;ALTA;5;4.6;5.8;3;1;4;0.75
AwayMatchesSinceRestart;ALTA;6;5.8;10.0;3;2;5;0.6
AwayMatchesSinceRestart;MEDIA;1;1.0;1.8;9;4;13;0.692308
AwayMatchesSinceRestart;MEDIA;2;1.8;2.0;0;0;0;
AwayMatchesSinceRestart;MEDIA;3;2.0;3.0;6;4;10;0.6
AwayMatchesSinceRestart;MEDIA;4;3.0;4.6;2;1;3;0.666667
AwayMatchesSinceRestart;MEDIA;5;4.6;5.8;0;0;0;
AwayMatchesSinceRestart;MEDIA;6;5.8;10.0;0;0;0;
HomeGFAvgSinceRestart;ALTA;1;0.0;0.1;1;0;1;1.0
HomeGFAvgSinceRestart;ALTA;2;0.1;0.7;0;0;0;
HomeGFAvgSinceRestart;ALTA;3;0.7;1.0;0;0;0;
HomeGFAvgSinceRestart;ALTA;4;1.0;1.5;4;0;4;1.0
HomeGFAvgSinceRestart;ALTA;5;1.5;2.0;1;0;1;1.0
HomeGFAvgSinceRestart;ALTA;6;2.0;2.73;2;3;5;0.4
HomeGFAvgSinceRestart;ALTA;7;2.73;3.0;1;0;1;1.0
HomeGFAvgSinceRestart;ALTA;8;3.0;6.0;4;1;5;0.8
HomeGFAvgSinceRestart;MEDIA;1;0.0;0.1;3;1;4;0.75
HomeGFAvgSinceRestart;MEDIA;2;0.1;0.7;3;1;4;0.75
HomeGFAvgSinceRestart;MEDIA;3;0.7;1.0;0;0;0;
HomeGFAvgSinceRestart;MEDIA;4;1.0;1.5;1;1;2;0.5
HomeGFAvgSinceRestart;MEDIA;5;1.5;2.0;3;1;4;0.75
HomeGFAvgSinceRestart;MEDIA;6;2.0;2.73;5;4;9;0.555556
HomeGFAvgSinceRestart;MEDIA;7;2.73;3.0;0;0;0;
HomeGFAvgSinceRestart;MEDIA;8;3.0;6.0;2;1;3;0.666667
AwayGFAvgSinceRestart;ALTA;1;0.0;0.8912;1;0;1;1.0
AwayGFAvgSinceRestart;ALTA;2;0.8912;1.0;0;1;1;0.0
AwayGFAvgSinceRestart;ALTA;3;1.0;1.5;4;0;4;1.0
AwayGFAvgSinceRestart;ALTA;4;1.5;2.0;0;0;0;
AwayGFAvgSinceRestart;ALTA;5;2.0;2.25;2;0;2;1.0
AwayGFAvgSinceRestart;ALTA;6;2.25;2.5;1;1;2;0.5
AwayGFAvgSinceRestart;ALTA;7;2.5;3.0;0;1;1;0.0
AwayGFAvgSinceRestart;ALTA;8;3.0;3.4;3;0;3;1.0
AwayGFAvgSinceRestart;ALTA;9;3.4;5.0;2;1;3;0.666667
AwayGFAvgSinceRestart;MEDIA;1;0.0;0.8912;2;2;4;0.5
AwayGFAvgSinceRestart;MEDIA;2;0.8912;1.0;0;0;0;
AwayGFAvgSinceRestart;MEDIA;3;1.0;1.5;5;1;6;0.833333
AwayGFAvgSinceRestart;MEDIA;4;1.5;2.0;1;1;2;0.5
AwayGFAvgSinceRestart;MEDIA;5;2.0;2.25;4;1;5;0.8
AwayGFAvgSinceRestart;MEDIA;6;2.25;2.5;2;0;2;1.0
AwayGFAvgSinceRestart;MEDIA;7;2.5;3.0;1;2;3;0.333333
AwayGFAvgSinceRestart;MEDIA;8;3.0;3.4;1;1;2;0.5
AwayGFAvgSinceRestart;MEDIA;9;3.4;5.0;1;1;2;0.5
HomeOverRateSinceRestart;ALTA;1;0.0;0.44;2;0;2;1.0
HomeOverRateSinceRestart;ALTA;2;0.44;0.6002;0;0;0;
HomeOverRateSinceRestart;ALTA;3;0.6002;0.714;1;0;1;1.0
HomeOverRateSinceRestart;ALTA;4;0.714;1.0;10;4;14;0.714286
HomeOverRateSinceRestart;MEDIA;1;0.0;0.44;6;1;7;0.857143
HomeOverRateSinceRestart;MEDIA;2;0.44;0.6002;4;0;4;1.0
HomeOverRateSinceRestart;MEDIA;3;0.6002;0.714;0;2;2;0.0
HomeOverRateSinceRestart;MEDIA;4;0.714;1.0;7;6;13;0.538462
AwayOverRateSinceRestart;ALTA;1;0.0;0.1;0;0;0;
AwayOverRateSinceRestart;ALTA;2;0.1;0.5;0;0;0;
AwayOverRateSinceRestart;ALTA;3;0.5;0.667;0;0;0;
AwayOverRateSinceRestart;ALTA;4;0.667;0.96;3;2;5;0.6
AwayOverRateSinceRestart;ALTA;5;0.96;1.0;10;2;12;0.833333
AwayOverRateSinceRestart;MEDIA;1;0.0;0.1;3;2;5;0.6
AwayOverRateSinceRestart;MEDIA;2;0.1;0.5;0;0;0;
AwayOverRateSinceRestart;MEDIA;3;0.5;0.667;3;3;6;0.5
AwayOverRateSinceRestart;MEDIA;4;0.667;0.96;0;1;1;0.0
AwayOverRateSinceRestart;MEDIA;5;0.96;1.0;11;3;14;0.785714
HomeRestartReady;ALTA;1;0.0;1.0;13;4;17;0.764706
HomeRestartReady;MEDIA;1;0.0;1.0;17;9;26;0.653846
AwayRestartReady;ALTA;1;0.0;1.0;13;4;17;0.764706
AwayRestartReady;MEDIA;1;0.0;1.0;17;9;26;0.653846
HomeRestartNotReady;ALTA;1;0.0;1.0;13;4;17;0.764706
HomeRestartNotReady;MEDIA;1;0.0;1.0;17;9;26;0.653846
AwayRestartNotReady;ALTA;1;0.0;1.0;13;4;17;0.764706
AwayRestartNotReady;MEDIA;1;0.0;1.0;17;9;26;0.653846
BothTeamsRestartNotReady;ALTA;1;0.0;1.0;13;4;17;0.764706
BothTeamsRestartNotReady;MEDIA;1;0.0;1.0;17;9;26;0.653846
AtLeastOneTeamRestartNotReady;ALTA;1;0.0;1.0;13;4;17;0.764706
AtLeastOneTeamRestartNotReady;MEDIA;1;0.0;1.0;17;9;26;0.653846
