LeagueId;PredictionDate;MatchDate;Round;Home;Away;Band;Outcome;HG;AG;MatchStatus;Reason;BaseCandidates;HistorySource
Denmark_1stDivision;2026-07-30;2026-07-31;2;Koge;Vejle;MEDIA;KO;0;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Poland_Division1;2026-07-30;2026-07-31;2;LKS Lodz;Polonia B.;BASSA;OK;2;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Bulgaria_ParvaLiga;2026-07-30;2026-07-31;3;CSKA 1948 Sofia;Arda;BASSA;OK;2;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Ukraine_PershaLiga;2026-07-30;2026-07-31;2;UCSA;Oleksandriya;BASSA;OK;4;4;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Switzerland_ChallengeLeague;2026-07-30;2026-07-31;2;Nyonnais;Rapperswil-Jona;BASSA;OK;1;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
CzechRepublic_ChNL;2026-07-30;2026-07-31;2;Karvina;Vlasim;BASSA;KO;1;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Regionalliga_Nordost;2026-07-30;2026-07-31;2;Babelsberg;Jena;BASSA;KO;0;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Sud;2026-07-30;2026-07-31;3;Rosenheim;Hankofen-Hailing;BASSA;OK;2;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Regionalliga_Nordost;2026-07-30;2026-07-31;2;Chemnitzer;BFC Preussen;BASSA;OK;3;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Slovakia_2Liga;2026-07-30;2026-07-31;2;L. Mikulas;Galanta;BASSA;KO;2;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Nord;2026-07-30;2026-07-31;4;Neudrossenfeld;Gebenbach;BASSA;KO;0;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Poland_Ekstraklasa;2026-07-30;2026-07-31;2;Motor Lublin;Jagiellonia;BASSA;OK;1;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Regionalliga_Bayern;2026-07-30;2026-07-31;2;Illertissen;Schwaben Augsburg;BASSA;KO;2;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Regionalliga_Bayern;2026-07-30;2026-07-31;2;Eltersdorf;Vilzing;BASSA;KO;0;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Regionalliga_Bayern;2026-07-30;2026-07-31;2;Buchbach;Eichstatt;BASSA;OK;5;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
