Driver;ALTA_OK_Count;ALTA_OK_Mean;ALTA_OK_Median;ALTA_OK_StdDev;ALTA_KO_Count;ALTA_KO_Mean;ALTA_KO_Median;ALTA_KO_StdDev;MEDIA_OK_Count;MEDIA_OK_Mean;MEDIA_OK_Median;MEDIA_OK_StdDev;MEDIA_KO_Count;MEDIA_KO_Mean;MEDIA_KO_Median;MEDIA_KO_StdDev;AltaDeltaMean;MediaDeltaMean;AltaAUC;MediaAUC;AltaEffectSize;MediaEffectSize;AltaDirection;MediaDirection;AltaPower;MediaPower
AwayMatchesSinceRestart;117;2.213675;2.0;1.728737;41;2.804878;2.0;2.688907;106;2.377358;2.0;1.679245;83;2.53012;2.0;1.499698;-0.591203;-0.152762;0.456014;0.451012;-0.292827;-0.095298;LOWER_IS_BETTER;LOWER_IS_BETTER;0.087972;0.097977
HomeLongBreakDays;117;30.034188;28.0;9.074178;41;31.390244;31.0;9.923802;106;37.726415;36.0;11.751783;83;36.746988;35.0;12.399809;-1.356056;0.979427;0.451115;0.530689;-0.145821;0.081346;LOWER_IS_BETTER;HIGHER_IS_BETTER;0.097769;0.061378
HomeAttackScore;117;11.165043;11.82;2.030182;41;10.965854;11.82;2.267691;106;9.238396;9.065;2.55581;83;8.789518;8.71;2.379756;0.199189;0.448878;0.520013;0.54734;0.09514;0.180988;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.040025;0.094681
HomeMatchesSinceRestart;117;2.213675;2.0;1.796621;41;2.878049;2.0;2.821478;106;2.415094;2.0;1.709396;83;2.542169;2.0;1.531211;-0.664374;-0.127074;0.463519;0.4584;-0.315248;-0.077785;LOWER_IS_BETTER;LOWER_IS_BETTER;0.072962;0.083201
BothTeamsRestartNotReady;117;0.025641;0.0;0.158062;41;0.097561;0.0;0.29672;106;0.122642;0.0;0.328025;83;0.072289;0.0;0.258966;-0.07192;0.050352;0.46404;0.525176;-0.354528;0.168005;LOWER_IS_BETTER;HIGHER_IS_BETTER;0.07192;0.050352
HomeWinlessLast5;117;0.051282;0.0;0.220572;41;0.121951;0.0;0.327229;106;0.084906;0.0;0.278741;83;0.144578;0.0;0.351675;-0.070669;-0.059673;0.464665;0.470164;-0.280148;-0.190755;LOWER_IS_BETTER;LOWER_IS_BETTER;0.070669;0.059673
AwayOverRateSinceRestart;117;0.799966;1.0;0.338848;41;0.80261;1.0;0.309671;106;0.629547;0.75;0.389902;83;0.658072;0.667;0.356126;-0.002644;-0.028525;0.527413;0.486133;-0.007973;-0.075973;HIGHER_IS_BETTER;LOWER_IS_BETTER;0.054826;0.027734
AwayLowPPGLowGF;117;0.042735;0.0;0.202259;41;0.02439;0.0;0.154257;106;0.150943;0.0;0.357994;83;0.096386;0.0;0.295119;0.018345;0.054558;0.509172;0.527279;0.095994;0.164384;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.018345;0.054558
RankingGapScore;117;2.774615;2.69;1.61784;41;2.869756;3.1;1.74284;106;2.468113;2.295;1.594525;83;2.301807;2.0;1.51572;-0.095141;0.166306;0.485616;0.52654;-0.057633;0.106575;LOWER_IS_BETTER;HIGHER_IS_BETTER;0.028768;0.05308
HomeLowPPGLowGF;117;0.042735;0.0;0.202259;41;0.073171;0.0;0.260417;106;0.056604;0.0;0.231084;83;0.108434;0.0;0.310927;-0.030436;-0.05183;0.484782;0.474085;-0.139198;-0.192656;LOWER_IS_BETTER;LOWER_IS_BETTER;0.030436;0.05183
AwayLast10OverScore;117;9.621966;9.6;1.523431;41;9.6;9.6;1.522514;106;7.534623;7.2;1.675157;83;7.627349;7.2;1.715706;0.021966;-0.092727;0.512716;0.475222;0.014421;-0.054769;HIGHER_IS_BETTER;LOWER_IS_BETTER;0.025433;0.049557
AwayWinlessLast5;117;0.076923;0.0;0.266469;41;0.04878;0.0;0.215409;106;0.179245;0.0;0.383558;83;0.13253;0.0;0.339066;0.028143;0.046715;0.514071;0.523358;0.110643;0.128086;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.028143;0.046715
HomeRestartNotReady;117;0.273504;0.0;0.445757;41;0.317073;0.0;0.465336;106;0.339623;0.0;0.473581;83;0.301205;0.0;0.458782;-0.043569;0.038418;0.478216;0.519209;-0.096635;0.082239;LOWER_IS_BETTER;HIGHER_IS_BETTER;0.043569;0.038418
HomeRestartReady;117;0.726496;1.0;0.445757;41;0.682927;1.0;0.465336;106;0.660377;1.0;0.473581;83;0.698795;1.0;0.458782;0.043569;-0.038418;0.521784;0.480791;0.096635;-0.082239;HIGHER_IS_BETTER;LOWER_IS_BETTER;0.043569;0.038418
WorstPPGLast5;117;1.05641;1.0;0.563776;41;1.034146;1.2;0.501515;106;0.933962;0.9;0.524654;83;0.971084;1.0;0.524239;0.022264;-0.037122;0.509694;0.479654;0.040592;-0.07078;HIGHER_IS_BETTER;LOWER_IS_BETTER;0.019387;0.040691
HomeGALast5Avg;117;2.078632;2.0;0.914071;41;1.985366;2.0;0.794358;106;1.611321;1.6;0.65579;83;1.578313;1.6;0.640792;0.093267;0.033008;0.519908;0.506706;0.105395;0.050839;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.039817;0.013412
AveragePPGLast5;117;1.475214;1.4;0.500582;41;1.490244;1.5;0.45199;106;1.348113;1.4;0.455414;83;1.391566;1.4;0.436913;-0.01503;-0.043453;0.483427;0.480166;-0.030763;-0.097124;LOWER_IS_BETTER;LOWER_IS_BETTER;0.033146;0.039668
TotalPPGLast5;117;2.950427;2.8;1.001164;41;2.980488;3.0;0.90398;106;2.696226;2.8;0.910828;83;2.783133;2.8;0.873825;-0.03006;-0.086906;0.483427;0.480166;-0.030763;-0.097124;LOWER_IS_BETTER;LOWER_IS_BETTER;0.033146;0.039668
HomeDefenseWeaknessScore;117;6.567521;7.01;1.511113;41;6.680976;7.27;1.402583;106;5.575943;5.745;1.615258;83;5.521084;5.45;1.617646;-0.113454;0.054859;0.493538;0.511878;-0.07645;0.033941;LOWER_IS_BETTER;HIGHER_IS_BETTER;0.012925;0.023755
BothTeamsLowPPGLowGF;117;0.0;0.0;0.0;41;0.0;0.0;0.0;106;0.009434;0.0;0.096669;83;0.0;0.0;0.0;0.0;0.009434;0.5;0.504717;0.0;0.130236;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.0;0.009434
BothTeamsWinlessLast5;117;0.0;0.0;0.0;41;0.0;0.0;0.0;106;0.018868;0.0;0.136059;83;0.012048;0.0;0.109101;0.0;0.00682;0.5;0.50341;0.0;0.054577;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.0;0.00682
AwayLongBreakDetected;117;1.0;1.0;0.0;41;1.0;1.0;0.0;106;1.0;1.0;0.0;83;1.0;1.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.0;0.0
HomeLongBreakDetected;117;1.0;1.0;0.0;41;1.0;1.0;0.0;106;1.0;1.0;0.0;83;1.0;1.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.0;0.0
