Team;LeagueId
Colorado Storm;USA_USLLeagueTwo_Mountain_2026
Utah United;USA_USLLeagueTwo_Mountain_2026
ALBION SC Colorado;USA_USLLeagueTwo_Mountain_2026
Albion Colorado;USA_USLLeagueTwo_Mountain_2026
Real Colorado;USA_USLLeagueTwo_Mountain_2026
Atletico Union;USA_USLLeagueTwo_Mountain_2026
CISA;USA_USLLeagueTwo_Mountain_2026
Flatirons FC;USA_USLLeagueTwo_Mountain_2026
Denton Diablos;USA_USLLeagueTwo_Ranger_2026
McKinney Chupacabras FC;USA_USLLeagueTwo_Ranger_2026
McKinney Chupacabras;USA_USLLeagueTwo_Ranger_2026
Texoma FC;USA_USLLeagueTwo_Ranger_2026
Lubbock Matadors SC;USA_USLLeagueTwo_Ranger_2026
Lubbock Matadors;USA_USLLeagueTwo_Ranger_2026
West Texas FC;USA_USLLeagueTwo_Ranger_2026
West Texas;USA_USLLeagueTwo_Ranger_2026
Fort Worth Vaqueros FC;USA_USLLeagueTwo_Ranger_2026
Fort Worth Vaqueros;USA_USLLeagueTwo_Ranger_2026
Peoria City;USA_USLLeagueTwo_GreatPlains_2026
Santafe Wanderers FC;USA_USLLeagueTwo_GreatPlains_2026
Santafe Wanderers;USA_USLLeagueTwo_GreatPlains_2026
Des Moines Menace;USA_USLLeagueTwo_GreatPlains_2026
FC Ambush;USA_USLLeagueTwo_GreatPlains_2026
Sunflower State FC;USA_USLLeagueTwo_GreatPlains_2026
Sunflower State;USA_USLLeagueTwo_GreatPlains_2026
Springfield FC;USA_USLLeagueTwo_GreatPlains_2026
Steel City FC;USA_USLLeagueTwo_GreatForest_2026
Steel City;USA_USLLeagueTwo_GreatForest_2026
FC Buffalo;USA_USLLeagueTwo_GreatForest_2026
Lorain County Leviathan FC;USA_USLLeagueTwo_GreatForest_2026
Pittsburgh Riverhounds SC 2;USA_USLLeagueTwo_GreatForest_2026
Cleveland Force SC;USA_USLLeagueTwo_GreatForest_2026
Akron City FC;USA_USLLeagueTwo_GreatForest_2026
Erie Sports Center;USA_USLLeagueTwo_GreatForest_2026
Little Rock Rangers;USA_USLLeagueTwo_MidSouth_2026
Louisiana Krewe FC;USA_USLLeagueTwo_MidSouth_2026
Red River FC;USA_USLLeagueTwo_MidSouth_2026
Hattiesburg FC;USA_USLLeagueTwo_MidSouth_2026
Mississippi Brilla FC;USA_USLLeagueTwo_MidSouth_2026
Mississippi Brilla;USA_USLLeagueTwo_MidSouth_2026
Memphis FC;USA_USLLeagueTwo_MidSouth_2026
Jackson Boom;USA_USLLeagueTwo_MidSouth_2026
West Virginia United;USA_USLLeagueTwo_Valley_2026
West Virginia;USA_USLLeagueTwo_Valley_2026
Louisville City FC;USA_USLLeagueTwo_Valley_2026
Louisville City 2;USA_USLLeagueTwo_Valley_2026
Northern Indiana FC;USA_USLLeagueTwo_Valley_2026
Dayton Dutch Lions FC;USA_USLLeagueTwo_Valley_2026
Kings Hammer FC - Columbus;USA_USLLeagueTwo_Valley_2026
Toledo Villa FC;USA_USLLeagueTwo_Valley_2026
Fort Lauderdale United;USA_USLLeagueTwo_SouthFlorida_2026
Fort Lauderdale;USA_USLLeagueTwo_SouthFlorida_2026
Lakeland United FC;USA_USLLeagueTwo_SouthFlorida_2026
Weston FC;USA_USLLeagueTwo_SouthFlorida_2026
Weston;USA_USLLeagueTwo_SouthFlorida_2026
Miami AC;USA_USLLeagueTwo_SouthFlorida_2026
Miami;USA_USLLeagueTwo_SouthFlorida_2026
Brevard SC;USA_USLLeagueTwo_SouthFlorida_2026
FC Miami City;USA_USLLeagueTwo_SouthFlorida_2026
Miami City;USA_USLLeagueTwo_SouthFlorida_2026
Dothan United;USA_USLLeagueTwo_SouthCentral_2026
Swarm FC;USA_USLLeagueTwo_SouthCentral_2026
Columbus United;USA_USLLeagueTwo_SouthCentral_2026
Apotheos FC;USA_USLLeagueTwo_SouthCentral_2026
Montgomery United FC;USA_USLLeagueTwo_SouthCentral_2026
