LeagueId;Alias;CanonicalName
Finland_Kolmonen_Eastern_Group1;Blackbird;FC Blackbird
Finland_Kolmonen_Eastern_Group1;FC Blackbird;FC Blackbird
Finland_Kolmonen_Eastern_Group2;Kings SC;Kings SC
Finland_Kolmonen_Eastern_Group2;Kings;Kings SC
Finland_Kolmonen_Eastern_Group3;HaPK;Haminan Pallo-Kissat
Finland_Kolmonen_Eastern_Group3;Haminan Pallo-Kissat;Haminan Pallo-Kissat
Finland_Kolmonen_Eastern_Group3;KoPa;Kotajärven Pallo
Finland_Kolmonen_Eastern_Group3;Kotajärven Pallo;Kotajärven Pallo
Finland_Kolmonen_Eastern_Group3;MiPK;Mikkelin Pallo-Kissat
Finland_Kolmonen_Eastern_Group3;Mikkelin Pallo-Kissat;Mikkelin Pallo-Kissat
Finland_Kolmonen_Eastern_Group3;LAUTP;LAUTP
Finland_Kolmonen_Eastern_Group3;LAUTP/2;LAUTP/2
Finland_Kolmonen_Eastern_Group3;Mikkelin Palloilijat 2;Mikkelin Palloilijat 2
Finland_Kolmonen_Southern_Group2;TiPS;TiPS Vantaa
Finland_Kolmonen_Southern_Group2;TiPS Vantaa;TiPS Vantaa
Finland_Kolmonen_Southern_Group2;Valtti;Puotinkylän Valtti
Finland_Kolmonen_Southern_Group2;Puotinkylän Valtti;Puotinkylän Valtti
Finland_Kolmonen_Western_Group1;SalPa II;SalPa 2
Finland_Kolmonen_Western_Group1;SalPa 2;SalPa 2
Finland_Kolmonen_Western_Group2;FC Haka j.;FC Haka j.
Finland_Kolmonen_Western_Group2;Tampere Utd/2;Tampere United/2
Finland_Kolmonen_Western_Group2;Tampere United/2;Tampere United/2
Finland_Kolmonen_Western_Group3;Virkiä;Lapuan Virkiä
Finland_Kolmonen_Western_Group3;Lapuan Virkiä;Lapuan Virkiä
Finland_Kolmonen_Western_Group3;KPV/Akatemia;KPV/Akatemia
