StrongDefenseThreshold;LowRecentPPGThreshold;VulnerableDefenseThreshold;HighRecentPPGThreshold;StrongDefenseWeight;RecentFormWeight;RestartWeight;VulnerableDefensesBonusWeight;StrongRecentFormBonusWeight;RestartReadyBonusWeight;MaxTotalPenalty;MaxTotalBonus;BaselineAltaOK;BaselineAltaKO;BaselineAltaTotal;BaselineAltaPrecision;SimulatedAltaOK;SimulatedAltaKO;SimulatedAltaTotal;SimulatedAltaPrecision;AltaCoverage;AltaKOAvoided;AltaOKLost;ProtectiveBalance;AltaOKPromoted;AltaKOPromoted;PromotionBalance;NetGain;Stage;Accepted
6.0;0.6;7.5;1.4;0.5;0.0;0.0;1.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;194;65;259;74.9035;97.7358;5;5;0;4;0;4;4;vulnerable_defenses_bonus;YES
6.0;0.6;7.0;1.4;0.5;0.0;0.0;1.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;196;67;263;74.5247;99.2453;5;5;0;6;2;4;4;vulnerable_defenses_bonus;NO
6.0;0.6;7.5;1.4;0.5;0.0;0.0;0.5;0.0;0.0;4.0;2.0;195;70;265;73.5849;193;65;258;74.8062;97.3585;5;5;0;3;0;3;3;vulnerable_defenses_bonus;NO
6.0;0.6;7.0;1.4;0.5;0.0;0.0;0.5;0.0;0.0;4.0;2.0;195;70;265;73.5849;194;66;260;74.6154;98.1132;5;5;0;4;1;3;3;vulnerable_defenses_bonus;NO
6.0;0.6;8.0;1.4;0.5;0.0;0.0;1.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;192;65;257;74.7082;96.9811;5;5;0;2;0;2;2;vulnerable_defenses_bonus;NO
6.0;0.6;8.0;1.4;0.5;0.0;0.0;0.5;0.0;0.0;4.0;2.0;195;70;265;73.5849;191;65;256;74.6094;96.6038;5;5;0;1;0;1;1;vulnerable_defenses_bonus;NO
6.0;0.6;7.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;vulnerable_defenses_bonus;NO
6.0;0.6;7.5;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;vulnerable_defenses_bonus;NO
6.0;0.6;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;vulnerable_defenses_bonus;NO
6.0;0.6;8.5;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;vulnerable_defenses_bonus;NO
6.0;0.6;8.5;1.4;0.5;0.0;0.0;0.5;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;vulnerable_defenses_bonus;NO
6.0;0.6;8.5;1.4;0.5;0.0;0.0;1.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;vulnerable_defenses_bonus;NO
6.0;0.6;9.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;vulnerable_defenses_bonus;NO
6.0;0.6;9.0;1.4;0.5;0.0;0.0;0.5;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;vulnerable_defenses_bonus;NO
6.0;0.6;9.0;1.4;0.5;0.0;0.0;1.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;vulnerable_defenses_bonus;NO
