StrongDefenseThreshold;LowRecentPPGThreshold;VulnerableDefenseThreshold;HighRecentPPGThreshold;StrongDefenseWeight;RecentFormWeight;RestartWeight;VulnerableDefensesBonusWeight;StrongRecentFormBonusWeight;RestartReadyBonusWeight;MaxTotalPenalty;MaxTotalBonus;BaselineAltaOK;BaselineAltaKO;BaselineAltaTotal;BaselineAltaPrecision;SimulatedAltaOK;SimulatedAltaKO;SimulatedAltaTotal;SimulatedAltaPrecision;AltaCoverage;AltaKOAvoided;AltaOKLost;ProtectiveBalance;AltaOKPromoted;AltaKOPromoted;PromotionBalance;NetGain;Stage;Accepted
6.0;0.6;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;strong_defense;YES
5.0;0.6;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;191;66;257;74.3191;96.9811;4;4;0;0;0;0;0;strong_defense;NO
3.5;0.6;8.0;1.4;1.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;192;67;259;74.1313;97.7358;3;3;0;0;0;0;0;strong_defense;NO
4.0;0.6;8.0;1.4;1.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;192;67;259;74.1313;97.7358;3;3;0;0;0;0;0;strong_defense;NO
3.0;0.6;8.0;1.4;1.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;193;68;261;73.9464;98.4906;2;2;0;0;0;0;0;strong_defense;NO
4.5;0.6;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;193;68;261;73.9464;98.4906;2;2;0;0;0;0;0;strong_defense;NO
3.0;0.6;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;194;69;263;73.7643;99.2453;1;1;0;0;0;0;0;strong_defense;NO
3.5;0.6;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;194;69;263;73.7643;99.2453;1;1;0;0;0;0;0;strong_defense;NO
4.0;0.6;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;194;69;263;73.7643;99.2453;1;1;0;0;0;0;0;strong_defense;NO
3.0;0.6;8.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;195;70;265;73.5849;100.0;0;0;0;0;0;0;0;strong_defense;NO
3.5;0.6;8.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;195;70;265;73.5849;100.0;0;0;0;0;0;0;0;strong_defense;NO
