Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
1;v20defplus;Finland_Kolmonen_Eastern_Group3;4;0;2026-08-20;2026-08-30;4;100.0
2;v20defplus;Finland_Kolmonen_Southern_Group2;4;0;2026-08-22;2026-08-29;4;100.0
3;v20defplus;Australia_NPL_NSW_U20;3;0;2026-08-21;2026-08-30;3;100.0
4;v20defplus;Norway_2ndDivision_Group2;3;0;2026-08-29;2026-08-30;3;100.0
5;v20defplus;Finland_Kakkonen_GroupC;2;0;2026-08-22;2026-08-22;2;100.0
6;v20defplus;Finland_Kolmonen_North;2;0;2026-08-29;2026-08-29;2;100.0
7;v20defplus;Norway_OBOSLigaen;2;0;2026-08-26;2026-08-30;2;100.0
8;v20defplus;Finland_Kolmonen_Western_Group2;2;1;2026-08-20;2026-08-27;3;66.67
9;v20defplus;Australia_NPLACT;1;0;2026-08-22;2026-08-22;1;100.0
10;v20defplus;Australia_NPLWesternAustralia;1;0;2026-08-22;2026-08-22;1;100.0
11;v20defplus;Australia_TasmaniaNorthernChampionship;1;0;2026-08-22;2026-08-22;1;100.0
12;v20defplus;Australia_TasmaniaSouthernChampionship;1;0;2026-08-22;2026-08-22;1;100.0
13;v20defplus;Australia_VictoriaPremierLeague2;1;0;2026-08-22;2026-08-22;1;100.0
14;v20defplus;Australia_WAStateLeague;1;0;2026-08-22;2026-08-22;1;100.0
15;v20defplus;FaroeIslands_1Deild;1;0;2026-08-22;2026-08-22;1;100.0
16;v20defplus;Finland_Kolmonen_Eastern_Group2;1;0;2026-08-22;2026-08-22;1;100.0
17;v20defplus;Finland_Kolmonen_Southern_Group1;1;0;2026-08-30;2026-08-30;1;100.0
18;v20defplus;Finland_Kolmonen_Southern_Group3;1;0;2026-08-28;2026-08-28;1;100.0
19;v20defplus;Finland_Ykkonen;1;0;2026-08-29;2026-08-29;1;100.0
20;v20defplus;Germany_Oberliga_SchleswigHolstein;1;0;2026-08-30;2026-08-30;1;100.0
21;v20defplus;Moldova_SuperLiga;1;0;2026-08-30;2026-08-30;1;100.0
22;v20defplus;Norway_Eliteserien;1;0;2026-08-30;2026-08-30;1;100.0
23;v20defplus;SriLanka_SuperLeague;1;0;2026-08-22;2026-08-22;1;100.0
24;v20defplus;Sweden_Division2_Norrland;1;0;2026-08-22;2026-08-22;1;100.0
25;v20defplus;Sweden_Division2_SodraGotaland;1;0;2026-08-22;2026-08-22;1;100.0
26;v20defplus;USA_MLSNextPro_EasternConference_NortheastDivision;1;0;2026-08-24;2026-08-24;1;100.0
27;v20defplus;Iceland_BestaDeildKarla;1;1;2026-08-23;2026-08-30;2;50.0
28;v20defplus;Estonia_EsiliigaB;1;2;2026-08-24;2026-08-25;3;33.33
29;v20defplus;Finland_Kolmonen_Western_Group3;0;1;2026-08-28;2026-08-28;1;0.0
30;v20defplus;Germany_Regionalliga_Nordost;0;1;2026-08-26;2026-08-26;1;0.0
31;v20defplus;Iceland_Division_2;0;1;2026-08-23;2026-08-23;1;0.0
32;v20defplus;Norway_3rdDivision_Group5;0;1;2026-08-30;2026-08-30;1;0.0
