Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
1;v20defselect;Estonia_EsiliigaB;5;0;2026-08-21;2026-09-19;5;100.0
2;v20defselect;Finland_Kolmonen_Southern_Group2;5;0;2026-08-28;2026-09-18;5;100.0
3;v20defselect;Norway_2ndDivision_Group2;4;0;2026-08-29;2026-09-12;4;100.0
4;v20defselect;Norway_3rdDivision_Group2;4;1;2026-08-31;2026-09-21;5;80.0
5;v20defselect;Germany_Oberliga_SchleswigHolstein;3;0;2026-09-12;2026-09-20;3;100.0
6;v20defselect;CzechRepublic_4Liga_GroupB;2;0;2026-09-19;2026-09-19;2;100.0
7;v20defselect;CzechRepublic_4Liga_GroupE;2;0;2026-09-12;2026-09-20;2;100.0
8;v20defselect;Finland_Kolmonen_Southern_Group1;2;0;2026-08-21;2026-08-30;2;100.0
9;v20defselect;Germany_Oberliga_RheinlandPfalzSaar;2;0;2026-09-09;2026-09-20;2;100.0
10;v20defselect;Norway_3rdDivision_Group6;2;0;2026-08-31;2026-09-21;2;100.0
11;v20defselect;Norway_Eliteserien;2;0;2026-08-30;2026-09-19;2;100.0
12;v20defselect;Switzerland_SuperLeague;2;0;2026-09-06;2026-09-20;2;100.0
13;v20defselect;Switzerland_PromotionLeague;2;1;2026-09-05;2026-09-19;3;66.67
14;v20defselect;Austria_Karnten;1;0;2026-09-04;2026-09-04;1;100.0
15;v20defselect;Austria_Regionalliga_South;1;0;2026-09-19;2026-09-19;1;100.0
16;v20defselect;Austria_Salzburg;1;0;2026-09-13;2026-09-13;1;100.0
17;v20defselect;CzechRepublic_4Liga_GroupF;1;0;2026-09-20;2026-09-20;1;100.0
18;v20defselect;Denmark_3rdDivision;1;0;2026-09-18;2026-09-18;1;100.0
19;v20defselect;Finland_Kakkonen_GroupC;1;0;2026-08-22;2026-08-22;1;100.0
20;v20defselect;Finland_Kolmonen_Eastern_Group1;1;0;2026-09-12;2026-09-12;1;100.0
21;v20defselect;Finland_Kolmonen_Eastern_Group2;1;0;2026-08-22;2026-08-22;1;100.0
22;v20defselect;Finland_Kolmonen_Eastern_Group3;1;0;2026-08-20;2026-08-20;1;100.0
23;v20defselect;Germany_Oberliga_Bayern_Sud;1;0;2026-09-19;2026-09-19;1;100.0
24;v20defselect;Germany_Oberliga_Bremen;1;0;2026-09-12;2026-09-12;1;100.0
25;v20defselect;Germany_Oberliga_Hamburg;1;0;2026-09-13;2026-09-13;1;100.0
26;v20defselect;Germany_Oberliga_Niedersachsen;1;0;2026-09-13;2026-09-13;1;100.0
27;v20defselect;Germany_Regionalliga_Nord;1;0;2026-09-15;2026-09-15;1;100.0
28;v20defselect;Germany_Regionalliga_West;1;0;2026-09-11;2026-09-11;1;100.0
29;v20defselect;Iceland_BestaDeildKvenna;1;0;2026-09-05;2026-09-05;1;100.0
30;v20defselect;Kyrgyzstan_PremierLiga;1;0;2026-09-18;2026-09-18;1;100.0
31;v20defselect;Lithuania_ILyga;1;0;2026-09-05;2026-09-05;1;100.0
32;v20defselect;Moldova_SuperLiga;1;0;2026-08-30;2026-08-30;1;100.0
33;v20defselect;Netherlands_Eredivisie;1;0;2026-09-15;2026-09-15;1;100.0
34;v20defselect;Norway_3rdDivision_Group1;1;0;2026-09-01;2026-09-01;1;100.0
35;v20defselect;Norway_3rdDivision_Group3;1;0;2026-08-31;2026-08-31;1;100.0
36;v20defselect;Norway_3rdDivision_Group4;1;0;2026-09-06;2026-09-06;1;100.0
37;v20defselect;Norway_OBOSLigaen;1;0;2026-08-30;2026-08-30;1;100.0
38;v20defselect;Poland_IIILiga_Group3;1;0;2026-09-05;2026-09-05;1;100.0
39;v20defselect;Sweden_Division1_Norra;1;0;2026-09-17;2026-09-17;1;100.0
40;v20defselect;Sweden_Division2_Norrland;1;0;2026-08-22;2026-08-22;1;100.0
41;v20defselect;Sweden_Division2_SodraGotaland;1;0;2026-08-22;2026-08-22;1;100.0
42;v20defselect;USA_MLSNextPro_EasternConference_NortheastDivision;1;0;2026-08-24;2026-08-24;1;100.0
43;v20defselect;USA_USLLeagueOne;1;0;2026-09-03;2026-09-03;1;100.0
44;v20defselect;Austria_Tirol;1;1;2026-09-18;2026-09-19;2;50.0
45;v20defselect;Finland_Kolmonen_North;1;1;2026-08-29;2026-09-09;2;50.0
46;v20defselect;Finland_Kolmonen_Western_Group2;1;1;2026-08-20;2026-08-27;2;50.0
47;v20defselect;Poland_IIILiga_Group2;1;1;2026-09-05;2026-09-19;2;50.0
48;v20defselect;FaroeIslands_1Deild;1;2;2026-08-22;2026-09-19;3;33.33
49;v20defselect;Poland_IIILiga_Group1;1;2;2026-09-06;2026-09-19;3;33.33
50;v20defselect;Austria_Oberosterreich;0;1;2026-09-18;2026-09-18;1;0.0
51;v20defselect;Austria_Regionalliga_North;0;1;2026-09-19;2026-09-19;1;0.0
52;v20defselect;Germany_Regionalliga_Nordost;0;1;2026-08-26;2026-08-26;1;0.0
53;v20defselect;Iceland_BestaDeildKarla;0;1;2026-08-31;2026-08-31;1;0.0
54;v20defselect;Iceland_Division_2;0;1;2026-08-23;2026-08-23;1;0.0
55;v20defselect;Moldova_Liga1_GroupA;0;1;2026-09-11;2026-09-11;1;0.0
56;v20defselect;Netherlands_EersteDivisie;0;1;2026-09-13;2026-09-13;1;0.0
57;v20defselect;NorthernIreland_NIFLChampionship;0;1;2026-09-18;2026-09-18;1;0.0
58;v20defselect;Norway_3rdDivision_Group5;0;1;2026-08-30;2026-08-30;1;0.0
59;v20defselect;Poland_Ekstraklasa;0;1;2026-09-06;2026-09-06;1;0.0
60;v20defselect;Sweden_Division2_SodraSvealand;0;1;2026-09-19;2026-09-19;1;0.0
