LeagueId;Home;Away;Score;Band;Round;Reason;Match;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent
Australia_TasmaniaSouthernChampionship;Olympia Warriors;University of Tasmania;90.59;ALTA;13;Engine v1.3 | Squadra alta: Olympia Warriors (1ª), squadra bassa: University of Tasmania (7ª) | GF alta: 3.09/gara | GS bassa: 3.58/gara | Profilo ultime 10: 0.96 | Real over index: 0.90;Olympia Warriors - University of Tasmania;17.99;20.0;20.0;9.6;9.0
Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;South Hobart U21;90.5;ALTA;13;Engine v1.3 | Squadra alta: South Hobart U21 (2ª), squadra bassa: Glenorchy Knights U21 (9ª) | GF alta: 4.82/gara | GS bassa: 3.20/gara | Profilo ultime 10: 0.96 | Real over index: 0.95;Glenorchy Knights U21 - South Hobart U21;17.43;20.0;20.0;9.57;9.5
Australia_NPLQueensland;Rochedale;Gold Coast Knights;82.54;ALTA;17;Engine v1.3 | Squadra alta: Gold Coast Knights (5ª), squadra bassa: Rochedale (9ª) | GF alta: 2.57/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.89 | Real over index: 0.75;Rochedale - Gold Coast Knights;12.16;20.0;20.0;8.88;7.5
Australia_NSWLeagueOne;Blacktown Spartans;Rydalmere Lions;72.43;MEDIA-ALTA;22;Engine v1.3 | Squadra alta: Blacktown Spartans (1ª), squadra bassa: Rydalmere Lions (8ª) | GF alta: 2.33/gara | GS bassa: 1.57/gara | Profilo ultime 10: 0.73 | Real over index: 0.65;Blacktown Spartans - Rydalmere Lions;10.86;19.44;14.29;7.34;6.5
Australia_QueenslandPremierLeague;Holland Park Hawks;Redlands;72.38;MEDIA-ALTA;17;Engine v1.3 | Squadra alta: Redlands (5ª), squadra bassa: Holland Park Hawks (8ª) | GF alta: 2.20/gara | GS bassa: 1.94/gara | Profilo ultime 10: 0.90 | Real over index: 0.80;Holland Park Hawks - Redlands;5.44;18.33;17.61;9.0;8.0
Australia_VictoriaPremierLeague2;Keilor Park;Moreland City;70.2;MEDIA-ALTA;19;Engine v1.3 | Squadra alta: Keilor Park (5ª), squadra bassa: Moreland City (14ª) | GF alta: 1.35/gara | GS bassa: 2.19/gara | Profilo ultime 10: 0.63 | Real over index: 0.50;Keilor Park - Moreland City;14.48;11.27;19.89;6.34;5.0
Australia_NPLVictoria;Dandenong City;Avondale FC;68.3;MEDIA-ALTA;19;Engine v1.3 | Squadra alta: Avondale FC (3ª), squadra bassa: Dandenong City (7ª) | GF alta: 2.83/gara | GS bassa: 1.39/gara | Profilo ultime 10: 0.80 | Real over index: 0.70;Dandenong City - Avondale FC;7.14;20.0;12.63;7.96;7.0
Australia_NPL_NSW_U20;Sydney FC U20;Sydney Utd U20;67.45;MEDIA-ALTA;22;Engine v1.3 | Squadra alta: Sydney Utd U20 (2ª), squadra bassa: Sydney FC U20 (4ª) | GF alta: 3.24/gara | GS bassa: 1.35/gara | Profilo ultime 10: 0.89 | Real over index: 0.75;Sydney FC U20 - Sydney Utd U20;4.75;20.0;12.27;8.93;7.5
Australia_SAStateLeague;Eastern United;Cumberland Utd.;66.53;MEDIA-ALTA;17;Engine v1.3 | Squadra alta: Cumberland Utd. (5ª), squadra bassa: Eastern United (10ª) | GF alta: 1.75/gara | GS bassa: 2.06/gara | Profilo ultime 10: 0.62 | Real over index: 0.40;Eastern United - Cumberland Utd.;9.46;14.58;18.75;6.17;4.0
Australia_QueenslandPremierLeague;Brisbane Strikers;Ipswich;65.15;MEDIA-ALTA;17;Engine v1.3 | Squadra alta: Brisbane Strikers (2ª), squadra bassa: Ipswich (3ª) | GF alta: 2.44/gara | GS bassa: 1.31/gara | Profilo ultime 10: 0.78 | Real over index: 0.65;Brisbane Strikers - Ipswich;7.85;20.0;11.93;7.82;6.5
