LeagueId;Home;Away;Score;Band;Round;Reason;Match;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent
Estonia_Esiliiga;Nomme Utd U21;Flora U21;88.55;ALTA;18;Engine v1.3 | Squadra alta: Flora U21 (2ª), squadra bassa: Nomme Utd U21 (9ª) | GF alta: 2.79/gara | GS bassa: 2.43/gara | Profilo ultime 10: 0.95 | Real over index: 0.95;Nomme Utd U21 - Flora U21;15.52;20.0;20.0;9.53;9.5
Estonia_Esiliiga;Nomme Utd U21;Flora U21;88.55;ALTA;18;Engine v1.3 | Squadra alta: Flora U21 (2ª), squadra bassa: Nomme Utd U21 (9ª) | GF alta: 2.79/gara | GS bassa: 2.43/gara | Profilo ultime 10: 0.95 | Real over index: 0.95;Nomme Utd U21 - Flora U21;15.52;20.0;20.0;9.53;9.5
USA_USLLeagueTwo_MidAtlantic;Philadelphia Lone Star;Ocean City;85.39;ALTA;20260629;Engine v1.3 | Squadra alta: Ocean City (1ª), squadra bassa: Philadelphia Lone Star (7ª) | GF alta: 3.09/gara | GS bassa: 2.58/gara | Profilo ultime 10: 0.84 | Real over index: 0.80;Philadelphia Lone Star - Ocean City;20.07;20.0;20.0;8.36;8.0
USA_USLLeagueTwo_GreatForest;Erie Sports Center;Pittsburgh Riverhounds 2;82.54;ALTA;20260629;Engine v1.3 | Squadra alta: Pittsburgh Riverhounds 2 (3ª), squadra bassa: Erie Sports Center (7ª) | GF alta: 2.09/gara | GS bassa: 3.67/gara | Profilo ultime 10: 0.75 | Real over index: 0.74;Erie Sports Center - Pittsburgh Riverhounds 2;19.43;17.42;20.0;7.49;7.44
USA_USLLeagueTwo_Northeast;Seacoast Utd Phantoms;Black Rock;76.49;ALTA;20260629;Engine v1.3 | Squadra alta: Black Rock (5ª), squadra bassa: Seacoast Utd Phantoms (8ª) | GF alta: 1.70/gara | GS bassa: 2.30/gara | Profilo ultime 10: 0.88 | Real over index: 0.80;Seacoast Utd Phantoms - Black Rock;12.1;14.17;20.0;8.76;8.0
USA_USLLeagueTwo_NorCal;Glens SC;San Francisco City;73.78;MEDIA-ALTA;20260629;Engine v1.3 | Squadra alta: San Francisco City (1ª), squadra bassa: Glens SC (4ª) | GF alta: 3.20/gara | GS bassa: 1.40/gara | Profilo ultime 10: 0.68 | Real over index: 0.60;Glens SC - San Francisco City;17.6;20.0;12.73;6.82;6.0
USA_USLLeagueTwo_LoneStar;Hill Country Lobos;Lonestar SC;73.72;MEDIA-ALTA;20260629;Engine v1.3 | Squadra alta: Lonestar SC (4ª), squadra bassa: Hill Country Lobos (7ª) | GF alta: 1.67/gara | GS bassa: 2.44/gara | Profilo ultime 10: 0.82 | Real over index: 0.67;Hill Country Lobos - Lonestar SC;11.36;13.89;20.0;8.23;6.67
USA_USLLeagueTwo_LoneStar;Hill Country Lobos;Lonestar SC;73.72;MEDIA-ALTA;20260629;Engine v1.3 | Squadra alta: Lonestar SC (4ª), squadra bassa: Hill Country Lobos (7ª) | GF alta: 1.67/gara | GS bassa: 2.44/gara | Profilo ultime 10: 0.82 | Real over index: 0.67;Hill Country Lobos - Lonestar SC;11.36;13.89;20.0;8.23;6.67
Lithuania_Toplyga;FA Siauliai;Transinvest;73.57;MEDIA-ALTA;23;Engine v1.3 | Squadra alta: Transinvest (2ª), squadra bassa: FA Siauliai (9ª) | GF alta: 1.78/gara | GS bassa: 1.88/gara | Profilo ultime 10: 0.80 | Real over index: 0.70;FA Siauliai - Transinvest;13.47;14.81;17.05;8.03;7.0
Australia_QueenslandPremierLeague;Logan Lightning;Redlands;72.39;MEDIA-ALTA;17;Engine v1.3 | Squadra alta: Redlands (5ª), squadra bassa: Logan Lightning (9ª) | GF alta: 2.20/gara | GS bassa: 1.93/gara | Profilo ultime 10: 0.82 | Real over index: 0.70;Logan Lightning - Redlands;7.25;18.33;17.58;8.23;7.0
