LeagueId;Home;Away;Score;Band;Round;Reason;Match;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent
USA_USLLeagueTwo_Mountain;Colorado Storm;CISA;83.7;ALTA;20260630;Engine v1.3 | Squadra alta: Colorado Storm (2ª), squadra bassa: CISA (6ª) | GF alta: 2.50/gara | GS bassa: 3.82/gara | Profilo ultime 10: 0.83 | Real over index: 0.76;Colorado Storm - CISA;19.43;20.0;20.0;8.29;7.62
USA_USLLeagueTwo_Northwest;Portland Bangers;FC Olympia;81.43;ALTA;20260629;Engine v1.3 | Squadra alta: Portland Bangers (3ª), squadra bassa: FC Olympia (6ª) | GF alta: 1.80/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.91 | Real over index: 0.80;Portland Bangers - FC Olympia;15.38;15.0;20.0;9.05;8.0
USA_USLLeagueTwo_Ranger;Fort Worth Vaqueros;McKinney Chupacabras;80.79;ALTA;20260629;Engine v1.3 | Squadra alta: McKinney Chupacabras (1ª), squadra bassa: Fort Worth Vaqueros (6ª) | GF alta: 2.11/gara | GS bassa: 3.44/gara | Profilo ultime 10: 0.66 | Real over index: 0.67;Fort Worth Vaqueros - McKinney Chupacabras;22.0;17.59;20.0;6.61;6.67
USA_USLLeagueTwo_Northwest;Snohomish United;Tacoma Stars;80.1;ALTA;20260629;Engine v1.3 | Squadra alta: Snohomish United (2ª), squadra bassa: Tacoma Stars (4ª) | GF alta: 3.00/gara | GS bassa: 1.80/gara | Profilo ultime 10: 0.84 | Real over index: 0.75;Snohomish United - Tacoma Stars;16.5;20.0;16.36;8.43;7.5
USA_USLLeagueTwo_MidAtlantic;Reading;Eagle FC;80.0;ALTA;20260629;Engine v1.3 | Squadra alta: Reading (4ª), squadra bassa: Eagle FC (9ª) | GF alta: 2.10/gara | GS bassa: 3.00/gara | Profilo ultime 10: 0.78 | Real over index: 0.85;Reading - Eagle FC;16.25;17.5;20.0;7.83;8.5
USA_USLLeagueTwo_Chesapeake;Virginia Marauders;Annapolis Blues;78.98;ALTA;20260629;Engine v1.3 | Squadra alta: Annapolis Blues (5ª), squadra bassa: Virginia Marauders (10ª) | GF alta: 2.45/gara | GS bassa: 3.10/gara | Profilo ultime 10: 0.73 | Real over index: 0.75;Virginia Marauders - Annapolis Blues;14.86;20.0;20.0;7.29;7.5
USA_USLLeagueTwo_Chesapeake;Patuxent;Hill City;78.86;ALTA;20260629;Engine v1.3 | Squadra alta: Hill City (8ª), squadra bassa: Patuxent (11ª) | GF alta: 2.64/gara | GS bassa: 4.20/gara | Profilo ultime 10: 0.73 | Real over index: 0.75;Patuxent - Hill City;15.31;20.0;20.0;7.3;7.5
USA_USLLeagueTwo_GreatLakes;Kalamazoo FC;Oakland County;77.75;ALTA;20260629;Engine v1.3 | Squadra alta: Oakland County (1ª), squadra bassa: Kalamazoo FC (4ª) | GF alta: 2.67/gara | GS bassa: 2.12/gara | Profilo ultime 10: 0.88 | Real over index: 0.83;Kalamazoo FC - Oakland County;9.54;20.0;19.32;8.84;8.26
USA_USLLeagueTwo_Northeast;Boston Bolts;Western Mass Pioneers;77.64;ALTA;20260629;Engine v1.3 | Squadra alta: Western Mass Pioneers (3ª), squadra bassa: Boston Bolts (7ª) | GF alta: 2.00/gara | GS bassa: 2.20/gara | Profilo ultime 10: 0.85 | Real over index: 0.65;Boston Bolts - Western Mass Pioneers;12.0;16.67;20.0;8.47;6.5
USA_USLLeagueTwo_MidSouth;Memphis FC;Mississippi Brilla;71.15;MEDIA-ALTA;20260629;Engine v1.3 | Squadra alta: Mississippi Brilla (4ª), squadra bassa: Memphis FC (6ª) | GF alta: 2.00/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.84 | Real over index: 0.65;Memphis FC - Mississippi Brilla;7.33;16.67;18.18;8.44;6.53
USA_USLLeagueTwo_SouthAtlantic;Charlotte Eagles;Hickory;71.04;MEDIA-ALTA;20260630;Engine v1.3 | Squadra alta: Hickory (2ª), squadra bassa: Charlotte Eagles (7ª) | GF alta: 2.18/gara | GS bassa: 1.50/gara | Profilo ultime 10: 0.72 | Real over index: 0.65;Charlotte Eagles - Hickory;13.6;18.18;13.64;7.22;6.5
Australia_NPLQueenslandU23;QLD State Team U17;Peninsula U23;70.58;MEDIA-ALTA;17;Engine v1.3 | Squadra alta: QLD State Team U17 (10ª), squadra bassa: Peninsula U23 (11ª) | GF alta: 2.14/gara | GS bassa: 2.53/gara | Profilo ultime 10: 0.93 | Real over index: 0.80;QLD State Team U17 - Peninsula U23;1.43;17.86;20.0;9.3;8.0
Australia_NPLQueenslandU23;Rochedale U23;Moreton City Excelsior U23;70.11;MEDIA-ALTA;17;Engine v1.3 | Squadra alta: Rochedale U23 (2ª), squadra bassa: Moreton City Excelsior U23 (5ª) | GF alta: 2.73/gara | GS bassa: 1.50/gara | Profilo ultime 10: 0.84 | Real over index: 0.75;Rochedale U23 - Moreton City Excelsior U23;6.78;20.0;13.64;8.38;7.5
USA_USLLeagueTwo_GreatLakes;Midwest United;Flint City;69.34;MEDIA-ALTA;20260629;Engine v1.3 | Squadra alta: Flint City (2ª), squadra bassa: Midwest United (3ª) | GF alta: 2.75/gara | GS bassa: 1.11/gara | Profilo ultime 10: 0.83 | Real over index: 0.77;Midwest United - Flint City;10.15;20.0;10.1;8.32;7.71
USA_USLLeagueTwo_GreatForest;Erie Sports Center;Akron City;66.94;MEDIA-ALTA;20260629;Engine v1.3 | Squadra alta: Akron City (6ª), squadra bassa: Erie Sports Center (7ª) | GF alta: 1.38/gara | GS bassa: 3.67/gara | Profilo ultime 10: 0.74 | Real over index: 0.76;Erie Sports Center - Akron City;9.63;11.46;20.0;7.4;7.57
USA_USLLeagueTwo_GreatPlains;Sunflower State;Menace;66.23;MEDIA-ALTA;20260629;Engine v1.3 | Squadra alta: Menace (3ª), squadra bassa: Sunflower State (5ª) | GF alta: 1.38/gara | GS bassa: 2.67/gara | Profilo ultime 10: 0.77 | Real over index: 0.64;Sunflower State - Menace;6.65;11.46;20.0;7.73;6.39
