LeagueId;Home;Away;Score;Band;Round;Reason;Match;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent
Norway_3rdDivision_Group5;Skedsmo;Skjetten;91.56;ALTA;12;Engine v1.3 | Squadra alta: Skedsmo (1ª), squadra bassa: Skjetten (11ª) | GF alta: 2.45/gara | GS bassa: 2.27/gara | Profilo ultime 10: 0.93 | Real over index: 0.85;Skedsmo - Skjetten;19.79;20.0;20.0;9.28;8.5
Norway_3rdDivision_Group4;Flekkeroy;Akra;86.25;ALTA;13;Engine v1.3 | Squadra alta: Flekkeroy (1ª), squadra bassa: Akra (13ª) | GF alta: 2.45/gara | GS bassa: 2.45/gara | Profilo ultime 10: 0.82 | Real over index: 0.65;Flekkeroy - Akra;17.51;20.0;20.0;8.24;6.5
USA_USLLeagueTwo_SouthCentral;Birmingham 2;Swarm FC;82.87;ALTA;17;Engine v1.3 | Squadra alta: Swarm FC (2ª), squadra bassa: Birmingham 2 (6ª) | GF alta: 2.67/gara | GS bassa: 2.12/gara | Profilo ultime 10: 0.77 | Real over index: 0.70;Birmingham 2 - Swarm FC;18.11;20.0;19.32;7.68;7.01
Sweden_Division2_NorraGotaland;Vanersborgs IF;Stenungsunds;81.78;ALTA;15;Engine v1.3 | Squadra alta: Stenungsunds (6ª), squadra bassa: Vanersborgs IF (14ª) | GF alta: 2.00/gara | GS bassa: 3.08/gara | Profilo ultime 10: 0.79 | Real over index: 0.70;Vanersborgs IF - Stenungsunds;16.47;16.67;20.0;7.91;7.0
Sweden_Division1_Sodra;Kristianstad;Trelleborg;79.17;ALTA;14;Engine v1.3 | Squadra alta: Trelleborg (1ª), squadra bassa: Kristianstad (13ª) | GF alta: 2.54/gara | GS bassa: 1.62/gara | Profilo ultime 10: 0.74 | Real over index: 0.65;Kristianstad - Trelleborg;19.36;20.0;14.69;7.37;6.5
Iceland_Division_2;Throttur Vogar;Fjolnir;76.97;ALTA;21;Engine v1.3 | Squadra alta: Fjolnir (5ª), squadra bassa: Throttur Vogar (11ª) | GF alta: 2.56/gara | GS bassa: 1.89/gara | Profilo ultime 10: 0.81 | Real over index: 0.72;Throttur Vogar - Fjolnir;11.61;20.0;17.17;8.13;7.22
Sweden_Division2_NorraGotaland;Skara;Herrestads AIF;76.38;ALTA;15;Engine v1.3 | Squadra alta: Skara (2ª), squadra bassa: Herrestads AIF (8ª) | GF alta: 2.08/gara | GS bassa: 1.85/gara | Profilo ultime 10: 0.82 | Real over index: 0.70;Skara - Herrestads AIF;13.09;17.31;16.78;8.2;7.0
Norway_2ndDivision_Group2;Eidsvold;Tromsdalen;75.91;ALTA;12;Engine v1.3 | Squadra alta: Eidsvold (3ª), squadra bassa: Tromsdalen (7ª) | GF alta: 2.27/gara | GS bassa: 2.18/gara | Profilo ultime 10: 0.88 | Real over index: 0.80;Eidsvold - Tromsdalen;8.44;18.94;19.83;8.8;8.0
Iceland_Division_2;Selfoss;Haukar;75.46;ALTA;21;Engine v1.3 | Squadra alta: Haukar (1ª), squadra bassa: Selfoss (4ª) | GF alta: 2.44/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.90 | Real over index: 0.83;Selfoss - Haukar;6.34;20.0;18.18;9.03;8.33
Sweden_Division2_NorraSvealand;Kungsangen;Skiljebo;72.86;MEDIA-ALTA;15;Engine v1.3 | Squadra alta: Skiljebo (3ª), squadra bassa: Kungsangen (11ª) | GF alta: 2.15/gara | GS bassa: 1.62/gara | Profilo ultime 10: 0.70 | Real over index: 0.50;Kungsangen - Skiljebo;15.74;17.95;14.69;7.0;5.0
Sweden_Superettan;Brage;Falkenberg;70.98;MEDIA-ALTA;14;Engine v1.3 | Squadra alta: Falkenberg (2ª), squadra bassa: Brage (10ª) | GF alta: 1.85/gara | GS bassa: 1.69/gara | Profilo ultime 10: 0.85 | Real over index: 0.70;Brage - Falkenberg;10.71;15.38;15.38;8.5;7.0
Iceland_Division_1;Fylkir;Kopavogur;67.89;MEDIA-ALTA;16;Engine v1.3 | Squadra alta: Fylkir (2ª), squadra bassa: Kopavogur (5ª) | GF alta: 1.90/gara | GS bassa: 1.80/gara | Profilo ultime 10: 0.83 | Real over index: 0.65;Fylkir - Kopavogur;6.87;15.83;16.36;8.32;6.5
USA_USLLeagueTwo_SouthFlorida;Brevard SC;Weston;67.41;MEDIA-ALTA;16;Engine v1.3 | Squadra alta: Weston (4ª), squadra bassa: Brevard SC (5ª) | GF alta: 1.29/gara | GS bassa: 2.44/gara | Profilo ultime 10: 0.82 | Real over index: 0.67;Brevard SC - Weston;7.74;10.71;20.0;8.2;6.75
Norway_3rdDivision_Group1;Vålerenga 2;Union Carl Berner;66.31;MEDIA-ALTA;13;Engine v1.3 | Squadra alta: Union Carl Berner (6ª), squadra bassa: Vålerenga 2 (8ª) | GF alta: 1.82/gara | GS bassa: 2.73/gara | Profilo ultime 10: 0.84 | Real over index: 0.65;Vålerenga 2 - Union Carl Berner;2.92;15.15;20.0;8.38;6.5
Sweden_Division1_Norra;Assyriska FF;Vasalund;65.48;MEDIA-ALTA;15;Engine v1.3 | Squadra alta: Vasalund (10ª), squadra bassa: Assyriska FF (13ª) | GF alta: 1.46/gara | GS bassa: 2.15/gara | Profilo ultime 10: 0.82 | Real over index: 0.70;Assyriska FF - Vasalund;4.47;12.18;19.58;8.25;7.0
Iceland_Division_1;Leiknir;IR Reykjavik;63.77;MEDIA-ALTA;16;Engine v1.3 | Squadra alta: Leiknir (6ª), squadra bassa: IR Reykjavik (9ª) | GF alta: 1.20/gara | GS bassa: 2.70/gara | Profilo ultime 10: 0.79 | Real over index: 0.70;Leiknir - IR Reykjavik;5.91;10.0;20.0;7.94;7.0
