PredictionDate;MatchDate;LeagueId;Round;Home;Away;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Score;Band;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-07-15;2026-07-16;Kazakhstan_FirstLeague_2026;23;Arys;Turan;Kazakhstan_FirstLeague_2026;Kazakhstan_FirstLeague_2026;;78.38;ALTA;Engine v1.3 | Squadra alta: Turan (3ª), squadra bassa: Arys (12ª) | GF alta: 1.92/gara | GS bassa: 2.15/gara | Profilo ultime 10: 0.82 | Real over index: 0.70;16.33;16.03;;;19.58;8.16;7.0;;;;1.3.0
2026-07-15;2026-07-16;Somalia_NationalLeague_2026;23;Jeenyo;Heegan;Somalia_NationalLeague_2026;Somalia_NationalLeague_2026;;74.34;MEDIA-ALTA;Engine v1.3 | Squadra alta: Heegan (1ª), squadra bassa: Jeenyo (7ª) | GF alta: 2.61/gara | GS bassa: 1.67/gara | Profilo ultime 10: 0.68 | Real over index: 0.50;15.85;20.0;;;15.15;6.85;5.0;;;;1.3.0
2026-07-15;2026-07-16;Kazakhstan_FirstLeague_2026;23;FC Batyr;Shakhter K.;Kazakhstan_FirstLeague_2026;Kazakhstan_FirstLeague_2026;;74.22;MEDIA-ALTA;Engine v1.3 | Squadra alta: Shakhter K. (2ª), squadra bassa: FC Batyr (8ª) | GF alta: 2.77/gara | GS bassa: 1.85/gara | Profilo ultime 10: 0.74 | Real over index: 0.50;16.02;20.0;;;16.78;7.35;5.0;;;;1.3.0
2026-07-15;2026-07-16;USA_USLChampionship_2026;23;Sporting Jax;Pittsburgh;USA_USLChampionship_2026;USA_USLChampionship_2026;;71.64;MEDIA-ALTA;Engine v1.3 | Squadra alta: Pittsburgh (10ª), squadra bassa: Sporting Jax (25ª) | GF alta: 1.15/gara | GS bassa: 2.73/gara | Profilo ultime 10: 0.67 | Real over index: 0.50;17.15;9.62;;;20.0;6.67;5.0;;;;1.3.0
2026-07-15;2026-07-16;Iceland_Division_1_2026;22;Afturelding;Leiknir;Iceland_Division_1_2026;Iceland_Division_1_2026;;69.31;MEDIA-ALTA;Engine v1.3 | Squadra alta: Afturelding (1ª), squadra bassa: Leiknir (7ª) | GF alta: 3.00/gara | GS bassa: 1.23/gara | Profilo ultime 10: 0.72 | Real over index: 0.55;11.38;20.0;;;11.19;7.24;5.5;;;;1.3.0
2026-07-15;2026-07-16;USA_USLLeagueOne_2026;23;Forward Madison;Richmond Kickers;USA_USLLeagueOne_2026;USA_USLLeagueOne_2026;;66.77;MEDIA-ALTA;Engine v1.3 | Squadra alta: Forward Madison (7ª), squadra bassa: Richmond Kickers (16ª) | GF alta: 1.69/gara | GS bassa: 1.71/gara | Profilo ultime 10: 0.73 | Real over index: 0.60;13.03;14.1;;;15.58;7.26;6.0;;;;1.3.0
2026-07-15;2026-07-16;Kazakhstan_FirstLeague_2026;23;Khan Tengri;Yelimay Semey 2;Kazakhstan_FirstLeague_2026;Kazakhstan_FirstLeague_2026;;66.75;MEDIA-ALTA;Engine v1.3 | Squadra alta: Khan Tengri (7ª), squadra bassa: Yelimay Semey 2 (14ª) | GF alta: 1.38/gara | GS bassa: 2.08/gara | Profilo ultime 10: 0.66 | Real over index: 0.60;12.21;11.54;;;18.88;6.63;6.0;;;;1.3.0
2026-07-15;2026-07-16;Finland_Kakkonen_GroupA_2026;13;HIFK;PPJ;Finland_Kakkonen_GroupA_2026;Finland_Kakkonen_GroupA_2026;;66.45;MEDIA-ALTA;Engine v1.3 | Squadra alta: HIFK (3ª), squadra bassa: PPJ (6ª) | GF alta: 2.00/gara | GS bassa: 1.50/gara | Profilo ultime 10: 0.82 | Real over index: 0.65;8.06;16.67;;;13.64;8.22;6.5;;;;1.3.0
2026-07-15;2026-07-16;Australia_SAStateLeague_2026;20;Fulham Utd.;Cumberland Utd.;Australia_SAStateLeague_2026;Australia_SAStateLeague_2026;;66.42;MEDIA-ALTA;Engine v1.3 | Squadra alta: Fulham Utd. (2ª), squadra bassa: Cumberland Utd. (7ª) | GF alta: 2.18/gara | GS bassa: 1.35/gara | Profilo ultime 10: 0.80 | Real over index: 0.60;7.99;18.14;;;12.3;8.0;6.0;;;;1.3.0
2026-07-15;2026-07-16;Bolivia_DivisionProfesional_2026;13;Academia del Balompie;Independiente;Bolivia_DivisionProfesional_2026;Bolivia_DivisionProfesional_2026;;64.94;MEDIA-ALTA;Engine v1.3 | Squadra alta: Independiente (7ª), squadra bassa: Academia del Balompie (8ª) | GF alta: 1.50/gara | GS bassa: 2.38/gara | Profilo ultime 10: 0.92 | Real over index: 0.88;0.51;12.5;;;20.0;9.17;8.75;;;;1.3.0
2026-07-15;2026-07-16;Bolivia_DivisionProfesional_2026;13;The Strongest;Oriente Petrolero;Bolivia_DivisionProfesional_2026;Bolivia_DivisionProfesional_2026;;64.82;MEDIA-ALTA;Engine v1.3 | Squadra alta: The Strongest (1ª), squadra bassa: Oriente Petrolero (12ª) | GF alta: 1.62/gara | GS bassa: 1.38/gara | Profilo ultime 10: 0.69 | Real over index: 0.50;15.18;13.54;;;12.5;6.88;5.0;;;;1.3.0
2026-07-15;2026-07-16;USA_USLLeagueTwo_PlayOff_2026;1;Minneapolis City;West Virginia;USA_USLLeagueTwo_Heartland_2026;USA_USLLeagueTwo_Valley_2026;USA_USLLeagueTwo_2026;64.67;MEDIA-ALTA;Engine v1.3 | Squadra alta: Minneapolis City (3ª), squadra bassa: West Virginia (29ª) | GF alta: 3.85/gara | GS bassa: 1.00/gara | Profilo ultime 10: 0.80 | Real over index: 0.75;10.62;20.0;;;9.09;7.98;7.5;;;;1.3.0
