LeagueId;Home;Away;Score;Band;Round;Reason;Match;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent
USA_USLLeagueTwo_Metropolitan;Motown 2;Morris Elite;85.11;ALTA;20260630;Engine v1.3 | Squadra alta: Motown 2 (2ª), squadra bassa: Morris Elite (9ª) | GF alta: 3.00/gara | GS bassa: 2.67/gara | Profilo ultime 10: 0.76 | Real over index: 0.72;Motown 2 - Morris Elite;20.29;20.0;20.0;7.57;7.22
USA_USLLeagueTwo_Mountain;Flatirons;Colorado Storm;85.09;ALTA;20260631;Engine v1.3 | Squadra alta: Colorado Storm (2ª), squadra bassa: Flatirons (7ª) | GF alta: 2.56/gara | GS bassa: 3.00/gara | Profilo ultime 10: 0.79 | Real over index: 0.77;Flatirons - Colorado Storm;20.72;20.0;20.0;7.87;7.71
Australia_SAStateLeague;Adelaide Olympic;Salisbury Utd.;81.25;ALTA;17;Engine v1.3 | Squadra alta: Adelaide Olympic (4ª), squadra bassa: Salisbury Utd. (11ª) | GF alta: 1.94/gara | GS bassa: 2.38/gara | Profilo ultime 10: 0.87 | Real over index: 0.80;Adelaide Olympic - Salisbury Utd.;14.43;16.15;20.0;8.67;8.0
Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;Clarence Zebras U21;81.07;ALTA;13;Engine v1.3 | Squadra alta: Clarence Zebras U21 (6ª), squadra bassa: Glenorchy Knights U21 (9ª) | GF alta: 2.27/gara | GS bassa: 3.20/gara | Profilo ultime 10: 0.98 | Real over index: 0.95;Glenorchy Knights U21 - Clarence Zebras U21;8.81;18.94;20.0;9.83;9.5
Australia_NPLNorthernNSW;Edgeworth E.;Kahibah;80.79;ALTA;19;Engine v1.3 | Squadra alta: Edgeworth E. (5ª), squadra bassa: Kahibah (11ª) | GF alta: 2.00/gara | GS bassa: 2.40/gara | Profilo ultime 10: 0.98 | Real over index: 0.95;Edgeworth E. - Kahibah;10.79;16.67;20.0;9.83;9.5
Australia_NPLQueensland;Wynnum Wolves;Rochedale;74.31;MEDIA-ALTA;17;Engine v1.3 | Squadra alta: Wynnum Wolves (7ª), squadra bassa: Rochedale (9ª) | GF alta: 1.75/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.94 | Real over index: 0.90;Wynnum Wolves - Rochedale;7.36;14.58;20.0;9.37;9.0
Australia_NPLSouthAustralia;Adelaide Comets;Croydon;73.78;MEDIA-ALTA;17;Engine v1.3 | Squadra alta: Croydon (6ª), squadra bassa: Adelaide Comets (11ª) | GF alta: 2.12/gara | GS bassa: 1.88/gara | Profilo ultime 10: 0.84 | Real over index: 0.70;Adelaide Comets - Croydon;10.05;17.71;17.05;8.41;7.0
USA_USLLeagueTwo_Southwest;Redlands FC;Capo;72.95;MEDIA-ALTA;20260629;Engine v1.3 | Squadra alta: Redlands FC (2ª), squadra bassa: Capo (6ª) | GF alta: 2.11/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.80 | Real over index: 0.53;Redlands FC - Capo;10.36;17.59;18.18;7.96;5.28
Australia_NSWLeagueOne;Hurstville Zagreb;Canterbury Bankstown;72.82;MEDIA-ALTA;22;Engine v1.3 | Squadra alta: Canterbury Bankstown (4ª), squadra bassa: Hurstville Zagreb (11ª) | GF alta: 2.48/gara | GS bassa: 1.67/gara | Profilo ultime 10: 0.85 | Real over index: 0.75;Hurstville Zagreb - Canterbury Bankstown;7.68;20.0;15.15;8.49;7.5
USA_USLLeagueTwo_GreatPlains;Peoria;St. Louis Ambush;72.43;MEDIA-ALTA;20260630;Engine v1.3 | Squadra alta: Peoria (1ª), squadra bassa: St. Louis Ambush (4ª) | GF alta: 2.33/gara | GS bassa: 1.44/gara | Profilo ultime 10: 0.69 | Real over index: 0.50;Peoria - St. Louis Ambush;17.33;19.44;13.13;6.93;5.0
