PredictionDate;MatchDate;LeagueId;Round;Home;Away;Score;Band;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-07-12;2026-07-12;Australia_NorthernNSWStateLeague_2026;14;Toronto Awaba Stags;Wallsend Red Devils;92.63;ALTA;Engine v1.3 | Squadra alta: Wallsend Red Devils (1ª), squadra bassa: Toronto Awaba Stags (10ª) | GF alta: 2.85/gara | GS bassa: 2.62/gara | Profilo ultime 10: 0.86 | Real over index: 0.80;22.0;20.0;;;20.0;8.63;8.0;;;;1.3.0
2026-07-12;2026-07-12;USA_USLLeagueTwo_GreatLakes_2026;23;Flint City;Union FC Macomb;91.25;ALTA;Engine v1.3 | Squadra alta: Flint City (1ª), squadra bassa: Union FC Macomb (6ª) | GF alta: 2.80/gara | GS bassa: 3.00/gara | Profilo ultime 10: 0.92 | Real over index: 0.90;20.72;20.0;;;20.0;9.15;9.0;;;;1.3.0
2026-07-12;2026-07-12;USA_USLLeagueTwo_Heartland_2026;24;Edgewater Castle;Minneapolis City;90.15;ALTA;Engine v1.3 | Squadra alta: Minneapolis City (1ª), squadra bassa: Edgewater Castle (9ª) | GF alta: 3.80/gara | GS bassa: 3.73/gara | Profilo ultime 10: 0.84 | Real over index: 0.95;22.0;20.0;;;20.0;8.42;9.5;;;;1.3.0
2026-07-12;2026-07-12;Iceland_BestaDeildKarla_2026;19;Fram;Thor Akureyri;88.85;ALTA;Engine v1.3 | Squadra alta: Fram (3ª), squadra bassa: Thor Akureyri (12ª) | GF alta: 2.58/gara | GS bassa: 2.69/gara | Profilo ultime 10: 0.80 | Real over index: 0.70;20.6;20.0;;;20.0;7.97;7.0;;;;1.3.0
2026-07-12;2026-07-12;USA_USLLeagueTwo_GreatPlains_2026;20;Peoria;Springfield FC;88.84;ALTA;Engine v1.3 | Squadra alta: Peoria (1ª), squadra bassa: Springfield FC (6ª) | GF alta: 2.20/gara | GS bassa: 3.10/gara | Profilo ultime 10: 0.86 | Real over index: 0.75;22.0;18.33;;;20.0;8.62;7.5;;;;1.3.0
2026-07-12;2026-07-12;Somalia_NationalLeague_2026;19;Raadsan;Heegan;87.9;ALTA;Engine v1.3 | Squadra alta: Heegan (1ª), squadra bassa: Raadsan (10ª) | GF alta: 2.53/gara | GS bassa: 2.75/gara | Profilo ultime 10: 0.85 | Real over index: 0.70;20.6;20.0;;;20.0;8.55;7.0;;;;1.3.0
2026-07-12;2026-07-12;Estonia_Esiliiga_2026;21;Nomme Utd U21;Flora U21;87.46;ALTA;Engine v1.3 | Squadra alta: Flora U21 (2ª), squadra bassa: Nomme Utd U21 (10ª) | GF alta: 2.59/gara | GS bassa: 2.56/gara | Profilo ultime 10: 0.98 | Real over index: 0.95;14.13;20.0;;;20.0;9.83;9.5;;;;1.3.0
2026-07-12;2026-07-12;Iceland_Division_2_2026;23;Magni;Haukar;87.34;ALTA;Engine v1.3 | Squadra alta: Haukar (1ª), squadra bassa: Magni (11ª) | GF alta: 2.55/gara | GS bassa: 3.00/gara | Profilo ultime 10: 0.86 | Real over index: 0.75;17.4;20.0;;;20.0;8.58;7.5;;;;1.3.0
2026-07-12;2026-07-12;USA_MLSNextPro_EasternConference_SoutheastDivision_2026;18;Atlanta United 2;Inter Miami II;86.28;ALTA;Engine v1.3 | Squadra alta: Atlanta United 2 (1ª), squadra bassa: Inter Miami II (9ª) | GF alta: 2.50/gara | GS bassa: 2.36/gara | Profilo ultime 10: 0.70 | Real over index: 0.60;22.0;20.0;;;20.0;7.03;6.0;;;;1.3.0
2026-07-12;2026-07-12;USA_USLLeagueTwo_Ranger_2026;21;Denton Diablos;Fort Worth Vaqueros;84.48;ALTA;Engine v1.3 | Squadra alta: Denton Diablos (1ª), squadra bassa: Fort Worth Vaqueros (6ª) | GF alta: 2.30/gara | GS bassa: 3.44/gara | Profilo ultime 10: 0.70 | Real over index: 0.73;22.0;19.17;;;20.0;7.04;7.33;;;;1.3.0
