PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;HG;AG;Goals;Over25;BTTS
2026-07-06;2.1.0;USA_USLLeagueTwo_Chesapeake_2026;26;Christos;Loudoun 2;Christos - Loudoun 2;91.33;ALTA;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;1.6;11.33;13.0;10.0;14.0;9.6;10.8;5.33;6.67;9.0;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_NorCal_2026;27;San Francisco City;Academica SC;San Francisco City - Academica SC;85.48;ALTA;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;4.57;13.0;12.36;5.79;14.0;8.4;9.6;4.8;5.33;7.64;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_GreatLakes_2026;22;Lansing City;Flint City;Lansing City - Flint City;84.26;ALTA;buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;8.0;6.5;13.0;10.0;6.36;9.6;9.6;6.4;6.4;8.4;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_Metropolitan_2026;25;Ironbound SC;Staten Island ASC;Ironbound SC - Staten Island ASC;83.56;ALTA;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;5.33;13.0;8.27;5.56;14.0;8.0;10.8;4.0;6.4;8.2;;;;;
2026-07-06;2.1.0;USA_MLSNextPro_EasternConference_SoutheastDivision_2026;18;Crown Legacy;Orlando City B;Crown Legacy - Orlando City B;81.9;ALTA;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;1.14;13.0;13.0;6.06;11.26;7.2;10.8;4.0;6.4;9.04;;;;;
2026-07-06;2.1.0;Sweden_Allsvenskan_2026;17;Hacken;Djurgarden;Hacken - Djurgarden;81.45;ALTA;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;4.27;11.82;12.47;6.36;9.19;7.2;8.0;8.0;5.33;8.8;;;;;
2026-07-06;2.1.0;USA_MLSNextPro_WesternConference_PacificDivision_2026;19;Los Angeles FC 2;Real Monarchs;Los Angeles FC 2 - Real Monarchs;80.25;ALTA;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;5.33;10.83;9.09;7.58;11.26;8.4;7.2;5.0;6.4;9.15;;;;;
2026-07-06;2.1.0;Iceland_BestaDeildKarla_2026;19;Keflavik;Fram;Keflavik - Fram;79.05;ALTA;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, alta tendenza BTTS;3.64;8.37;13.0;8.71;12.73;7.2;8.4;4.0;4.0;9.0;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_Northwest_2026;32;Bigfoot;Portland Bangers;Bigfoot - Portland Bangers;77.62;ALTA;buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;5.71;7.52;9.85;10.0;9.02;9.6;7.2;6.0;6.4;6.32;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_NorCal_2026;27;Marin;Glens SC;Marin - Glens SC;75.7;ALTA;buon attacco casa, difesa casa vulnerabile, trend over recente casa, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;3.43;11.82;6.45;10.0;8.1;10.8;6.0;6.67;4.8;7.64;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_SouthCentral_2026;20;East Atlanta;Birmingham 2;East Atlanta - Birmingham 2;74.84;MEDIA;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;1.33;7.22;7.09;9.6;12.73;8.0;7.2;6.4;6.4;8.87;;;;;
2026-07-06;2.1.0;USA_USLLeagueOne_2026;22;AV Alta;Charlotte Independ.;AV Alta - Charlotte Independ.;71.96;MEDIA;buon attacco casa, buon attacco trasferta, trend over recente casa, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;0.5;8.67;13.0;5.15;8.32;7.2;9.6;4.44;6.86;8.22;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_Chesapeake_2026;26;Northern Virginia;Patuxent;Northern Virginia - Patuxent;71.0;MEDIA;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno;1.6;13.0;1.61;8.68;14.0;9.6;7.2;6.4;4.0;4.91;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_MidSouth_2026;17;Little Rock Rangers;Louisiana;Little Rock Rangers - Louisiana;70.99;MEDIA;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over esterno;1.33;11.16;13.0;2.02;9.55;6.67;8.4;4.0;8.0;6.87;;;;;
2026-07-06;2.1.0;USA_MLSNextPro_WesternConference_CentralDivision_2026;18;Austin FC II;Colorado Rapids 2;Austin FC II - Colorado Rapids 2;69.99;MEDIA;buon attacco casa, difesa trasferta vulnerabile, buon profilo over interno;8.0;13.0;4.43;3.5;13.79;6.0;6.0;5.0;4.0;6.27;;;;;
2026-07-06;2.1.0;Latvia_Virsliga_2026;22;Super Nova;Ogre United;Super Nova - Ogre United;69.45;MEDIA;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;1.78;5.91;5.91;8.24;14.0;6.0;8.4;5.71;6.0;7.5;;;;;
2026-07-06;2.1.0;Sweden_Allsvenskan_2026;17;Brommapojkarna;GAIS;Brommapojkarna - GAIS;67.09;MEDIA;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;0.53;8.86;8.6;7.27;6.36;9.6;7.2;5.33;6.4;6.93;;;;;
2026-07-06;2.1.0;Lithuania_Toplyga_2026;24;Suduva;Transinvest;Suduva - Transinvest;65.94;MEDIA;buon attacco casa, buon attacco trasferta, trend over recente casa, trend over recente trasferta, buon profilo over esterno;0.89;8.86;10.51;3.79;7.42;7.2;9.6;3.56;7.11;7.0;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_SouthAtlantic_2026;36;North Carolina FC U23;Asheville City;North Carolina FC U23 - Asheville City;64.44;MEDIA;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, buon profilo over esterno;1.6;9.67;10.83;8.26;3.71;8.4;6.0;3.2;6.4;6.36;;;;;
2026-07-06;2.1.0;USA_MLSNextPro_WesternConference_PacificDivision_2026;19;Tacoma Defiance;Portland Timbers 2;Tacoma Defiance - Portland Timbers 2;49.72;BASSA;difesa trasferta vulnerabile, trend over recente trasferta;1.33;7.22;7.52;3.03;9.26;4.0;7.2;3.43;2.0;4.73;;;;;
2026-07-06;2.1.0;USA_MLSNextPro_WesternConference_CentralDivision_2026;18;Huntsville;Chicago Fire II;Huntsville - Chicago Fire II;0.0;BASSA;profilo over non particolarmente marcato;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
