V22Range;V25Range;Total;OK;KO;PctOK;NoAUTotal;NoAUOK;NoAUKO;NoAUPctOK
55-59.99;55-59.99;0;0;0;0.0;0;0;0;0.0
55-59.99;60-64.99;0;0;0;0.0;0;0;0;0.0
55-59.99;65-69.99;0;0;0;0.0;0;0;0;0.0
55-59.99;70-74.99;0;0;0;0.0;0;0;0;0.0
55-59.99;75-79.99;0;0;0;0.0;0;0;0;0.0
55-59.99;80-84.99;0;0;0;0.0;0;0;0;0.0
55-59.99;85-89.99;0;0;0;0.0;0;0;0;0.0
55-59.99;90-94.99;0;0;0;0.0;0;0;0;0.0
55-59.99;95-99.99;0;0;0;0.0;0;0;0;0.0
60-64.99;55-59.99;0;0;0;0.0;0;0;0;0.0
60-64.99;60-64.99;0;0;0;0.0;0;0;0;0.0
60-64.99;65-69.99;0;0;0;0.0;0;0;0;0.0
60-64.99;70-74.99;0;0;0;0.0;0;0;0;0.0
60-64.99;75-79.99;0;0;0;0.0;0;0;0;0.0
60-64.99;80-84.99;0;0;0;0.0;0;0;0;0.0
60-64.99;85-89.99;0;0;0;0.0;0;0;0;0.0
60-64.99;90-94.99;0;0;0;0.0;0;0;0;0.0
60-64.99;95-99.99;0;0;0;0.0;0;0;0;0.0
65-69.99;55-59.99;0;0;0;0.0;0;0;0;0.0
65-69.99;60-64.99;0;0;0;0.0;0;0;0;0.0
65-69.99;65-69.99;2;2;0;100.0;2;2;0;100.0
65-69.99;70-74.99;0;0;0;0.0;0;0;0;0.0
65-69.99;75-79.99;0;0;0;0.0;0;0;0;0.0
65-69.99;80-84.99;0;0;0;0.0;0;0;0;0.0
65-69.99;85-89.99;0;0;0;0.0;0;0;0;0.0
65-69.99;90-94.99;0;0;0;0.0;0;0;0;0.0
65-69.99;95-99.99;0;0;0;0.0;0;0;0;0.0
70-74.99;55-59.99;0;0;0;0.0;0;0;0;0.0
70-74.99;60-64.99;0;0;0;0.0;0;0;0;0.0
70-74.99;65-69.99;0;0;0;0.0;0;0;0;0.0
70-74.99;70-74.99;1;1;0;100.0;1;1;0;100.0
70-74.99;75-79.99;0;0;0;0.0;0;0;0;0.0
70-74.99;80-84.99;0;0;0;0.0;0;0;0;0.0
70-74.99;85-89.99;0;0;0;0.0;0;0;0;0.0
70-74.99;90-94.99;0;0;0;0.0;0;0;0;0.0
70-74.99;95-99.99;0;0;0;0.0;0;0;0;0.0
75-79.99;55-59.99;0;0;0;0.0;0;0;0;0.0
75-79.99;60-64.99;0;0;0;0.0;0;0;0;0.0
75-79.99;65-69.99;0;0;0;0.0;0;0;0;0.0
75-79.99;70-74.99;0;0;0;0.0;0;0;0;0.0
75-79.99;75-79.99;2;2;0;100.0;2;2;0;100.0
75-79.99;80-84.99;0;0;0;0.0;0;0;0;0.0
75-79.99;85-89.99;0;0;0;0.0;0;0;0;0.0
75-79.99;90-94.99;0;0;0;0.0;0;0;0;0.0
75-79.99;95-99.99;0;0;0;0.0;0;0;0;0.0
80-84.99;55-59.99;0;0;0;0.0;0;0;0;0.0
80-84.99;60-64.99;0;0;0;0.0;0;0;0;0.0
80-84.99;65-69.99;0;0;0;0.0;0;0;0;0.0
80-84.99;70-74.99;0;0;0;0.0;0;0;0;0.0
80-84.99;75-79.99;0;0;0;0.0;0;0;0;0.0
80-84.99;80-84.99;2;2;0;100.0;2;2;0;100.0
80-84.99;85-89.99;0;0;0;0.0;0;0;0;0.0
80-84.99;90-94.99;0;0;0;0.0;0;0;0;0.0
80-84.99;95-99.99;0;0;0;0.0;0;0;0;0.0
85-89.99;55-59.99;0;0;0;0.0;0;0;0;0.0
85-89.99;60-64.99;0;0;0;0.0;0;0;0;0.0
85-89.99;65-69.99;0;0;0;0.0;0;0;0;0.0
85-89.99;70-74.99;0;0;0;0.0;0;0;0;0.0
85-89.99;75-79.99;0;0;0;0.0;0;0;0;0.0
85-89.99;80-84.99;0;0;0;0.0;0;0;0;0.0
85-89.99;85-89.99;0;0;0;0.0;0;0;0;0.0
85-89.99;90-94.99;0;0;0;0.0;0;0;0;0.0
85-89.99;95-99.99;0;0;0;0.0;0;0;0;0.0
90-94.99;55-59.99;0;0;0;0.0;0;0;0;0.0
90-94.99;60-64.99;0;0;0;0.0;0;0;0;0.0
90-94.99;65-69.99;0;0;0;0.0;0;0;0;0.0
90-94.99;70-74.99;0;0;0;0.0;0;0;0;0.0
90-94.99;75-79.99;0;0;0;0.0;0;0;0;0.0
90-94.99;80-84.99;0;0;0;0.0;0;0;0;0.0
90-94.99;85-89.99;0;0;0;0.0;0;0;0;0.0
90-94.99;90-94.99;4;4;0;100.0;4;4;0;100.0
90-94.99;95-99.99;0;0;0;0.0;0;0;0;0.0
95-99.99;55-59.99;0;0;0;0.0;0;0;0;0.0
95-99.99;60-64.99;0;0;0;0.0;0;0;0;0.0
95-99.99;65-69.99;0;0;0;0.0;0;0;0;0.0
95-99.99;70-74.99;0;0;0;0.0;0;0;0;0.0
95-99.99;75-79.99;0;0;0;0.0;0;0;0;0.0
95-99.99;80-84.99;0;0;0;0.0;0;0;0;0.0
95-99.99;85-89.99;0;0;0;0.0;0;0;0;0.0
95-99.99;90-94.99;0;0;0;0.0;0;0;0;0.0
95-99.99;95-99.99;0;0;0;0.0;0;0;0;0.0
