Rank;V22Min;V25Min;Total;OK;KO;PctOK;NoAUTotal;NoAUOK;NoAUKO;NoAUPctOK;TrainTotal;TrainOK;TrainKO;TrainPctOK;TestTotal;TestOK;TestKO;TestPctOK
91;62.0;61.0;11;11;0;100.0;11;11;0;100.0;8;8;0;100.0;3;3;0;100.0
92;62.0;62.0;11;11;0;100.0;11;11;0;100.0;8;8;0;100.0;3;3;0;100.0
93;62.0;63.0;11;11;0;100.0;11;11;0;100.0;8;8;0;100.0;3;3;0;100.0
94;62.0;64.0;11;11;0;100.0;11;11;0;100.0;8;8;0;100.0;3;3;0;100.0
95;62.0;65.0;11;11;0;100.0;11;11;0;100.0;8;8;0;100.0;3;3;0;100.0
96;62.0;66.0;11;11;0;100.0;11;11;0;100.0;8;8;0;100.0;3;3;0;100.0
97;63.0;55.0;11;11;0;100.0;11;11;0;100.0;8;8;0;100.0;3;3;0;100.0
98;63.0;56.0;11;11;0;100.0;11;11;0;100.0;8;8;0;100.0;3;3;0;100.0
99;63.0;57.0;11;11;0;100.0;11;11;0;100.0;8;8;0;100.0;3;3;0;100.0
100;63.0;58.0;11;11;0;100.0;11;11;0;100.0;8;8;0;100.0;3;3;0;100.0
