Scenario;Band_v20;Band_v22;Band_v25;ScoreRule;ScoreMin;ScoreMax;OK;KO;Total;HitRate
ALL;ALTA;ALTA;ALTA;>=75;75;;62;20;82;75.6098
ALL;ALTA;MEDIA;MEDIA;>=75;75;;3;3;6;50.0
ALL;BASSA;BASSA;BASSA;>=0 AND <60;0;60;144;125;269;53.5316
ALL;BASSA;BASSA;MEDIA;>=0 AND <60;0;60;3;0;3;100.0
ALL;BASSA;MEDIA;BASSA;>=0 AND <60;0;60;0;1;1;0.0
ALL;BASSA;MEDIA;MEDIA;>=0 AND <60;0;60;32;27;59;54.2373
ALL;MEDIA;ALTA;ALTA;>=0 AND <60;0;60;87;38;125;69.6
ALL;MEDIA;ALTA;MEDIA;>=0 AND <60;0;60;1;2;3;33.3333
ALL;MEDIA;BASSA;BASSA;>=0 AND <60;0;60;46;26;72;63.8889
ALL;MEDIA;BASSA;MEDIA;>=0 AND <60;0;60;1;0;1;100.0
ALL;MEDIA;MEDIA;ALTA;>=0 AND <60;0;60;4;0;4;100.0
ALL;MEDIA;MEDIA;BASSA;>=0 AND <60;0;60;3;6;9;33.3333
ALL;MEDIA;MEDIA;MEDIA;>=0 AND <60;0;60;207;164;371;55.7951
ALL;MEDIA-ALTA;ALTA;ALTA;>=60 AND <65;60;65;85;34;119;71.4286
ALL;MEDIA-ALTA;ALTA;ALTA;>=65 AND <67;65;67;41;15;56;73.2143
ALL;MEDIA-ALTA;ALTA;ALTA;>=67 AND <69;67;69;24;13;37;64.8649
ALL;MEDIA-ALTA;ALTA;ALTA;>=69 AND <71;69;71;16;8;24;66.6667
ALL;MEDIA-ALTA;ALTA;ALTA;>=71 AND <73;71;73;24;5;29;82.7586
ALL;MEDIA-ALTA;ALTA;ALTA;>=73 AND <75;73;75;23;6;29;79.3103
ALL;MEDIA-ALTA;ALTA;MEDIA;>=60 AND <65;60;65;0;1;1;0.0
ALL;MEDIA-ALTA;ALTA;MEDIA;>=65 AND <67;65;67;0;1;1;0.0
ALL;MEDIA-ALTA;BASSA;BASSA;>=60 AND <65;60;65;1;1;2;50.0
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=60 AND <65;60;65;38;18;56;67.8571
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=65 AND <67;65;67;5;2;7;71.4286
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=67 AND <69;67;69;3;5;8;37.5
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=69 AND <71;69;71;6;1;7;85.7143
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=71 AND <73;71;73;4;2;6;66.6667
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=73 AND <75;73;75;1;0;1;100.0
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=75;75;;41;9;50;82.0
NO_AUSTRALIA;ALTA;MEDIA;MEDIA;>=75;75;;2;0;2;100.0
NO_AUSTRALIA;BASSA;BASSA;BASSA;>=0 AND <60;0;60;127;115;242;52.4793
NO_AUSTRALIA;BASSA;BASSA;MEDIA;>=0 AND <60;0;60;1;0;1;100.0
NO_AUSTRALIA;BASSA;MEDIA;MEDIA;>=0 AND <60;0;60;28;23;51;54.902
NO_AUSTRALIA;MEDIA;ALTA;ALTA;>=0 AND <60;0;60;61;27;88;69.3182
NO_AUSTRALIA;MEDIA;ALTA;MEDIA;>=0 AND <60;0;60;1;2;3;33.3333
NO_AUSTRALIA;MEDIA;BASSA;BASSA;>=0 AND <60;0;60;44;22;66;66.6667
NO_AUSTRALIA;MEDIA;BASSA;MEDIA;>=0 AND <60;0;60;1;0;1;100.0
NO_AUSTRALIA;MEDIA;MEDIA;ALTA;>=0 AND <60;0;60;3;0;3;100.0
NO_AUSTRALIA;MEDIA;MEDIA;BASSA;>=0 AND <60;0;60;2;4;6;33.3333
NO_AUSTRALIA;MEDIA;MEDIA;MEDIA;>=0 AND <60;0;60;155;119;274;56.5693
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=60 AND <65;60;65;51;20;71;71.831
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=65 AND <67;65;67;30;11;41;73.1707
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=67 AND <69;67;69;14;7;21;66.6667
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=69 AND <71;69;71;12;6;18;66.6667
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=71 AND <73;71;73;15;4;19;78.9474
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=73 AND <75;73;75;14;4;18;77.7778
NO_AUSTRALIA;MEDIA-ALTA;ALTA;MEDIA;>=60 AND <65;60;65;0;1;1;0.0
NO_AUSTRALIA;MEDIA-ALTA;BASSA;BASSA;>=60 AND <65;60;65;1;1;2;50.0
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=60 AND <65;60;65;32;15;47;68.0851
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=65 AND <67;65;67;4;1;5;80.0
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=67 AND <69;67;69;3;1;4;75.0
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=69 AND <71;69;71;3;1;4;75.0
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=71 AND <73;71;73;4;1;5;80.0
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=73 AND <75;73;75;1;0;1;100.0
