Scenario;Band_v20;Band_v22;Band_v25;ScoreRule;ScoreMin;ScoreMax;OK;KO;Total;HitRate;AnalysisType;IsOriginalRule;OriginalRuleHitRate;DeltaVsOriginalRule;AtLeastAsPreciseAsOriginal
ALL;MEDIA-ALTA;ALTA;ALTA;>=71 AND <73;71;73;24;5;29;82.7586;BUCKET;False;81.0345;1.7241;True
ALL;MEDIA-ALTA;ALTA;ALTA;>=71;71;;47;11;58;81.0345;THRESHOLD;True;81.0345;0.0;True
ALL;MEDIA-ALTA;ALTA;ALTA;>=73;73;;23;6;29;79.3103;THRESHOLD;False;81.0345;-1.7242;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=73 AND <75;73;75;23;6;29;79.3103;BUCKET;False;81.0345;-1.7242;False
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=69;69;;11;3;14;78.5714;THRESHOLD;False;81.0345;-2.4631;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=69;69;;63;19;82;76.8293;THRESHOLD;False;81.0345;-4.2052;False
ALL;ALTA;ALTA;ALTA;>=60;60;;62;20;82;75.6098;THRESHOLD;False;81.0345;-5.4247;False
ALL;ALTA;ALTA;ALTA;>=65;65;;62;20;82;75.6098;THRESHOLD;False;81.0345;-5.4247;False
ALL;ALTA;ALTA;ALTA;>=67;67;;62;20;82;75.6098;THRESHOLD;False;81.0345;-5.4247;False
ALL;ALTA;ALTA;ALTA;>=69;69;;62;20;82;75.6098;THRESHOLD;False;81.0345;-5.4247;False
ALL;ALTA;ALTA;ALTA;>=71;71;;62;20;82;75.6098;THRESHOLD;False;81.0345;-5.4247;False
ALL;ALTA;ALTA;ALTA;>=73;73;;62;20;82;75.6098;THRESHOLD;False;81.0345;-5.4247;False
ALL;ALTA;ALTA;ALTA;>=75;75;;62;20;82;75.6098;THRESHOLD;False;81.0345;-5.4247;False
ALL;ALTA;ALTA;ALTA;>=75;75;;62;20;82;75.6098;BUCKET;False;81.0345;-5.4247;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=65 AND <67;65;67;41;15;56;73.2143;BUCKET;False;81.0345;-7.8202;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=65;65;;128;47;175;73.1429;THRESHOLD;False;81.0345;-7.8916;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=67;67;;87;32;119;73.1092;THRESHOLD;False;81.0345;-7.9253;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=60;60;;213;81;294;72.449;THRESHOLD;False;81.0345;-8.5855;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=60 AND <65;60;65;85;34;119;71.4286;BUCKET;False;81.0345;-9.6059;False
ALL;MEDIA;ALTA;ALTA;>=0 AND <60;0;60;87;38;125;69.6;BUCKET;False;81.0345;-11.4345;False
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=60 AND <65;60;65;38;18;56;67.8571;BUCKET;False;81.0345;-13.1774;False
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=60;60;;57;28;85;67.0588;THRESHOLD;False;81.0345;-13.9757;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=69 AND <71;69;71;16;8;24;66.6667;BUCKET;False;81.0345;-14.3678;False
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=65;65;;19;10;29;65.5172;THRESHOLD;False;81.0345;-15.5173;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=67 AND <69;67;69;24;13;37;64.8649;BUCKET;False;81.0345;-16.1696;False
ALL;MEDIA;BASSA;BASSA;>=0 AND <60;0;60;46;26;72;63.8889;BUCKET;False;81.0345;-17.1456;False
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=67;67;;14;8;22;63.6364;THRESHOLD;False;81.0345;-17.3981;False
ALL;MEDIA;MEDIA;MEDIA;>=0 AND <60;0;60;207;164;371;55.7951;BUCKET;False;81.0345;-25.2394;False
ALL;BASSA;MEDIA;MEDIA;>=0 AND <60;0;60;32;27;59;54.2373;BUCKET;False;81.0345;-26.7972;False
ALL;BASSA;BASSA;BASSA;>=0 AND <60;0;60;144;125;269;53.5316;BUCKET;False;81.0345;-27.5029;False
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=60;60;;41;9;50;82.0;THRESHOLD;False;78.3784;3.6216;True
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=65;65;;41;9;50;82.0;THRESHOLD;False;78.3784;3.6216;True
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=67;67;;41;9;50;82.0;THRESHOLD;False;78.3784;3.6216;True
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=69;69;;41;9;50;82.0;THRESHOLD;False;78.3784;3.6216;True
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=71;71;;41;9;50;82.0;THRESHOLD;False;78.3784;3.6216;True
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=73;73;;41;9;50;82.0;THRESHOLD;False;78.3784;3.6216;True
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=75;75;;41;9;50;82.0;THRESHOLD;False;78.3784;3.6216;True
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=75;75;;41;9;50;82.0;BUCKET;False;78.3784;3.6216;True
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=69;69;;8;2;10;80.0;THRESHOLD;False;78.3784;1.6216;True
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=65;65;;15;4;19;78.9474;THRESHOLD;False;78.3784;0.569;True
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=71 AND <73;71;73;15;4;19;78.9474;BUCKET;False;78.3784;0.569;True
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=67;67;;11;3;14;78.5714;THRESHOLD;False;78.3784;0.193;True
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=71;71;;29;8;37;78.3784;THRESHOLD;True;78.3784;0.0;True
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=73;73;;14;4;18;77.7778;THRESHOLD;False;78.3784;-0.6006;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=73 AND <75;73;75;14;4;18;77.7778;BUCKET;False;78.3784;-0.6006;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=69;69;;41;14;55;74.5455;THRESHOLD;False;78.3784;-3.8329;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=65 AND <67;65;67;30;11;41;73.1707;BUCKET;False;78.3784;-5.2077;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=65;65;;85;32;117;72.6496;THRESHOLD;False;78.3784;-5.7288;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=67;67;;55;21;76;72.3684;THRESHOLD;False;78.3784;-6.01;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=60;60;;136;52;188;72.3404;THRESHOLD;False;78.3784;-6.038;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=60 AND <65;60;65;51;20;71;71.831;BUCKET;False;78.3784;-6.5474;False
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=60;60;;47;19;66;71.2121;THRESHOLD;False;78.3784;-7.1663;False
NO_AUSTRALIA;MEDIA;ALTA;ALTA;>=0 AND <60;0;60;61;27;88;69.3182;BUCKET;False;78.3784;-9.0602;False
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=60 AND <65;60;65;32;15;47;68.0851;BUCKET;False;78.3784;-10.2933;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=69 AND <71;69;71;12;6;18;66.6667;BUCKET;False;78.3784;-11.7117;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=67 AND <69;67;69;14;7;21;66.6667;BUCKET;False;78.3784;-11.7117;False
NO_AUSTRALIA;MEDIA;BASSA;BASSA;>=0 AND <60;0;60;44;22;66;66.6667;BUCKET;False;78.3784;-11.7117;False
NO_AUSTRALIA;MEDIA;MEDIA;MEDIA;>=0 AND <60;0;60;155;119;274;56.5693;BUCKET;False;78.3784;-21.8091;False
NO_AUSTRALIA;BASSA;MEDIA;MEDIA;>=0 AND <60;0;60;28;23;51;54.902;BUCKET;False;78.3784;-23.4764;False
NO_AUSTRALIA;BASSA;BASSA;BASSA;>=0 AND <60;0;60;127;115;242;52.4793;BUCKET;False;78.3784;-25.8991;False
