Scenario;Band_v20;Band_v22;Band_v25;ScoreRule;ScoreMin;ScoreMax;OK;KO;Total;HitRate;AnalysisType;IsOriginalRule
ALL;MEDIA-ALTA;ALTA;ALTA;>=71 AND <73;71;73;24;5;29;82.7586;BUCKET;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=71;71;;47;11;58;81.0345;THRESHOLD;True
ALL;MEDIA-ALTA;ALTA;ALTA;>=73;73;;23;6;29;79.3103;THRESHOLD;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=73 AND <75;73;75;23;6;29;79.3103;BUCKET;False
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=69;69;;11;3;14;78.5714;THRESHOLD;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=69;69;;63;19;82;76.8293;THRESHOLD;False
ALL;ALTA;ALTA;ALTA;>=60;60;;62;20;82;75.6098;THRESHOLD;False
ALL;ALTA;ALTA;ALTA;>=65;65;;62;20;82;75.6098;THRESHOLD;False
ALL;ALTA;ALTA;ALTA;>=67;67;;62;20;82;75.6098;THRESHOLD;False
ALL;ALTA;ALTA;ALTA;>=69;69;;62;20;82;75.6098;THRESHOLD;False
ALL;ALTA;ALTA;ALTA;>=71;71;;62;20;82;75.6098;THRESHOLD;False
ALL;ALTA;ALTA;ALTA;>=73;73;;62;20;82;75.6098;THRESHOLD;False
ALL;ALTA;ALTA;ALTA;>=75;75;;62;20;82;75.6098;THRESHOLD;False
ALL;ALTA;ALTA;ALTA;>=75;75;;62;20;82;75.6098;BUCKET;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=65 AND <67;65;67;41;15;56;73.2143;BUCKET;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=65;65;;128;47;175;73.1429;THRESHOLD;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=67;67;;87;32;119;73.1092;THRESHOLD;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=60;60;;213;81;294;72.449;THRESHOLD;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=60 AND <65;60;65;85;34;119;71.4286;BUCKET;False
ALL;MEDIA;ALTA;ALTA;>=0 AND <60;0;60;87;38;125;69.6;BUCKET;False
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=60 AND <65;60;65;38;18;56;67.8571;BUCKET;False
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=60;60;;57;28;85;67.0588;THRESHOLD;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=69 AND <71;69;71;16;8;24;66.6667;BUCKET;False
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=65;65;;19;10;29;65.5172;THRESHOLD;False
ALL;MEDIA-ALTA;ALTA;ALTA;>=67 AND <69;67;69;24;13;37;64.8649;BUCKET;False
ALL;MEDIA;BASSA;BASSA;>=0 AND <60;0;60;46;26;72;63.8889;BUCKET;False
ALL;MEDIA-ALTA;MEDIA;MEDIA;>=67;67;;14;8;22;63.6364;THRESHOLD;False
ALL;MEDIA;MEDIA;MEDIA;>=0 AND <60;0;60;207;164;371;55.7951;BUCKET;False
ALL;BASSA;MEDIA;MEDIA;>=0 AND <60;0;60;32;27;59;54.2373;BUCKET;False
ALL;BASSA;BASSA;BASSA;>=0 AND <60;0;60;144;125;269;53.5316;BUCKET;False
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=60;60;;41;9;50;82.0;THRESHOLD;False
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=65;65;;41;9;50;82.0;THRESHOLD;False
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=67;67;;41;9;50;82.0;THRESHOLD;False
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=69;69;;41;9;50;82.0;THRESHOLD;False
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=71;71;;41;9;50;82.0;THRESHOLD;False
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=73;73;;41;9;50;82.0;THRESHOLD;False
