Scenario;Rule;OK;KO;Total;HitRate
ALL;"v20=MEDIA-ALTA;Score>=71;v22=ALTA;v25=ALTA";47;11;58;81.0345
NO_AUSTRALIA;"v20=MEDIA-ALTA;Score>=71;v22=ALTA;v25=ALTA";29;8;37;78.3784
