MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-07-14;Finland_Kakkonen_GroupC;GBK Kokkola;Narpes Kraft;72.06;MEDIA-ALTA;14;2026-07-14;Ranking gap: 0.078 | Attacco casa: 2.25/gara | Difesa trasferta subisce: 2.25/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 1.00;1.56;22.5;;;22.5;10.5;15.0;;;;2.0.0
2026-07-14;Australia_NPLNorthernNSW;Kahibah;Maitland;63.82;MEDIA-ALTA;20;2026-07-14;Ranking gap: 0.328 | Attacco casa: 1.53/gara | Difesa trasferta subisce: 1.65/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.70;6.56;15.29;;;16.47;15.0;10.5;;;;2.0.0
2026-07-14;Australia_NPLNorthernNSW;Charlestown Azzurri;Weston Bears;62.88;MEDIA-ALTA;20;2026-07-14;Ranking gap: 0.385 | Attacco casa: 1.41/gara | Difesa trasferta subisce: 1.71/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.70;7.7;14.12;;;17.06;13.5;10.5;;;;2.0.0
2026-07-14;Bolivia_DivisionProfesional;Blooming;GV San Jose;60.34;MEDIA-ALTA;13;2026-07-14;Ranking gap: 0.111 | Attacco casa: 1.75/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.62 | Over25 trasferta ultime10: 0.75;2.22;17.5;;;20.0;9.38;11.25;;;;2.0.0
2026-07-14;USA_USLLeagueTwo_MidAtlantic;LVU Rush;Appalachian;55.91;MEDIA;30;2026-07-14;Ranking gap: 0.928 | Attacco casa: 2.38/gara | Difesa trasferta subisce: 0.00/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.00;18.56;23.85;;;0.0;13.5;0.0;;;;2.0.0
2026-07-14;USA_USLLeagueTwo_Northeast;NEFC;Ironbound SC;55.36;MEDIA;32;2026-07-14;Ranking gap: 0.950 | Attacco casa: 2.29/gara | Difesa trasferta subisce: 0.00/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.00;19.0;22.86;;;0.0;13.5;0.0;;;;2.0.0
2026-07-14;Bolivia_DivisionProfesional;Real Oruro;Always Ready;49.69;MEDIA;13;2026-07-14;Ranking gap: 0.078 | Attacco casa: 2.12/gara | Difesa trasferta subisce: 0.62/gara | Over25 casa ultime10: 0.88 | Over25 trasferta ultime10: 0.50;1.56;21.25;;;6.25;13.12;7.5;;;;2.0.0
2026-07-14;Finland_Ykkosliiga;Jippo;Mikkeli;44.06;BASSA;16;2026-07-14;Ranking gap: 0.386 | Attacco casa: 1.36/gara | Difesa trasferta subisce: 1.08/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.40;7.72;13.57;;;10.77;6.0;6.0;;;;2.0.0
2026-07-14;USA_USLLeagueTwo_SouthAtlantic;Asheville City;Virginia Beach;40.98;BASSA;38;2026-07-14;Ranking gap: 0.892 | Attacco casa: 1.71/gara | Difesa trasferta subisce: 0.00/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.00;17.84;17.14;;;0.0;6.0;0.0;;;;2.0.0
2026-07-14;Bhutan_PremierLeague;Tensung;Thimphu City;30.67;BASSA;10;2026-07-14;Ranking gap: 0.221 | Attacco casa: 0.38/gara | Difesa trasferta subisce: 0.75/gara | Over25 casa ultime10: 0.38 | Over25 trasferta ultime10: 0.62;4.42;3.75;;;7.5;5.62;9.38;;;;2.0.0
