model_version;country;league;home;away;match;score;band;ranking_component;strong_gf_component;weak_ga_component;strong_ga_component;weak_gf_component;last10_component;real_over_index_component;random_component;risultato;ESITO;reason
1.1;Norway;3rd Division Group 2;Odd 2;Flekkeroy;Odd 2 - Flekkeroy;85.19;ALTA;15.05;20.0;20.0;7.0;7.0;8.63;7.5;0.0;;;Squadra alta: Flekkeroy (1ª), squadra bassa: Odd 2 (14ª) | GF alta: 2.60/gara | GS bassa: 2.90/gara | Profilo ultime 10: 0.86
1.1;Norway;3rd Division Group 2;Haugesund 2;Madla IL;Haugesund 2 - Madla IL;80.62;ALTA;10.42;19.17;20.0;6.46;7.0;9.07;8.5;0.0;;;Squadra alta: Madla IL (2ª), squadra bassa: Haugesund 2 (11ª) | GF alta: 2.30/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.91
1.1;Sweden;Division 2 Sodra Svealand;Syrianska;Ragsved;Syrianska - Ragsved;74.54;MEDIA-ALTA;6.95;18.75;20.0;7.0;7.0;8.17;6.67;0.0;;;Squadra alta: Ragsved (7ª), squadra bassa: Syrianska (13ª) | GF alta: 2.25/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.82
1.1;Norway;3rd Division Group 4;Fana;Sogndal 2;Fana - Sogndal 2;72.94;MEDIA-ALTA;4.63;20.0;18.18;7.0;7.0;8.79;7.33;0.0;;;Squadra alta: Sogndal 2 (4ª), squadra bassa: Fana (8ª) | GF alta: 3.11/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.88
1.1;Norway;3rd Division Group 2;Aalesund 2;Ranheim 2;Aalesund 2 - Ranheim 2;71.11;MEDIA-ALTA;1.16;20.0;20.0;7.0;7.0;8.95;7.0;0.0;;;Squadra alta: Ranheim 2 (13ª), squadra bassa: Aalesund 2 (14ª) | GF alta: 2.50/gara | GS bassa: 3.10/gara | Profilo ultime 10: 0.90
1.1;Estonia;Esiliiga B;Tallinna Kalev U21;Narva U21;Tallinna Kalev U21 - Narva U21;70.46;MEDIA-ALTA;5.79;20.0;20.0;7.0;7.0;6.79;3.88;0.0;;;Squadra alta: Narva U21 (4ª), squadra bassa: Tallinna Kalev U21 (9ª) | GF alta: 2.53/gara | GS bassa: 2.31/gara | Profilo ultime 10: 0.68
1.1;Estonia;Esiliiga B;Levadia U19;Johvi Phoenix;Levadia U19 - Johvi Phoenix;68.51;MEDIA-ALTA;4.63;20.0;17.61;7.0;7.0;7.58;4.69;0.0;;;Squadra alta: Johvi Phoenix (3ª), squadra bassa: Levadia U19 (7ª) | GF alta: 2.62/gara | GS bassa: 1.94/gara | Profilo ultime 10: 0.76
1.1;Estonia;Esiliiga B;Legion;Parnu JK Vaprus U21;Legion - Parnu JK Vaprus U21;68.43;MEDIA-ALTA;5.79;20.0;20.0;7.0;4.28;6.53;4.83;0.0;;;Squadra alta: Parnu JK Vaprus U21 (5ª), squadra bassa: Legion (10ª) | GF alta: 2.62/gara | GS bassa: 4.00/gara | Profilo ultime 10: 0.65
1.1;Latvia;Virsliga;RFS;Ogre United;RFS - Ogre United;67.12;MEDIA-ALTA;9.26;19.44;20.0;4.19;5.19;5.43;3.61;0.0;;;Squadra alta: RFS (2ª), squadra bassa: Ogre United (10ª) | GF alta: 2.33/gara | GS bassa: 2.33/gara | Profilo ultime 10: 0.54
1.1;Estonia;Esiliiga B;Tulevik;Tammeka U21;Tulevik - Tammeka U21;65.86;MEDIA-ALTA;0.52;20.0;18.75;7.0;7.0;7.59;5.0;0.0;;;Squadra alta: Tammeka U21 (1ª), squadra bassa: Tulevik (2ª) | GF alta: 3.00/gara | GS bassa: 2.06/gara | Profilo ultime 10: 0.76
1.1;Iceland;Besta deild;KR Reykjavik;Akranes;KR Reykjavik - Akranes;63.7;MEDIA-ALTA;1.56;20.0;14.55;7.0;7.0;7.46;6.14;0.0;;;Squadra alta: KR Reykjavik (2ª), squadra bassa: Akranes (5ª) | GF alta: 3.45/gara | GS bassa: 1.60/gara | Profilo ultime 10: 0.75
1.1;Estonia;Esiliiga;Elva;Flora U21;Elva - Flora U21;62.14;MEDIA-ALTA;0.52;20.0;15.34;7.0;7.0;7.01;5.26;0.0;;;Squadra alta: Flora U21 (3ª), squadra bassa: Elva (4ª) | GF alta: 2.77/gara | GS bassa: 1.69/gara | Profilo ultime 10: 0.70
1.1;Estonia;Esiliiga;Maardu;Viimsi JK;Maardu - Viimsi JK;61.77;MEDIA-ALTA;8.11;14.44;20.0;3.95;7.0;4.94;3.33;0.0;;;Squadra alta: Viimsi JK (2ª), squadra bassa: Maardu (9ª) | GF alta: 1.73/gara | GS bassa: 2.20/gara | Profilo ultime 10: 0.49
1.1;Norway;3rd Division Group 4;Forde;Åsane 2;Forde - Åsane 2;59.94;MEDIA;4.63;12.5;15.45;7.0;7.0;7.85;5.5;0.0;;;Squadra alta: Forde (7ª), squadra bassa: Åsane 2 (11ª) | GF alta: 1.50/gara | GS bassa: 1.70/gara | Profilo ultime 10: 0.79
1.1;Sweden;Superettan;Oddevold;Ljungskile;Oddevold - Ljungskile;57.91;MEDIA;4.63;15.97;12.12;7.0;7.0;6.6;4.58;0.0;;;Squadra alta: Oddevold (9ª), squadra bassa: Ljungskile (13ª) | GF alta: 1.92/gara | GS bassa: 1.33/gara | Profilo ultime 10: 0.66
1.1;Sweden;Superettan;Örebro;Sandviken;Örebro - Sandviken;55.67;MEDIA;9.9;13.19;12.12;7.0;4.86;5.26;3.33;0.0;;;Squadra alta: Sandviken (11ª), squadra bassa: Örebro (12ª) | GF alta: 1.58/gara | GS bassa: 1.33/gara | Profilo ultime 10: 0.53
1.1;Australia;NSW NPL U20;Sydney Olympic U20;Rockdale Ilinden U20;Sydney Olympic U20 - Rockdale Ilinden U20;54.51;MEDIA;2.32;11.4;20.0;7.0;5.22;4.62;3.95;0.0;;;Squadra alta: Rockdale Ilinden U20 (14ª), squadra bassa: Sydney Olympic U20 (16ª) | GF alta: 1.37/gara | GS bassa: 2.89/gara | Profilo ultime 10: 0.46
1.1;Sweden;Division 2 Sodra Svealand;Sleipner;Nykopings;Sleipner - Nykopings;54.31;MEDIA;1.04;15.28;14.39;4.49;7.0;7.11;5.0;0.0;;;Squadra alta: Nykopings (2ª), squadra bassa: Sleipner (4ª) | GF alta: 1.83/gara | GS bassa: 1.58/gara | Profilo ultime 10: 0.71
1.1;Sweden;Division 2 Norrland;Boden;IFK Lulea;Boden - IFK Lulea;54.09;MEDIA;0.52;20.0;8.18;6.46;7.0;6.93;5.0;0.0;;;Squadra alta: IFK Lulea (3ª), squadra bassa: Boden (4ª) | GF alta: 2.80/gara | GS bassa: 0.90/gara | Profilo ultime 10: 0.69
1.1;Sweden;Superettan;Varberg;Landskrona;Varberg - Landskrona;53.53;MEDIA;4.63;16.67;9.09;5.83;7.0;6.55;3.75;0.0;;;Squadra alta: Varberg (3ª), squadra bassa: Landskrona (7ª) | GF alta: 2.00/gara | GS bassa: 1.00/gara | Profilo ultime 10: 0.66
1.1;Ireland;Premier Division;Shelbourne;Bohemians;Shelbourne - Bohemians;47.03;MEDIA;1.16;12.5;12.55;6.61;7.0;4.21;3.01;0.0;;;Squadra alta: Bohemians (4ª), squadra bassa: Shelbourne (5ª) | GF alta: 1.50/gara | GS bassa: 1.38/gara | Profilo ultime 10: 0.42
1.1;Ireland;Premier Division;Shamrock Rovers;Derry City;Shamrock Rovers - Derry City;45.33;MEDIA;5.79;12.88;10.74;4.65;7.0;2.67;1.59;0.0;;;Squadra alta: Shamrock Rovers (1ª), squadra bassa: Derry City (6ª) | GF alta: 1.55/gara | GS bassa: 1.18/gara | Profilo ultime 10: 0.27
