model_version;country;league;home;away;match;score;band;ranking_component;strong_gf_component;weak_ga_component;strong_ga_component;weak_gf_component;last10_component;real_over_index_component;random_component;risultato;ESITO;reason
1.1;Norway;3rd Division;Sandefjord 2;Brumunddal;Sandefjord 2 - Brumunddal;81.98;ALTA;9.26;20.0;20.0;7.0;7.0;9.21;9.5;0.0;;;Squadra alta: Sandefjord 2 (5ª), squadra bassa: Brumunddal (13ª) | GF alta: 2.80/gara | GS bassa: 3.60/gara | Profilo ultime 10: 0.92
1.1;Norway;OBOS-ligaen;Strømmen;Stabaek;Strømmen - Stabaek;80.4;ALTA;12.74;18.94;20.0;6.36;7.0;8.09;7.27;0.0;;;Squadra alta: Stabaek (5ª), squadra bassa: Strømmen (16ª) | GF alta: 2.27/gara | GS bassa: 3.00/gara | Profilo ultime 10: 0.81
1.1;Norway;3rd Division;Floya;Strømsgodset 2;Floya - Strømsgodset 2;78.24;ALTA;5.79;20.0;20.0;7.0;7.0;9.45;9.0;0.0;;;Squadra alta: Floya (3ª), squadra bassa: Strømsgodset 2 (8ª) | GF alta: 2.40/gara | GS bassa: 2.20/gara | Profilo ultime 10: 0.95
1.1;Iceland;Division 1;Aegir;Throttur;Aegir - Throttur;74.73;MEDIA-ALTA;11.58;19.44;17.17;5.98;7.0;7.44;6.11;0.0;;;Squadra alta: Throttur (1ª), squadra bassa: Aegir (11ª) | GF alta: 2.33/gara | GS bassa: 1.89/gara | Profilo ultime 10: 0.74
1.1;Norway;OBOS-ligaen;Egersund;Haugesund;Egersund - Haugesund;72.8;MEDIA-ALTA;9.26;20.0;15.7;7.0;7.0;7.47;6.36;0.0;;;Squadra alta: Haugesund (3ª), squadra bassa: Egersund (11ª) | GF alta: 3.09/gara | GS bassa: 1.73/gara | Profilo ultime 10: 0.75
1.1;Iceland;Besta deild;Valur;Keflavik;Valur - Keflavik;72.14;MEDIA-ALTA;9.9;14.39;18.18;7.0;7.0;8.53;7.14;0.0;;;Squadra alta: Valur (6ª), squadra bassa: Keflavik (8ª) | GF alta: 1.73/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.85
1.1;Iceland;Besta deild;Breidablik;Akureyri;Breidablik - Akureyri;70.27;MEDIA-ALTA;5.79;20.0;17.27;7.0;7.0;7.7;5.5;0.0;;;Squadra alta: Breidablik (4ª), squadra bassa: Akureyri (9ª) | GF alta: 2.60/gara | GS bassa: 1.90/gara | Profilo ultime 10: 0.77
1.1;Norway;2nd Division;Trygg/Lade;Lørenskog;Trygg/Lade - Lørenskog;70.26;MEDIA-ALTA;11.58;15.15;19.01;4.9;6.89;7.28;5.45;0.0;;;Squadra alta: Lørenskog (4ª), squadra bassa: Trygg/Lade (14ª) | GF alta: 1.82/gara | GS bassa: 2.09/gara | Profilo ultime 10: 0.73
1.1;Iceland;Besta deild;Vestmannaeyjar;Stjarnan;Vestmannaeyjar - Stjarnan;69.54;MEDIA-ALTA;3.47;16.67;20.0;7.0;7.0;8.72;6.68;0.0;;;Squadra alta: Stjarnan (7ª), squadra bassa: Vestmannaeyjar (10ª) | GF alta: 2.00/gara | GS bassa: 2.40/gara | Profilo ultime 10: 0.87
1.1;Norway;3rd Division;Akra;Vindbjart;Akra - Vindbjart;69.14;MEDIA-ALTA;8.11;15.0;20.0;6.46;7.0;7.57;5.0;0.0;;;Squadra alta: Vindbjart (5ª), squadra bassa: Akra (12ª) | GF alta: 1.80/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.76
