model_version;country;league;home;away;match;score;band;ranking_component;strong_gf_component;weak_ga_component;strong_ga_component;weak_gf_component;last10_component;real_over_index_component;random_component;risultato;ESITO;reason
1.1;Norway;3rd Division Group 6;Gamle Oslo;Lokomotiv Oslo;Gamle Oslo - Lokomotiv Oslo;79.38;ALTA;9.26;20.0;20.0;7.0;7.0;8.84;7.27;0.0;;;Squadra alta: Gamle Oslo (6ª), squadra bassa: Lokomotiv Oslo (14ª) | GF alta: 3.36/gara | GS bassa: 3.55/gara | Profilo ultime 10: 0.88
1.1;Australia;Northern NSW State League;Lake Macquarie;West Wallsend;Lake Macquarie - West Wallsend;72.44;MEDIA-ALTA;4.63;20.0;19.83;7.0;7.0;8.07;5.91;0.0;;;Squadra alta: Lake Macquarie (2ª), squadra bassa: West Wallsend (6ª) | GF alta: 3.09/gara | GS bassa: 2.18/gara | Profilo ultime 10: 0.81
1.1;Sweden;Division 2 Norrland;Kubikenborgs IF;Fransta;Kubikenborgs IF - Fransta;70.24;MEDIA-ALTA;5.79;16.67;20.0;7.0;7.0;7.88;5.91;0.0;;;Squadra alta: Kubikenborgs IF (2ª), squadra bassa: Fransta (7ª) | GF alta: 2.00/gara | GS bassa: 2.64/gara | Profilo ultime 10: 0.79
1.1;Australia;Northern NSW NPL;Charlestown Azzurri;Cooks Hill United;Charlestown Azzurri - Cooks Hill United;67.32;MEDIA-ALTA;5.79;16.07;19.58;7.0;7.0;6.69;5.19;0.0;;;Squadra alta: Cooks Hill United (7ª), squadra bassa: Charlestown Azzurri (12ª) | GF alta: 1.93/gara | GS bassa: 2.15/gara | Profilo ultime 10: 0.67
1.1;Sweden;Division 2 Sodra Svealand;Lindo FF;Smedby;Lindo FF - Smedby;66.4;MEDIA-ALTA;6.95;18.59;16.08;7.0;7.0;6.16;4.62;0.0;;;Squadra alta: Smedby (5ª), squadra bassa: Lindo FF (11ª) | GF alta: 2.23/gara | GS bassa: 1.77/gara | Profilo ultime 10: 0.62
1.1;Sweden;Division 2 Vastra Gotaland;Frölunda;Qviding;Frölunda - Qviding;66.36;MEDIA-ALTA;5.79;17.31;16.78;7.0;7.0;7.48;5.0;0.0;;;Squadra alta: Frölunda (3ª), squadra bassa: Qviding (8ª) | GF alta: 2.08/gara | GS bassa: 1.85/gara | Profilo ultime 10: 0.75
1.1;Australia;Northern NSW NPL;Kahibah;Adamstown Rosebud;Kahibah - Adamstown Rosebud;66.15;MEDIA-ALTA;9.9;11.11;20.0;7.0;7.0;6.28;4.86;0.0;;;Squadra alta: Adamstown Rosebud (10ª), squadra bassa: Kahibah (11ª) | GF alta: 1.33/gara | GS bassa: 2.43/gara | Profilo ultime 10: 0.63
1.1;Sweden;Division 1 Norra;Karlbergs;Pitea;Karlbergs - Pitea;65.21;MEDIA-ALTA;6.95;12.82;20.0;7.0;6.73;6.33;5.38;0.0;;;Squadra alta: Karlbergs (9ª), squadra bassa: Pitea (15ª) | GF alta: 1.54/gara | GS bassa: 2.23/gara | Profilo ultime 10: 0.63
1.1;Sweden;Division 2 Sodra Gotaland;Lilla Torg;Torns;Lilla Torg - Torns;60.38;MEDIA-ALTA;9.9;7.05;20.0;7.0;7.0;5.58;3.85;0.0;;;Squadra alta: Lilla Torg (9ª), squadra bassa: Torns (10ª) | GF alta: 0.85/gara | GS bassa: 2.54/gara | Profilo ultime 10: 0.56
1.1;Lithuania;I Lyga;Babrungas;Kauno Zalgiris 2;Babrungas - Kauno Zalgiris 2;57.5;MEDIA;16.21;16.03;16.08;1.66;3.14;3.23;1.15;0.0;;;Squadra alta: Babrungas (2ª), squadra bassa: Kauno Zalgiris 2 (16ª) | GF alta: 1.92/gara | GS bassa: 1.77/gara | Profilo ultime 10: 0.32
