Scope;Engine;Filter;Base_OK;Base_KO;Base_Total;Base_HitRate;Filtered_OK;Filtered_KO;Filtered_Total;Filtered_HitRate;DeltaHitRate;OK_Removed;KO_Removed;CoveragePct
COMMON_SET;v13;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
COMMON_SET;v20;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
COMMON_SET;v21;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
COMMON_SET;v21dev;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
COMMON_SET;v22;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
COMMON_SET;v23;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
COMMON_SET;v24;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
COMMON_SET;v25;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
COMMON_SET;v251;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
COMMON_SET;v26;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
