Scope;Engine;Filter;Base_OK;Base_KO;Base_Total;Base_HitRate;Filtered_OK;Filtered_KO;Filtered_Total;Filtered_HitRate;DeltaHitRate;OK_Removed;KO_Removed;CoveragePct
INDIVIDUAL_HISTORY;v25;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;387;154;541;71.5342;110;39;149;73.8255;2.2913;277;115;27.5416
INDIVIDUAL_HISTORY;v251;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;221;91;312;70.8333;62;22;84;73.8095;2.9762;159;69;26.9231
INDIVIDUAL_HISTORY;v20;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;80;30;110;72.7273;70;26;96;72.9167;0.1894;10;4;87.2727
INDIVIDUAL_HISTORY;v22;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;453;185;638;71.0031;114;43;157;72.6115;1.6084;339;142;24.6082
INDIVIDUAL_HISTORY;v23;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;380;159;539;70.5009;105;41;146;71.9178;1.4169;275;118;27.0872
INDIVIDUAL_HISTORY;v24;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;634;322;956;66.318;121;50;171;70.7602;4.4422;513;272;17.887
INDIVIDUAL_HISTORY;v21;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;542;241;783;69.2209;198;84;282;70.2128;0.9919;344;157;36.0153
INDIVIDUAL_HISTORY;v21dev;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;535;237;772;69.3005;198;84;282;70.2128;0.9123;337;153;36.5285
INDIVIDUAL_HISTORY;v13;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;322;155;477;67.5052;266;135;401;66.3342;-1.171;56;20;84.0671
INDIVIDUAL_HISTORY;v26;HomeAttackScore>=11.5 AND AwayDefenseWeaknessScore>=9.0;0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0
