Engine;HomeAttackScore_Min;HomeAttackScore_Max;AwayDefenseScore_Min;AwayDefenseScore_Max;Rows
v13;0.0;20.0;0.0;20.0;1948
v20;0.0;25.0;0.0;25.0;1948
v21;0.0;13.0;0.0;14.0;1898
v21dev;0.0;13.0;0.0;14.0;1871
v22;0.0;13.0;0.0;10.0;1871
v23;0.0;13.0;0.0;10.0;1668
v24;0.0;13.0;0.0;10.0;1668
v25;0.0;13.0;0.0;10.0;1600
