PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;HG;AG;Goals;Over25;BTTS
2026-06-26;2.0.0;Australia_TasmaniaSouthernChampionship_2026;12;Olympia Warriors;University of Tasmania;Olympia Warriors - University of Tasmania;81.28;ALTA;;;;;
2026-06-26;2.0.0;Australia_TasmaniaSouthernChampionship_2026;12;Glenorchy Knights U21;South Hobart U21;Glenorchy Knights U21 - South Hobart U21;78.22;ALTA;;;;;
2026-06-26;2.0.0;Australia_QueenslandPremierLeague_2026;16;Brisbane Strikers;Ipswich;Brisbane Strikers - Ipswich;62.75;MEDIA-ALTA;;;;;
2026-06-26;2.0.0;Australia_NPLWesternAustralia_2026;16;Bayswater City;Perth RedStar;Bayswater City - Perth RedStar;62.54;MEDIA-ALTA;;;;;
2026-06-26;2.0.0;Australia_NSWLeagueOne_2026;21;Blacktown Spartans;Rydalmere Lions;Blacktown Spartans - Rydalmere Lions;61.48;MEDIA-ALTA;;;;;
2026-06-26;2.0.0;Australia_QueenslandPremierLeague_2026;16;Holland Park Hawks;Redlands;Holland Park Hawks - Redlands;57.64;MEDIA;;;;;
2026-06-26;2.0.0;Australia_NPLQueensland_2026;16;Rochedale;Gold Coast Knights;Rochedale - Gold Coast Knights;56.04;MEDIA;;;;;
2026-06-26;2.0.0;Australia_NPL_NSW_U20_2026;21;Sydney FC U20;Sydney Utd U20;Sydney FC U20 - Sydney Utd U20;55.13;MEDIA;;;;;
2026-06-26;2.0.0;Australia_VictoriaPremierLeague2_2026;19;Keilor Park;Moreland City;Keilor Park - Moreland City;54.75;MEDIA;;;;;
2026-06-26;2.0.0;USA_USLLeagueTwo_Northeast_2026;25;Seacoast United Phantoms;Boston Bolts;Seacoast United Phantoms - Boston Bolts;52.53;MEDIA;;;;;
2026-06-26;2.0.0;Australia_NPLVictoria_2026;18;Heidelberg;Oakleigh;Heidelberg - Oakleigh;50.77;MEDIA;;;;;
2026-06-26;2.0.0;Australia_NPLVictoria_2026;18;Bentleigh;Altona Magic;Bentleigh - Altona Magic;50.22;MEDIA;;;;;
2026-06-26;2.0.0;Australia_NPLVictoria_2026;18;Dandenong City;Avondale FC;Dandenong City - Avondale FC;49.71;MEDIA;;;;;
2026-06-26;2.0.0;USA_USLLeagueTwo_SouthFlorida_2026;16;Brevard SC;Weston FC;Brevard SC - Weston FC;45.38;MEDIA;;;;;
2026-06-26;2.0.0;Australia_NPLVictoria_2026;18;St Albans;Melbourne City U21;St Albans - Melbourne City U21;43.42;BASSA;;;;;
2026-06-26;2.0.0;Australia_SAStateLeague_2026;16;Eastern United;Cumberland Utd.;Eastern United - Cumberland Utd.;42.1;BASSA;;;;;
2026-06-26;2.0.0;USA_USLLeagueTwo_MidSouth_2026;17;Hattiesburg FC;Jackson Boom;Hattiesburg FC - Jackson Boom;41.57;BASSA;;;;;
2026-06-26;2.0.0;Australia_NPLNSW_2026;21;Sydney FC U23;Sydney Utd;Sydney FC U23 - Sydney Utd;40.27;BASSA;;;;;
2026-06-26;2.0.0;USA_USLLeagueTwo_Mountain_2026;23;Flatirons FC;Utah United;Flatirons FC - Utah United;37.4;BASSA;;;;;
2026-06-26;2.0.0;USA_USLLeagueTwo_SouthCentral_2026;17;Birmingham Legion FC II;Swarm FC;Birmingham Legion FC II - Swarm FC;37.36;BASSA;;;;;
2026-06-26;2.0.0;USA_USLLeagueTwo_Metropolitan_2026;24;Long Island Rough Riders;Cedar Stars;Long Island Rough Riders - Cedar Stars;0.0;BASSA;;;;;
