id;data;model_version;country;league;home;away;match;risultato;ESITO;score;band;ranking_component;strong_gf_component;weak_ga_component;strong_ga_component;weak_gf_component;last10_component;real_over_index_component;random_component;reason;Column1;_1;_2
20260622_015;21/06/2026;1.1;Norway;3rd Division;Mandalskameratene;Vag;Mandalskameratene - Vag;2-1;OK;66.66;MEDIA-ALTA;4.63;20;15.45;7;7;7.58;5;0;Squadra alta: Mandalskameratene (6¦), squadra bassa: Vag (10¦) | GF alta: 2.40/gara | GS bassa: 1.70/gara | Profilo ultime 10: 0.76;;;
20260622_016;21/06/2026;1.1;Iceland;Besta deild;Hafnarfjordur;Thor Akureyri;Hafnarfjordur - Thor Akureyri;1-1;KO;65.64;MEDIA-ALTA;9.9;6.67;20;7;7;7.58;7.5;0;Squadra alta: Thor Akureyri (11¦), squadra bassa: Hafnarfjordur (12¦) | GF alta: 0.80/gara | GS bassa: 2.70/gara | Profilo ultime 10: 0.76;;;
20260622_017;21/06/2026;1.1;Norway;OBOS-ligaen;Bryne;sane;Bryne - sane;1-0;KO;65.17;MEDIA-ALTA;5.79;12.88;19.01;7;7;7.59;5.91;0;Squadra alta: Bryne (9¦), squadra bassa: sane (14¦) | GF alta: 1.55/gara | GS bassa: 2.09/gara | Profilo ultime 10: 0.76;;;
20260622_018;21/06/2026;1.1;Iceland;Division 1;IR Reykjavik;Volsungur;IR Reykjavik - Volsungur;4-4;OK;64.95;MEDIA-ALTA;3.47;16.67;18.18;7;4.54;7.87;7.22;0;Squadra alta: IR Reykjavik (9¦), squadra bassa: Volsungur (12¦) | GF alta: 2.00/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.79;;;
20260622_019;21/06/2026;1.1;Norway;2nd Division;Grorud;Junkeren;Grorud - Junkeren;3-0;OK;64.41;MEDIA-ALTA;9.9;12.5;15.45;6.46;7;7.59;5.5;0;Squadra alta: Grorud (6¦), squadra bassa: Junkeren (8¦) | GF alta: 1.50/gara | GS bassa: 1.70/gara | Profilo ultime 10: 0.76;;;
20260622_020;21/06/2026;1.1;Iceland;Besta deild;Fram;Vikingur Reykjavik;Fram - Vikingur Reykjavik;0-5;OK;62.92;MEDIA-ALTA;10.4;20;17.27;2.94;7;7.94;6.73;0;Squadra alta: Vikingur Reykjavik (1¦), squadra bassa: Fram (3¦) | GF alta: 3.27/gara | GS bassa: 1.90/gara | Profilo ultime 10: 0.79;;;
20260622_021;21/06/2026;1.1;Norway;OBOS-ligaen;Odd;Hodd;Odd - Hodd;0-0;KO;62.1;MEDIA-ALTA;4.63;18.18;12.4;6.85;7;7.13;5.91;0;Squadra alta: Odd (4¦), squadra bassa: Hodd (8¦) | GF alta: 2.18/gara | GS bassa: 1.36/gara | Profilo ultime 10: 0.71;;;
20260622_022;21/06/2026;1.1;Norway;OBOS-ligaen;Moss;Sandnes;Moss - Sandnes;1-4;OK;59.72;MEDIA;3.47;15.15;14.88;7;7;7.22;5;0;Squadra alta: Moss (7¦), squadra bassa: Sandnes (10¦) | GF alta: 1.82/gara | GS bassa: 1.64/gara | Profilo ultime 10: 0.72;;;
20260622_023;21/06/2026;1.1;Norway;OBOS-ligaen;Kongsvinger;Strmsgodset;Kongsvinger - Strmsgodset;4-4;OK;58.06;MEDIA;5.2;20;9.92;5.87;7;7.93;6.82;0;Squadra alta: Strmsgodset (1¦), squadra bassa: Kongsvinger (2¦) | GF alta: 2.91/gara | GS bassa: 1.09/gara | Profilo ultime 10: 0.79;;;
20260622_024;21/06/2026;1.1;Iceland;Division 1;Kopavogur;Grindavik;Kopavogur - Grindavik;2-2;OK;54.94;MEDIA;4.63;14.81;11.36;7;5.1;6.82;5.21;0;Squadra alta: Kopavogur (6¦), squadra bassa: Grindavik (10¦) | GF alta: 1.78/gara | GS bassa: 1.25/gara | Profilo ultime 10: 0.68;;;
20260622_025;22/06/2026;1.1;Norway;3rd Division Group 2;Odd 2;Flekkeroy;Odd 2 - Flekkeroy;3-1;OK;85.19;ALTA;15.05;20;20;7;7;8.63;7.5;0;Squadra alta: Flekkeroy (1¦), squadra bassa: Odd 2 (14¦) | GF alta: 2.60/gara | GS bassa: 2.90/gara | Profilo ultime 10: 0.86;;;
20260622_026;22/06/2026;1.1;Norway;3rd Division Group 2;Haugesund 2;Madla IL;Haugesund 2 - Madla IL;3-2;OK;80.62;ALTA;10.42;19.17;20;6.46;7;9.07;8.5;0;Squadra alta: Madla IL (2¦), squadra bassa: Haugesund 2 (11¦) | GF alta: 2.30/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.91;;;
20260622_027;22/06/2026;1.1;Sweden;Division 2 Sodra Svealand;Syrianska;Ragsved;Syrianska - Ragsved;2-2;OK;74.54;MEDIA-ALTA;6.95;18.75;20;7;7;8.17;6.67;0;Squadra alta: Ragsved (7¦), squadra bassa: Syrianska (13¦) | GF alta: 2.25/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.82;;;
20260622_028;22/06/2026;1.1;Norway;3rd Division Group 4;Fana;Sogndal 2;Fana - Sogndal 2;5-2;OK;72.94;MEDIA-ALTA;4.63;20;18.18;7;7;8.79;7.33;0;Squadra alta: Sogndal 2 (4¦), squadra bassa: Fana (8¦) | GF alta: 3.11/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.88;;;
20260622_029;22/06/2026;1.1;Norway;3rd Division Group 2;Aalesund 2;Ranheim 2;Aalesund 2 - Ranheim 2;2-5;OK;71.11;MEDIA-ALTA;11.6;20;20;7;7;8.95;7;0;Squadra alta: Ranheim 2 (13¦), squadra bassa: Aalesund 2 (14¦) | GF alta: 2.50/gara | GS bassa: 3.10/gara | Profilo ultime 10: 0.90;;;
20260622_030;22/06/2026;1.1;Estonia;Esiliiga B;Tallinna Kalev U21;Narva U21;Tallinna Kalev U21 - Narva U21;2-3;OK;70.46;MEDIA-ALTA;5.79;20;20;7;7;6.79;3.88;0;Squadra alta: Narva U21 (4¦), squadra bassa: Tallinna Kalev U21 (9¦) | GF alta: 2.53/gara | GS bassa: 2.31/gara | Profilo ultime 10: 0.68;;;
20260622_031;22/06/2026;1.1;Estonia;Esiliiga B;Levadia U19;Johvi Phoenix;Levadia U19 - Johvi Phoenix;2-0;KO;68.51;MEDIA-ALTA;4.63;20;17.61;7;7;7.58;4.69;0;Squadra alta: Johvi Phoenix (3¦), squadra bassa: Levadia U19 (7¦) | GF alta: 2.62/gara | GS bassa: 1.94/gara | Profilo ultime 10: 0.76;;;
20260622_032;22/06/2026;1.1;Estonia;Esiliiga B;Legion;Parnu JK Vaprus U21;Legion - Parnu JK Vaprus U21;1-4;OK;68.43;MEDIA-ALTA;5.79;20;20;7;4.28;6.53;4.83;0;Squadra alta: Parnu JK Vaprus U21 (5¦), squadra bassa: Legion (10¦) | GF alta: 2.62/gara | GS bassa: 4.00/gara | Profilo ultime 10: 0.65;;;
20260622_033;22/06/2026;1.1;Latvia;Virsliga;RFS;Ogre United;RFS - Ogre United;6-0;OK;67.12;MEDIA-ALTA;9.26;19.44;20;4.19;5.19;5.43;3.61;0;Squadra alta: RFS (2¦), squadra bassa: Ogre United (10¦) | GF alta: 2.33/gara | GS bassa: 2.33/gara | Profilo ultime 10: 0.54;;;
20260622_034;22/06/2026;1.1;Estonia;Esiliiga B;Tulevik;Tammeka U21;Tulevik - Tammeka U21;2-2;OK;65.86;MEDIA-ALTA;5.2;20;18.75;7;7;7.59;5;0;Squadra alta: Tammeka U21 (1¦), squadra bassa: Tulevik (2¦) | GF alta: 3.00/gara | GS bassa: 2.06/gara | Profilo ultime 10: 0.76;;;
20260622_035;22/06/2026;1.1;Iceland;Besta deild;KR Reykjavik;Akranes;KR Reykjavik - Akranes;5-3;OK;63.7;MEDIA-ALTA;15.6;20;14.55;7;7;7.46;6.14;0;Squadra alta: KR Reykjavik (2¦), squadra bassa: Akranes (5¦) | GF alta: 3.45/gara | GS bassa: 1.60/gara | Profilo ultime 10: 0.75;;;
20260622_036;22/06/2026;1.1;Estonia;Esiliiga;Elva;Flora U21;Elva - Flora U21;0-3;OK;62.14;MEDIA-ALTA;5.2;20;15.34;7;7;7.01;5.26;0;Squadra alta: Flora U21 (3¦), squadra bassa: Elva (4¦) | GF alta: 2.77/gara | GS bassa: 1.69/gara | Profilo ultime 10: 0.70;;;
20260622_037;22/06/2026;1.1;Estonia;Esiliiga;Maardu;Viimsi JK;Maardu - Viimsi JK;1-0;KO;61.77;MEDIA-ALTA;8.11;14.44;20;3.95;7;4.94;3.33;0;Squadra alta: Viimsi JK (2¦), squadra bassa: Maardu (9¦) | GF alta: 1.73/gara | GS bassa: 2.20/gara | Profilo ultime 10: 0.49;;;
20260622_038;22/06/2026;1.1;Norway;3rd Division Group 4;Forde;sane 2;Forde - sane 2;4-0;OK;59.94;MEDIA;4.63;12.5;15.45;7;7;7.85;5.5;0;Squadra alta: Forde (7¦), squadra bassa: sane 2 (11¦) | GF alta: 1.50/gara | GS bassa: 1.70/gara | Profilo ultime 10: 0.79;;;
20260622_039;22/06/2026;1.1;Sweden;Superettan;Oddevold;Ljungskile;Oddevold - Ljungskile;0-0;KO;57.91;MEDIA;4.63;15.97;12.12;7;7;6.6;4.58;0;Squadra alta: Oddevold (9¦), squadra bassa: Ljungskile (13¦) | GF alta: 1.92/gara | GS bassa: 1.33/gara | Profilo ultime 10: 0.66;;;
20260622_040;22/06/2026;1.1;Sweden;Superettan;rebro;Sandviken;rebro - Sandviken;1-1;KO;55.67;MEDIA;9.9;13.19;12.12;7;4.86;5.26;3.33;0;Squadra alta: Sandviken (11¦), squadra bassa: rebro (12¦) | GF alta: 1.58/gara | GS bassa: 1.33/gara | Profilo ultime 10: 0.53;;;
20260622_041;22/06/2026;1.1;Australia;NSW NPL U20;Sydney Olympic U20;Rockdale Ilinden U20;Sydney Olympic U20 - Rockdale Ilinden U20;RINVIATA;RINVIATA;54.51;MEDIA;2.32;11.4;20;7;5.22;4.62;3.95;0;Squadra alta: Rockdale Ilinden U20 (14¦), squadra bassa: Sydney Olympic U20 (16¦) | GF alta: 1.37/gara | GS bassa: 2.89/gara | Profilo ultime 10: 0.46;;;
20260622_042;22/06/2026;1.1;Sweden;Division 2 Sodra Svealand;Sleipner;Nykopings;Sleipner - Nykopings;1-1;KO;54.31;MEDIA;10.4;15.28;14.39;4.49;7;7.11;5;0;Squadra alta: Nykopings (2¦), squadra bassa: Sleipner (4¦) | GF alta: 1.83/gara | GS bassa: 1.58/gara | Profilo ultime 10: 0.71;;;
