LeagueId;MatchDate;Home;Away;HG;AG;Reason
CzechRepublic_ChNL;2026-08-07;Dukla Praga;Kromeriz;2;0;Nessuna prediction con stessi nomi canonici
CzechRepublic_ChNL;2026-08-07;Opava;Kladno;1;1;Nessuna prediction con stessi nomi canonici
CzechRepublic_ChNL;2026-08-07;Prostejov;Karvina;1;2;Nessuna prediction con stessi nomi canonici
CzechRepublic_ChNL;2026-08-07;Usti n. L.;Ceska Lipa;3;3;Nessuna prediction con stessi nomi canonici
CzechRepublic_ChNL;2026-08-07;Vlasim;Zizkov;4;1;Nessuna prediction con stessi nomi canonici
CzechRepublic_ChNL;2026-08-07;Jihlava;Pribram;1;2;Nessuna prediction con stessi nomi canonici
CzechRepublic_ChNL;2026-08-07;Slavia Praga B;Trinec;3;2;Nessuna prediction con stessi nomi canonici
CzechRepublic_ChNL;2026-08-02;Ceska Lipa;Slavia Praga B;1;1;Nessuna prediction con stessi nomi canonici
CzechRepublic_ChNL;2026-08-01;Kromeriz;Usti n. L.;0;2;Nessuna prediction con stessi nomi canonici
CzechRepublic_ChNL;2026-08-01;Trinec;Jihlava;0;0;Nessuna prediction con stessi nomi canonici
CzechRepublic_ChNL;2026-07-31;Taborsko;Dukla Praga;2;2;Prediction trovata ma data/status non compatibili
CzechRepublic_ChNL;2026-07-31;Karvina;Vlasim;1;0;Prediction trovata ma data/status non compatibili
CzechRepublic_ChNL;2026-07-31;Kladno;Ostrava B;1;0;Prediction trovata ma data/status non compatibili
CzechRepublic_ChNL;2026-07-31;Pribram;Opava;1;0;Prediction trovata ma data/status non compatibili
CzechRepublic_ChNL;2026-07-31;Zizkov;Prostejov;1;0;Prediction trovata ma data/status non compatibili
CzechRepublic_ChNL;2026-07-27;Opava;Karvina;2;0;Prediction trovata ma data/status non compatibili
CzechRepublic_ChNL;2026-07-24;Dukla Praga;Ceska Lipa;2;0;Nessuna prediction con stessi nomi canonici
