LeagueId;MatchDate;Home;Away;HG;AG;Reason
Finland_Kolmonen_Eastern_Group2;2026-07-29;KuPS/Akatemia II;Kings SC;2;7;Nessuna prediction con stessi nomi canonici
Finland_Kolmonen_Eastern_Group3;2026-07-25;LAUTP/2;LAUTP;0;1;Nessuna prediction con stessi nomi canonici
Finland_Kolmonen_Western_Group1;2026-07-25;IFK 2;PiPS;3;1;Nessuna prediction con stessi nomi canonici
Finland_Kolmonen_Western_Group1;2026-07-25;Peimari United;SalPa II;1;1;Nessuna prediction con stessi nomi canonici
Finland_Kolmonen_Western_Group1;2026-07-25;EuPa;LTU U20;0;0;Nessuna prediction con stessi nomi canonici
Finland_Kolmonen_Western_Group1;2026-07-28;SalPa 2;VG-62;3;1;Nessuna prediction con stessi nomi canonici
USA_USLLeagueTwo_SouthCentral;2026-06-26;Birmingham 2;Swarm FC;2;2;Nessuna prediction con stessi nomi canonici
FaroeIslands_PremierLeague;2026-06-29;HB Torshavn;Skala Itrottarfelag;4;1;Nessuna prediction con stessi nomi canonici
FaroeIslands_PremierLeague;2026-06-29;Toftir;Argir;0;1;Nessuna prediction con stessi nomi canonici
FaroeIslands_PremierLeague;2026-06-29;Vikingur;Runavik;3;3;Nessuna prediction con stessi nomi canonici
Latvia_Virsliga;2026-06-29;Auda;Riga FC;0;2;Nessuna prediction con stessi nomi canonici
Latvia_Virsliga;2026-06-29;Jelgava;Grobina;2;0;Nessuna prediction con stessi nomi canonici
Lithuania_Toplyga;2026-06-29;FA Siauliai;Transinvest;1;3;Nessuna prediction con stessi nomi canonici
Lithuania_Toplyga;2026-06-29;FK Panevezys;Suduva;1;2;Nessuna prediction con stessi nomi canonici
USA_USLLeagueTwo_Ranger;2026-07-05;McKinney Chupacabras;Texoma;0;2;Nessuna prediction con stessi nomi canonici
USA_MLSNextPro_EasternConference_SoutheastDivision;2026-07-13;Cincinnati 2;Orlando City B;1;2;Nessuna prediction con stessi nomi canonici
USA_USLLeagueTwo_Heartland;2026-07-13;RKC SC;River Light;5;1;Nessuna prediction con stessi nomi canonici
