LeagueId;MatchDate;Home;Away;HG;AG;Reason
Hungary_NBII;2026-08-29;DVTK;BVSC-Zuglo;0;2;Nessuna prediction con stessi nomi canonici
Hungary_NBII;2026-08-29;Nagykanizsa;Tiszakecske;1;2;Nessuna prediction con stessi nomi canonici
USA_MLS;2026-08-29;Seattle Sounders;Chicago Fire;2;2;Nessuna prediction con stessi nomi canonici
USA_MLSNextPro_EasternConference_SoutheastDivision;2026-08-29;Inter Miami 2;Atlanta United 2;1;1;Nessuna prediction con stessi nomi canonici
USA_MLSNextPro_WesternConference_CentralDivision;2026-08-29;Colorado Rapids 2;Ventura County;2;3;Nessuna prediction con stessi nomi canonici
USA_USLLeagueOne;2026-08-29;Charlotte Independ.;AV Alta;5;0;Nessuna prediction con stessi nomi canonici
Sweden_Division2_NorraGotaland;2026-08-29;Karlstad 2;Vanersborgs FK;1;3;Nessuna prediction con stessi nomi canonici
Sweden_Division2_NorraGotaland;2026-08-29;Ahlafors IF;Kumla;7;1;Nessuna prediction con stessi nomi canonici
Sweden_Division2_NorraGotaland;2026-08-29;Lidkoping;Skara;1;1;Nessuna prediction con stessi nomi canonici
Sweden_Division2_NorraSvealand;2026-08-29;Gute;Lidingo IFK;4;0;Nessuna prediction con stessi nomi canonici
Sweden_Division2_NorraSvealand;2026-08-29;Enskede;Viggbyholms;2;0;Nessuna prediction con stessi nomi canonici
Sweden_Division2_NorraSvealand;2026-08-29;Skiljebo;Sunnersta AIF;2;2;Nessuna prediction con stessi nomi canonici
Sweden_Division2_Norrland;2026-08-29;Skelleftea;Boden;2;2;Nessuna prediction con stessi nomi canonici
Sweden_Division2_Norrland;2026-08-29;Storfors;Fransta;3;0;Nessuna prediction con stessi nomi canonici
Sweden_Division2_Norrland;2026-08-29;Friska Viljor;Umea FF;1;4;Nessuna prediction con stessi nomi canonici
Sweden_Division2_SodraGotaland;2026-08-29;Lilla Torg;Rappe GOIF;3;1;Nessuna prediction con stessi nomi canonici
Sweden_Division2_SodraGotaland;2026-08-29;IFK Karlshamn;Nosaby;3;1;Nessuna prediction con stessi nomi canonici
Sweden_Division2_SodraGotaland;2026-08-29;Staffanstorp United;Oskarshamn;1;2;Nessuna prediction con stessi nomi canonici
Sweden_Division2_VastraGotaland;2026-08-29;Onsala;Dalstorps IF;0;2;Nessuna prediction con stessi nomi canonici
Sweden_Division2_VastraGotaland;2026-08-29;Hestrafors;Torslanda;3;1;Nessuna prediction con stessi nomi canonici
Switzerland_PromotionLeague;2026-08-29;Grand-Saconnex;Paradiso;2;5;Nessuna prediction con stessi nomi canonici
Switzerland_PromotionLeague;2026-08-29;Bruhl SG;Amical Saint-Prex;4;1;Nessuna prediction con stessi nomi canonici
Switzerland_PromotionLeague;2026-08-29;Kreuzlingen;Breitenrain;1;0;Nessuna prediction con stessi nomi canonici
Switzerland_PromotionLeague;2026-08-29;YF Juventus;Basilea 2;2;3;Nessuna prediction con stessi nomi canonici
Norway_3rdDivision_Group3;2026-08-29;Askøy;Gneist;2;0;Nessuna prediction con stessi nomi canonici
Albania_AbissnetSuperiore;2026-08-29;AF Elbasani;Vllaznia;1;1;Nessuna prediction con stessi nomi canonici
Albania_AbissnetSuperiore;2026-08-29;Partizani;Laci;1;2;Nessuna prediction con stessi nomi canonici
SaudiArabia_ProfessionalLeague;2026-08-29;Al Kholood;Al Ahli SC;3;1;Nessuna prediction con stessi nomi canonici
SaudiArabia_ProfessionalLeague;2026-08-29;Al Fateh;Al-Ittihad FC;0;0;Nessuna prediction con stessi nomi canonici
SaudiArabia_ProfessionalLeague;2026-08-29;Al-Ettifaq;Al Diriyah;0;3;Nessuna prediction con stessi nomi canonici
Armenia_PremierLeague;2026-08-29;Van;Shirak;0;4;Nessuna prediction con stessi nomi canonici
Australia_NPLACT;2026-08-29;Tigers FC;Canberra Juventus;4;2;Nessuna prediction con stessi nomi canonici
Australia_NPLACT;2026-08-29;Tuggeranong Utd;Queanbeyan City;0;2;Nessuna prediction con stessi nomi canonici
Australia_NPLNorthernNSW;2026-08-29;Broadmeadow;Weston Bears;0;3;Nessuna prediction con stessi nomi canonici
