LeagueId;MatchDate;Home;Away;HG;AG;Reason
Armenia_FirstLeague;2026-09-15;Lernayin Artsakh;Sardarapat 2;4;2;Prediction trovata ma data/status non compatibili
Armenia_FirstLeague;2026-09-15;Mika;Urartu 2;1;1;Prediction trovata ma data/status non compatibili
Armenia_FirstLeague;2026-09-15;Olympia Yerevan;Shirak 2;3;0;Prediction trovata ma data/status non compatibili
Armenia_FirstLeague;2026-09-15;Pyunik 2;Araks Ararat;0;2;Prediction trovata ma data/status non compatibili
Austria_Steiermark;2026-09-15;SV Wildon;SV Schermann Rorhrbach;0;2;Nessuna prediction con stessi nomi canonici
Germany_3Liga;2026-09-15;Meppen;Viktoria Colonia;1;3;Nessuna prediction con stessi nomi canonici
Spain_LaLiga;2026-09-15;Rayo Vallecano;Espanyol;2;1;Nessuna prediction con stessi nomi canonici
Switzerland_SuperLeague;2026-09-15;FC Haka j.;Fish United;3;3;Nessuna prediction con stessi nomi canonici
