LeagueId;MatchDate;Home;Away;HG;AG;Reason
SaudiArabia_ProfessionalLeague;2026-08-14;Neom SC;Al Fayha;2;1;Nessuna prediction con stessi nomi canonici
SaudiArabia_ProfessionalLeague;2026-08-14;Al-Ettifaq;Al Riyadh;4;2;Nessuna prediction con stessi nomi canonici
SaudiArabia_ProfessionalLeague;2026-08-14;Al-Hilal;Al-Faysaly;4;2;Nessuna prediction con stessi nomi canonici
Armenia_FirstLeague;2026-08-14;BKMA 2;Mika;3;1;Nessuna prediction con stessi nomi canonici
Armenia_FirstLeague;2026-08-14;Noah 2;Bentonit;0;7;Nessuna prediction con stessi nomi canonici
Austria_Regionalliga_South;2026-08-14;Kalsdorf;Allerheiligen;5;2;Nessuna prediction con stessi nomi canonici
Austria_Regionalliga_South;2026-08-14;Tillmitsch;Gleisdorf;2;1;Nessuna prediction con stessi nomi canonici
Austria_Regionalliga_South;2026-08-14;Weiz;Deutschlandsberger;4;0;Nessuna prediction con stessi nomi canonici
Austria_Burgenland;2026-08-14;Halbturn;Neudorf/Parndorf;3;0;Nessuna prediction con stessi nomi canonici
Austria_Burgenland;2026-08-14;Bad Sauerbrunn;Leithaprodersdorf;2;2;Nessuna prediction con stessi nomi canonici
Austria_Burgenland;2026-08-14;Kohfidisch;Deutschkreutz;1;2;Nessuna prediction con stessi nomi canonici
Austria_Burgenland;2026-08-14;Neusiedl;Pinkafeld;1;1;Nessuna prediction con stessi nomi canonici
Austria_Burgenland;2026-08-14;Oberpullendorf;Pama;0;1;Nessuna prediction con stessi nomi canonici
Austria_Karnten;2026-08-14;Launsdorf;Kottmannsdorf;3;1;Nessuna prediction con stessi nomi canonici
Austria_Niederosterreich;2026-08-14;Amstetten (Am);Ebreichsdorf;1;6;Nessuna prediction con stessi nomi canonici
Austria_Niederosterreich;2026-08-14;Korneuburg;ASK Ybbs;1;1;Nessuna prediction con stessi nomi canonici
Austria_Niederosterreich;2026-08-14;SCU Kilb;Zwettl;4;2;Nessuna prediction con stessi nomi canonici
Austria_Niederosterreich;2026-08-14;St. Peter in der Au;Wieselburg;3;3;Nessuna prediction con stessi nomi canonici
Austria_Niederosterreich;2026-08-14;Admira (Am);Hohenau;1;3;Nessuna prediction con stessi nomi canonici
Austria_Niederosterreich;2026-08-14;Ortmann;St. Polten (Am);2;0;Nessuna prediction con stessi nomi canonici
Austria_Niederosterreich;2026-08-14;Wiener Neustadt;Ardagger;3;1;Nessuna prediction con stessi nomi canonici
Austria_Oberosterreich;2026-08-14;Mondsee;Union Unis Gschwandt;0;1;Nessuna prediction con stessi nomi canonici
Austria_Oberosterreich;2026-08-14;Ostermiething;Gmunden;1;0;Nessuna prediction con stessi nomi canonici
Austria_Oberosterreich;2026-08-14;Micheldorf;Vocklamarkt;2;1;Nessuna prediction con stessi nomi canonici
Austria_Vorarlberg;2026-08-14;Nenzing;Admira Dornbirn;1;2;Nessuna prediction con stessi nomi canonici
Austria_Vorarlberg;2026-08-14;Riefensberg;Hard;1;1;Nessuna prediction con stessi nomi canonici
Azerbaijan_PremierLeague;2026-08-14;Turan;Gabala;1;0;Nessuna prediction con stessi nomi canonici
Belgium_JupilerProLeague;2026-08-14;Cercle Brugge;St. Truiden;3;3;Nessuna prediction con stessi nomi canonici
Belgium_ChallengerProLeague;2026-08-14;Hasselt;Dender;1;0;Nessuna prediction con stessi nomi canonici
Belgium_ChallengerProLeague;2026-08-14;Seraing;Sporting Lokeren;0;2;Nessuna prediction con stessi nomi canonici
Bulgaria_VtoraLiga;2026-08-14;Fratria;Beroe;2;0;Nessuna prediction con stessi nomi canonici
France_Ligue2;2026-08-14;Annecy;Rodez;2;0;Nessuna prediction con stessi nomi canonici
France_Ligue2;2026-08-14;Dijon;Pau FC;0;1;Nessuna prediction con stessi nomi canonici
France_Ligue2;2026-08-14;Grenoble;Metz;0;0;Nessuna prediction con stessi nomi canonici
France_Ligue2;2026-08-14;Guingamp;Boulogne;1;0;Nessuna prediction con stessi nomi canonici
France_Ligue2;2026-08-14;Laval;Nantes;2;1;Nessuna prediction con stessi nomi canonici
France_Ligue2;2026-08-14;Nancy;Montpellier;0;1;Nessuna prediction con stessi nomi canonici
France_Ligue2;2026-08-14;Red Star;Sochaux;0;0;Nessuna prediction con stessi nomi canonici
France_Ligue2;2026-08-14;Reims;Dunkerque;3;3;Nessuna prediction con stessi nomi canonici
France_Ligue2;2026-08-14;St. Etienne;Clermont;3;1;Nessuna prediction con stessi nomi canonici
France_National;2026-08-14;Amiens;La Roche;0;1;Nessuna prediction con stessi nomi canonici
France_National;2026-08-14;Aubagne;Bastia;0;1;Nessuna prediction con stessi nomi canonici
France_National;2026-08-14;Cannes;Fleury-Merogis;1;1;Nessuna prediction con stessi nomi canonici
France_National;2026-08-14;Orleans;Rouen;1;2;Nessuna prediction con stessi nomi canonici
France_National;2026-08-14;Quevilly Rouen;Concarneau;1;1;Nessuna prediction con stessi nomi canonici
France_National;2026-08-14;Thionville;Caen;4;3;Nessuna prediction con stessi nomi canonici
France_National;2026-08-14;Valenciennes;Bourg en Bresse;2;0;Nessuna prediction con stessi nomi canonici
France_National;2026-08-14;Versailles;Le Puy-en-Velay;1;0;Nessuna prediction con stessi nomi canonici
