LeagueId;MatchDate;Home;Away;HG;AG;Reason
Albania_AbissnetSuperiore;2026-08-30;Teuta;Tirana;3;1;Nessuna prediction con stessi nomi canonici
Australia_NPLNorthernNSW;2026-08-30;Wallsend Red Devils;Newcastle Croatia;2;3;Nessuna prediction con stessi nomi canonici
Austria_Vorarlberg;2026-08-30;Nenzing;Andelsbuch;1;1;Nessuna prediction con stessi nomi canonici
Austria_Vorarlberg;2026-08-30;Brauerei Egg;A. Lustenau (Am);3;2;Nessuna prediction con stessi nomi canonici
Azerbaijan_PremierLeague;2026-08-30;Kapaz;Turan;1;0;Nessuna prediction con stessi nomi canonici
Azerbaijan_PremierLeague;2026-08-30;Zira;Neftci Baku;1;0;Nessuna prediction con stessi nomi canonici
Belgium_ChallengerProLeague;2026-08-30;Virton;Francs Borains;0;1;Nessuna prediction con stessi nomi canonici
Belgium_ChallengerProLeague;2026-08-30;Seraing;K. Lierse S.K.;1;1;Nessuna prediction con stessi nomi canonici
Bosnia_WWINLigaBiH;2026-08-30;Radnik Bijeljina;Borac Banja Luka;2;2;Nessuna prediction con stessi nomi canonici
Bosnia_PrvaLiga_FBiH;2026-08-30;TOSK Tesanj;GOSK Gabela;0;1;Nessuna prediction con stessi nomi canonici
Croatia_HNL;2026-08-30;Osijek;Slaven Belupo;3;0;Nessuna prediction con stessi nomi canonici
France_Ligue1;2026-08-30;Paris FC;Nizza;3;0;Nessuna prediction con stessi nomi canonici
France_Ligue1;2026-08-30;Rennes;Le Mans;3;2;Nessuna prediction con stessi nomi canonici
France_Ligue1;2026-08-30;Monaco;Marsiglia;2;0;Nessuna prediction con stessi nomi canonici
Germany_Bundesliga;2026-08-30;Friburgo;Brema;4;1;Nessuna prediction con stessi nomi canonici
Germany_Bundesliga;2026-08-30;Augusta;Schalke;3;0;Nessuna prediction con stessi nomi canonici
Germany_Oberliga_Niederrhein;2026-08-30;Baumberg;Uerdingen;2;1;Nessuna prediction con stessi nomi canonici
Germany_Oberliga_Niederrhein;2026-08-30;Scherpenberg;Meerbusch;0;0;Nessuna prediction con stessi nomi canonici
Germany_Oberliga_Niederrhein;2026-08-30;SW Essen;Sonsbeck;1;1;Nessuna prediction con stessi nomi canonici
Germany_Oberliga_Niederrhein;2026-08-30;Buderich;Wuppertaler;1;0;Nessuna prediction con stessi nomi canonici
Germany_Oberliga_Niederrhein;2026-08-30;SC St.Tonis;FC Monheim;3;3;Nessuna prediction con stessi nomi canonici
England_PremierLeague;2026-08-30;Chelsea;Brighton;4;3;Nessuna prediction con stessi nomi canonici
England_PremierLeague;2026-08-30;Leeds;Brentford;1;1;Nessuna prediction con stessi nomi canonici
England_PremierLeague;2026-08-30;Sunderland;Fulham;1;0;Nessuna prediction con stessi nomi canonici
England_PremierLeague;2026-08-30;Manchester Utd;Ipswich;5;2;Nessuna prediction con stessi nomi canonici
England_LeagueOne;2026-08-30;Wimbledon;Wigan;1;0;Nessuna prediction con stessi nomi canonici
England_LeagueOne;2026-08-30;Mansfield;Luton;5;2;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-30;Valur D;Hafnarfjordur D;2;2;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-29;Breidablik D;IBV Vestmannaeyjar D;1;2;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-29;Throttur D;Thor/KA D;0;0;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-29;Fram D;Stjarnan D;3;2;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-29;Vikingur Reykjavik D;Grindavik/Njardvik D;3;0;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-21;Hafnarfjordur D;Vikingur Reykjavik D;0;1;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-21;Thor/KA D;Valur D;0;1;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-21;IBV Vestmannaeyjar D;Throttur D;1;2;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-20;Stjarnan D;Breidablik D;2;0;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-20;Grindavik/Njardvik D;Fram D;4;0;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-15;Hafnarfjordur D;Breidablik D;0;3;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-14;Vikingur Reykjavik D;Thor/KA D;0;3;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-13;IBV Vestmannaeyjar D;Stjarnan D;3;2;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-12;Breidablik D;Grindavik/Njardvik D;1;0;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-12;Fram D;Hafnarfjordur D;4;6;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-12;Throttur D;Valur D;3;2;Nessuna prediction con stessi nomi canonici
Iceland_BestaDeildKvenna;2026-08-07;Valur D;Vikingur Reykjavik D;1;0;Nessuna prediction con stessi nomi canonici
