MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-07-14;Australia_NPLNorthernNSW;Kahibah;Maitland;85.29;ALTA;20;2026-07-14;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;3.82;9.04;11.47;8.0;7.49;12.0;8.4;8.75;7.5;8.82;2.3.0
2026-07-14;Finland_Kakkonen_GroupC;GBK Kokkola;Narpes Kraft;85.04;ALTA;14;2026-07-14;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | profilo over interno debole | BTTS basso: possibile partita a senso unico;1.33;13.0;13.0;6.97;10.0;8.4;12.0;3.33;10.0;7.0;2.3.0
2026-07-14;Australia_NPLNorthernNSW;Charlestown Azzurri;Weston Bears;83.49;ALTA;20;2026-07-14;PRO: attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | v22 monitora possibile sopravvalutazione weak_ga;4.91;8.34;11.82;8.0;7.75;10.8;8.4;7.5;7.5;8.47;2.3.0
2026-07-14;Bolivia_DivisionProfesional;Real Oruro;Always Ready;76.31;ALTA;13;2026-07-14;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo | alta tendenza BTTS || CONTRO: trend over trasferta non forte | profilo over esterno debole;2.8;12.56;10.34;7.27;2.84;10.5;6.0;10.0;5.0;9.0;2.3.0
2026-07-14;Bolivia_DivisionProfesional;Blooming;GV San Jose;74.69;MEDIA;13;2026-07-14;PRO: attacco casa positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga;4.4;10.34;6.65;4.55;9.09;7.5;9.0;6.67;7.5;9.0;2.3.0
2026-07-14;Bhutan_PremierLeague;Tensung;Thimphu City;49.44;BASSA;10;2026-07-14;PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente trasferta | profilo over esterno positivo || CONTRO: attacco casa non dominante | trend over casa non forte | profilo over interno debole | BTTS basso: possibile partita a senso unico || CONTRO V23: v23: BTTS basso;4.0;2.22;13.0;6.82;3.41;4.5;7.5;0.0;7.5;4.5;2.3.0
2026-07-14;USA_USLLeagueTwo_MidAtlantic;LVU Rush;Appalachian;37.02;BASSA;30;2026-07-14;PRO: attacco casa positivo | trend over recente casa | profilo over interno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | trend over trasferta non forte | profilo over esterno debole | BTTS basso: possibile partita a senso unico || CONTRO V23: v23: ospite poco prolifico | v23: BTTS basso | v23: storico Over 2.5 non forte;6.0;13.0;0.0;5.03;0.0;10.8;0.0;8.57;0.0;4.62;2.3.0
2026-07-14;USA_USLLeagueTwo_Northeast;NEFC;Ironbound SC;36.68;BASSA;32;2026-07-14;PRO: attacco casa positivo | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | trend over trasferta non forte | profilo over esterno debole | BTTS basso: possibile partita a senso unico || CONTRO V23: v23: ospite poco prolifico | v23: BTTS basso | v23: storico Over 2.5 non forte;6.0;13.0;0.0;5.45;0.0;10.8;0.0;8.57;0.0;3.86;2.3.0
2026-07-14;Finland_Ykkosliiga;Jippo;Mikkeli;28.64;BASSA;16;2026-07-14;PRO: nessun indicatore over forte || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || CONTRO V23: v23: ospite poco prolifico | v23: BTTS basso | v23: storico Over 2.5 non forte;1.33;8.02;5.45;2.6;4.9;4.8;4.8;1.43;1.43;4.88;2.3.0
2026-07-14;USA_USLLeagueTwo_SouthAtlantic;Asheville City;Virginia Beach;15.58;BASSA;38;2026-07-14;PRO: attacco casa positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || CONTRO V23: v23: ospite poco prolifico | v23: BTTS basso | v23: storico Over 2.5 non forte;6.0;10.13;0.0;2.08;0.0;4.8;0.0;1.43;0.0;2.14;2.3.0
