Rule;OK;KO;Total;HitRate;CoveragePct;Train_OK;Train_KO;Train_Total;Train_HitRate;Test_OK;Test_KO;Test_Total;Test_HitRate;NoAU_OK;NoAU_KO;NoAU_Total;NoAU_HitRate;WorstMonth;WorstMonthTotal;WorstMonthHitRate;DeltaVsBaseline;Interesting
worst_ppg_l5_le_1_0 AND home_restart_gf_ge_2_5;67;10;77;87.01;5.83;51;9;60;85.0;16;1;17;94.12;63;10;73;86.3;2026-08;68;85.29;12.82;YES
away_def_weak_ge_8_0 AND home_restart_over_ge_0_8;174;26;200;87.0;15.14;127;24;151;84.11;47;2;49;95.92;159;22;181;87.85;2026-07;29;75.86;12.81;YES
worst_ppg_l5_le_1_0 AND home_restart_over_ge_1_0;121;19;140;86.43;10.6;93;19;112;83.04;28;0;28;100.0;118;19;137;86.13;2026-07;16;62.5;12.24;YES
away_attack_le_11_0 AND home_restart_over_ge_0_8;132;21;153;86.27;11.58;101;19;120;84.17;31;2;33;93.94;118;20;138;85.51;2026-07;21;76.19;12.08;YES
away_attack_le_11_0 AND home_restart_gf_ge_2_0;131;21;152;86.18;11.51;102;18;120;85.0;29;3;32;90.62;118;18;136;86.76;2026-07;19;84.21;11.99;YES
worst_ppg_l5_le_1_0 AND home_restart_over_ge_0_8;155;25;180;86.11;13.63;115;22;137;83.94;40;3;43;93.02;143;23;166;86.14;2026-07;21;66.67;11.92;YES
worst_ppg_l5_le_0_8 AND home_restart_over_ge_1_0;111;18;129;86.05;9.77;84;18;102;82.35;27;0;27;100.0;108;18;126;85.71;2026-07;14;57.14;11.86;YES
worst_ppg_l5_le_0_8 AND home_restart_gf_ge_2_0;111;18;129;86.05;9.77;82;15;97;84.54;29;3;32;90.62;103;15;118;87.29;2026-07;13;61.54;11.86;YES
away_attack_le_11_0 AND home_restart_over_ge_1_0;98;16;114;85.96;8.63;80;15;95;84.21;18;1;19;94.74;95;16;111;85.59;2026-07;16;75.0;11.77;YES
away_ga_l5_ge_2_0 AND home_restart_gf_ge_2_0;139;23;162;85.8;12.26;104;18;122;85.25;35;5;40;87.5;125;20;145;86.21;2026-07;18;83.33;11.61;YES
worst_ppg_l5_le_0_8 AND home_restart_over_ge_0_8;143;24;167;85.63;12.64;105;21;126;83.33;38;3;41;92.68;131;22;153;85.62;2026-07;18;61.11;11.44;YES
away_def_weak_ge_9_0 AND home_restart_over_ge_0_8;135;23;158;85.44;11.96;98;22;120;81.67;37;1;38;97.37;123;20;143;86.01;2026-07;24;75.0;11.25;YES
worst_ppg_l5_le_1_0 AND home_restart_gf_ge_2_0;123;21;144;85.42;10.9;91;18;109;83.49;32;3;35;91.43;115;18;133;86.47;2026-07;15;66.67;11.23;YES
away_def_weak_ge_9_0 AND home_restart_over_ge_1_0;105;18;123;85.37;9.31;82;18;100;82.0;23;0;23;100.0;101;17;118;85.59;2026-07;16;75.0;11.18;YES
home_restart_gf_ge_2_5;143;25;168;85.12;12.72;108;20;128;84.38;35;5;40;87.5;128;21;149;85.91;2026-08;138;84.06;10.93;YES
home_restart_over_ge_0_8;266;48;314;84.71;23.77;201;41;242;83.06;65;7;72;90.28;240;42;282;85.11;2026-07;41;73.17;10.52;YES
away_def_weak_ge_8_0 AND home_restart_gf_ge_2_0;160;29;189;84.66;14.31;117;25;142;82.39;43;4;47;91.49;145;24;169;85.8;2026-07;24;79.17;10.47;YES
home_restart_over_ge_1_0;202;37;239;84.52;18.09;162;34;196;82.65;40;3;43;93.02;197;35;232;84.91;2026-07;30;73.33;10.33;YES
away_ga_l5_ge_1_8 AND home_restart_gf_ge_2_0;171;33;204;83.82;15.44;128;28;156;82.05;43;5;48;89.58;154;27;181;85.08;2026-07;24;75.0;9.63;YES
away_def_weak_ge_9_0 AND home_restart_gf_ge_2_0;134;26;160;83.75;12.11;95;22;117;81.2;39;4;43;90.7;123;21;144;85.42;2026-07;19;73.68;9.56;YES
home_restart_gf_ge_2_0;259;53;312;83.01;23.62;197;44;241;81.74;62;9;71;87.32;233;44;277;84.12;2026-07;36;77.78;8.82;YES
away_ga_l5_ge_2_0 AND worst_ppg_l5_le_0_8;352;74;426;82.63;32.25;270;53;323;83.59;82;21;103;79.61;268;59;327;81.96;2026-09;40;75.0;8.44;YES
away_ga_l5_ge_2_0 AND away_attack_le_11_0;305;65;370;82.43;28.01;237;50;287;82.58;68;15;83;81.93;224;56;280;80.0;2026-09;32;78.12;8.24;YES
worst_ppg_l5_le_0_8 AND away_attack_le_10_0;219;47;266;82.33;20.14;166;38;204;81.37;53;9;62;85.48;169;35;204;82.84;2026-07;56;76.79;8.14;YES
