LeagueId;Home;Away;Score;Band;Round;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
USA_USLLeagueTwo_NorCal;Project 51O;Marin;92.47;ALTA;28;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | profilo over interno debole;6.0;13.0;11.33;4.76;10.0;10.8;10.8;5.71;10.0;10.08;2.5.0
USA_USLLeagueTwo_Metropolitan;Manhattan;New Jersey Copa;87.03;ALTA;26;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga;1.33;13.0;7.52;7.6;10.0;10.8;10.8;10.0;8.33;7.64;2.5.0
USA_USLLeagueTwo_MidSouth;Mississippi Brilla;Louisiana;86.98;ALTA;19;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;1.0;13.0;13.0;6.28;7.44;9.6;9.6;8.33;10.0;8.73;2.5.0
USA_USLLeagueTwo_LoneStar;Houston FC;Houston Sur;86.27;ALTA;26;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;5.25;12.89;4.83;7.93;10.0;10.8;10.8;6.67;10.0;7.09;2.5.0
USA_USLLeagueTwo_SouthAtlantic;Salem City;Tobacco Road;85.3;ALTA;37;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;0.6;10.45;10.91;8.0;10.0;9.6;9.6;8.33;8.57;9.23;2.5.0
USA_USLLeagueTwo_NorCal;Academica SC;San Juan;85.29;ALTA;28;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga;1.71;12.31;7.73;8.0;10.0;9.6;10.8;8.33;8.57;8.23;2.5.0
USA_USLLeagueTwo_NorCal;Davis Legacy;San Francisco City;84.97;ALTA;28;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;3.43;9.09;13.0;8.0;6.06;10.8;8.4;10.0;8.57;7.62;2.5.0
USA_USLLeagueTwo_Southwest;City SC;AMSG FC;84.66;ALTA;28;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga;1.71;11.33;5.37;8.0;10.0;12.0;9.6;8.33;10.0;8.32;2.5.0
USA_USLLeagueTwo_SouthCentral;Swarm FC;East Atlanta;84.44;ALTA;21;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;6.0;13.0;8.86;4.24;10.0;10.8;8.4;8.33;6.0;8.8;2.5.0
Estonia_Esiliiga;Maardu;Flora U21;84.16;ALTA;21;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | profilo over interno debole;1.33;8.54;13.0;7.68;9.09;8.4;12.0;5.56;10.0;8.57;2.5.0
