PredictionDate;MatchDate;LeagueId;Round;Home;Away;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Score;Band;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
16/07/2026;17/07/2026;Estonia_Meistriliiga_2026;21;Flora;Nomme Utd;Estonia_Meistriliiga_2026;Estonia_Meistriliiga_2026;;88.55;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;4.0;12.51;11.51;3.85;10.0;10.8;12.0;7.5;8.89;7.49;2.5.0
16/07/2026;17/07/2026;Iceland_Division_2_2026;24;KFG Gardabaer;Kari;Iceland_Division_2_2026;Iceland_Division_2_2026;;88.29;ALTA;PRO: attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | v22 monitora possibile sopravvalutazione weak_ga;3.82;8.37;13.0;8.0;8.33;9.6;9.6;8.57;10.0;9.0;2.5.0
16/07/2026;17/07/2026;Finland_Kakkonen_GroupC_2026;15;Vaajakoski;Huima / Urho;Finland_Kakkonen_GroupC_2026;Finland_Kakkonen_GroupC_2026;;88.06;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;3.33;12.31;13.0;8.0;8.71;9.6;9.6;8.33;6.67;8.5;2.5.0
16/07/2026;17/07/2026;Iceland_Division_2_2026;24;Haukar;Throttur Vogar;Iceland_Division_2_2026;Iceland_Division_2_2026;;81.13;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;4.36;13.0;9.85;5.03;9.09;9.6;7.2;8.33;6.0;8.65;2.5.0
16/07/2026;17/07/2026;USA_USLLeagueTwo_PlayOff_2026;1;Peoria;Sueno;USA_USLLeagueTwo_GreatPlains_2026;USA_USLLeagueTwo_Heartland_2026;USA_USLLeagueTwo_2026;80.35;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;3.45;13.0;13.0;4.42;4.13;8.4;10.8;7.14;8.33;7.68;2.5.0
16/07/2026;17/07/2026;Australia_NPLWesternAustralia_2026;20;Perth Azzurri;Western Knights;Australia_NPLWesternAustralia_2026;Australia_NPLWesternAustralia_2026;;79.52;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | profilo over esterno debole;1.64;13.0;10.78;7.06;8.02;8.4;8.4;7.14;5.56;9.53;2.5.0
16/07/2026;17/07/2026;Kazakhstan_FirstLeague_2026;23;Tobol 2;Akademiya Ontustik;Kazakhstan_FirstLeague_2026;Kazakhstan_FirstLeague_2026;;78.1;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;3.69;9.55;8.64;8.0;5.94;10.8;8.4;8.57;6.67;7.85;2.5.0
16/07/2026;17/07/2026;Australia_NPL_NSW_U20_2026;25;Sydney FC U20;Manly Utd U20;Australia_NPL_NSW_U20_2026;Australia_NPL_NSW_U20_2026;;76.49;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: profilo over interno debole;0.8;12.85;12.33;6.01;6.13;8.4;8.4;5.83;8.18;7.57;2.5.0
16/07/2026;17/07/2026;Australia_NPLSouthAustralia_2026;20;West Torrens;Para;Australia_NPLSouthAustralia_2026;Australia_NPLSouthAustralia_2026;;74.66;MEDIA;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;6.0;11.82;3.13;5.56;10.0;8.4;8.4;6.25;8.75;6.35;2.5.0
16/07/2026;17/07/2026;USA_USLLeagueTwo_PlayOff_2026;1;Laredo Heat;Texoma;USA_USLLeagueTwo_LoneStar_2026;USA_USLLeagueTwo_Ranger_2026;USA_USLLeagueTwo_2026;74.4;MEDIA;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: BTTS basso: possibile partita a senso unico;1.53;13.0;13.0;1.82;4.9;8.4;9.6;6.67;8.33;7.15;2.5.0
16/07/2026;17/07/2026;Somalia_NationalLeague_2026;23;Badbaado;Dekedaha;Somalia_NationalLeague_2026;Somalia_NationalLeague_2026;;73.65;MEDIA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: trend over trasferta non forte;2.18;10.08;13.0;5.99;5.26;10.8;6.0;6.67;6.0;7.67;2.5.0
16/07/2026;17/07/2026;Australia_VictoriaPremierLeague_2026;22;Melbourne Knights;Brunswick City;Australia_VictoriaPremierLeague_2026;Australia_VictoriaPremierLeague_2026;;70.82;MEDIA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | BTTS basso: possibile partita a senso unico;4.15;10.34;11.52;2.91;9.09;6.0;7.2;6.0;7.0;6.6;2.5.0
16/07/2026;17/07/2026;USA_USLLeagueTwo_PlayOff_2026;1;Colorado Storm;Snohomish United;USA_USLLeagueTwo_Mountain_2026;USA_USLLeagueTwo_Northwest_2026;USA_USLLeagueTwo_2026;70.62;MEDIA;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: BTTS basso: possibile partita a senso unico;0.13;13.0;13.0;0.91;5.84;7.2;10.8;6.67;8.57;4.5;2.5.0
16/07/2026;17/07/2026;Norway_Eliteserien_2026;20;Bodo/Glimt;Fredrikstad;Norway_Eliteserien_2026;Norway_Eliteserien_2026;;70.42;MEDIA;PRO: attacco casa positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;2.8;13.0;7.39;3.33;8.33;7.2;7.2;8.0;6.67;6.5;2.5.0
16/07/2026;17/07/2026;Kazakhstan_FirstLeague_2026;23;Kairat Almaty 2;Kaspij Aktau 2;Kazakhstan_FirstLeague_2026;Kazakhstan_FirstLeague_2026;;69.63;MEDIA;PRO: attacco casa positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | profilo over interno debole | BTTS basso: possibile partita a senso unico;4.62;13.0;7.27;1.96;7.69;9.6;7.2;5.71;7.5;5.08;2.5.0
16/07/2026;17/07/2026;USA_USLLeagueTwo_PlayOff_2026;1;Ocean City;Motown 2;USA_USLLeagueTwo_Metropolitan_2026;USA_USLLeagueTwo_Metropolitan_2026;USA_USLLeagueTwo_2026;69.47;MEDIA;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: BTTS basso: possibile partita a senso unico;1.79;13.0;13.0;1.82;3.41;8.4;9.6;7.14;6.67;4.64;2.5.0
16/07/2026;17/07/2026;Australia_VictoriaPremierLeague_2026;22;Northcote City;Manningham United Blues;Australia_VictoriaPremierLeague_2026;Australia_VictoriaPremierLeague_2026;;69.2;MEDIA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole;1.85;10.05;10.13;3.64;8.66;4.8;9.6;5.0;8.18;7.3;2.5.0
16/07/2026;17/07/2026;Sweden_Allsvenskan_2026;18;Mjallby;Västerås SK;Sweden_Allsvenskan_2026;Sweden_Allsvenskan_2026;;68.59;MEDIA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over esterno positivo || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole | BTTS basso: possibile partita a senso unico;0.8;9.36;10.83;5.15;8.71;6.0;8.4;4.0;8.33;7.0;2.5.0
