LeagueId;Home;Away;Score;Band;Round;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
Australia_NPLACT;Monaro Panthers;Queanbeyan City;89.7;ALTA;18;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;3.33;13.0;12.73;5.33;6.64;10.8;10.8;8.57;10.0;8.49;2.5.0
USA_USLLeagueTwo_GreatForest;Lorain County Leviathan;Erie Sports Center;86.38;ALTA;25;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;5.0;13.0;3.45;6.28;10.0;12.0;12.0;10.0;8.33;6.32;2.5.0
Finland_Kakkonen_GroupC;JBK;Narpes Kraft;85.73;ALTA;14;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;1.33;9.85;13.0;5.45;10.0;9.6;10.8;8.33;10.0;7.36;2.5.0
USA_USLLeagueTwo_LoneStar;Lonestar SC;Hill Country Lobos;84.1;ALTA;26;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;3.0;12.31;11.33;6.67;10.0;7.2;9.6;6.67;8.33;9.0;2.5.0
USA_USLLeagueTwo_Northeast;Black Rock;Seacoast Utd Phantoms;83.5;ALTA;30;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;2.67;9.55;11.33;4.48;10.0;8.4;10.8;6.67;10.0;9.62;2.5.0
Australia_NPLQueensland;Gold Coast Knights;Queensland Lions;83.07;ALTA;19;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.09;13.0;13.0;5.68;5.35;9.6;8.4;8.57;10.0;8.38;2.5.0
Australia_NPLNorthernNSW;Charlestown Azzurri;Weston Bears;81.97;ALTA;19;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;4.36;8.86;11.45;8.0;7.67;10.8;7.2;7.5;7.5;8.62;2.5.0
Kyrgyzstan_PremierLiga;Asia Talas;Abdysh-Ata;77.93;ALTA;16;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | profilo over esterno debole;4.4;13.0;4.73;6.3;8.18;10.8;7.2;10.0;5.71;7.6;2.5.0
USA_USLLeagueTwo_Heartland;Rochester FC;Minneapolis City;76.36;ALTA;24;2026-07-11;PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: attacco casa non dominante | BTTS basso: possibile partita a senso unico;5.25;5.25;13.0;8.0;2.73;10.67;10.8;7.5;7.5;5.67;2.5.0
USA_USLLeagueTwo_Valley;Kings Hammer Columbus;Dayton;64.18;MEDIA;25;2026-07-11;PRO: difesa trasferta vulnerabile | trend over recente casa | profilo over interno positivo || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over trasferta non forte | profilo over esterno debole | BTTS basso: possibile partita a senso unico;1.2;8.27;7.09;5.09;7.73;7.2;6.0;10.0;5.0;6.6;2.5.0
