Rule;Month;OK;N;HitRate;Baseline;Lift
GF14;2025-12;1;3;33.33;38.46;-5.13
GF14;2026-03;4;7;57.14;60.0;-2.86
GF14;2026-04;55;74;74.32;68.72;5.61
GF14;2026-05;159;255;62.35;64.42;-2.06
GF14;2026-06;100;121;82.64;73.8;8.85
GF14;2026-07;18;21;85.71;75.93;9.79
GF14;2026-08;7;11;63.64;54.55;9.09
GF14;2026-09;23;36;63.89;58.88;5.01
GF16;2025-12;0;1;0.0;38.46;-38.46
GF16;2026-03;3;5;60.0;60.0;0.0
GF16;2026-04;36;46;78.26;68.72;9.55
GF16;2026-05;118;186;63.44;64.42;-0.98
GF16;2026-06;78;93;83.87;73.8;10.07
GF16;2026-07;13;14;92.86;75.93;16.93
GF16;2026-08;5;6;83.33;54.55;28.79
GF16;2026-09;15;23;65.22;58.88;6.34
GF18;2025-12;0;1;0.0;38.46;-38.46
GF18;2026-03;1;2;50.0;60.0;-10.0
GF18;2026-04;20;25;80.0;68.72;11.28
GF18;2026-05;72;105;68.57;64.42;4.15
GF18;2026-06;58;69;84.06;73.8;10.26
GF18;2026-07;9;9;100.0;75.93;24.07
GF18;2026-08;2;2;100.0;54.55;45.45
GF18;2026-09;8;14;57.14;58.88;-1.74
GFL5_14;2025-12;1;3;33.33;38.46;-5.13
GFL5_14;2026-03;3;7;42.86;60.0;-17.14
GFL5_14;2026-04;52;70;74.29;68.72;5.57
GFL5_14;2026-05;198;288;68.75;64.42;4.33
GFL5_14;2026-06;98;123;79.67;73.8;5.88
GFL5_14;2026-07;22;25;88.0;75.93;12.07
GFL5_14;2026-08;5;9;55.56;54.55;1.01
GFL5_14;2026-09;24;38;63.16;58.88;4.28
GFL5_16;2025-12;0;2;0.0;38.46;-38.46
GFL5_16;2026-03;3;4;75.0;60.0;15.0
GFL5_16;2026-04;38;51;74.51;68.72;5.79
GFL5_16;2026-05;135;205;65.85;64.42;1.44
GFL5_16;2026-06;84;100;84.0;73.8;10.2
GFL5_16;2026-07;15;16;93.75;75.93;17.82
GFL5_16;2026-08;4;6;66.67;54.55;12.12
GFL5_16;2026-09;16;27;59.26;58.88;0.38
GFL5_18;2025-12;0;1;0.0;38.46;-38.46
GFL5_18;2026-03;3;4;75.0;60.0;15.0
GFL5_18;2026-04;25;35;71.43;68.72;2.71
GFL5_18;2026-05;88;135;65.19;64.42;0.77
GFL5_18;2026-06;65;75;86.67;73.8;12.87
GFL5_18;2026-07;9;9;100.0;75.93;24.07
GFL5_18;2026-08;3;3;100.0;54.55;45.45
GFL5_18;2026-09;10;18;55.56;58.88;-3.32
OVERL5_60;2025-12;0;1;0.0;38.46;-38.46
OVERL5_60;2026-03;2;5;40.0;60.0;-20.0
OVERL5_60;2026-04;74;98;75.51;68.72;6.8
OVERL5_60;2026-05;250;371;67.39;64.42;2.97
OVERL5_60;2026-06;136;173;78.61;73.8;4.81
OVERL5_60;2026-07;27;31;87.1;75.93;11.17
OVERL5_60;2026-08;7;13;53.85;54.55;-0.7
OVERL5_60;2026-09;30;44;68.18;58.88;9.3
OVERL5_70;2026-04;17;23;73.91;68.72;5.2
OVERL5_70;2026-05;99;142;69.72;64.42;5.3
