Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
1;v20;Finland_Kolmonen_Southern_Group2;13;0;2026-07-24;2026-09-20;13;100.0
2;v20;Finland_Kolmonen_Western_Group2;13;0;2026-08-06;2026-09-17;13;100.0
3;v20;Finland_Kolmonen_Eastern_Group3;10;0;2026-07-27;2026-09-19;10;100.0
4;v20;Norway_3rdDivision_Group1;10;1;2026-07-25;2026-09-19;11;90.91
5;v20;Finland_Kakkonen_GroupC;9;1;2026-07-04;2026-09-06;10;90.0
6;v20;Norway_3rdDivision_Group5;9;1;2026-06-26;2026-09-20;10;90.0
7;v20;Estonia_EsiliigaB;7;4;2026-07-12;2026-09-18;11;63.64
8;v20;Finland_Kolmonen_Eastern_Group2;6;1;2026-07-29;2026-09-18;7;85.71
9;v20;Finland_Kolmonen_Southern_Group3;6;1;2026-07-31;2026-09-16;7;85.71
10;v20;Norway_OBOSLigaen;6;1;2026-08-09;2026-09-13;7;85.71
11;v20;Switzerland_PromotionLeague;6;1;2026-09-05;2026-09-19;7;85.71
12;v20;Poland_IIILiga_Group1;6;3;2026-09-05;2026-09-19;9;66.67
13;v20;Poland_IIILiga_Group2;6;3;2026-09-05;2026-09-19;9;66.67
14;v20;Austria_Regionalliga_North;5;0;2026-09-04;2026-09-18;5;100.0
15;v20;Norway_2ndDivision_Group2;5;0;2026-07-25;2026-09-12;5;100.0
16;v20;Iceland_BestaDeildKarla;5;1;2026-07-12;2026-08-30;6;83.33
17;v20;Poland_IIILiga_Group3;5;1;2026-09-05;2026-09-19;6;83.33
18;v20;Austria_Tirol;5;5;2026-09-04;2026-09-19;10;50.0
19;v20;Finland_Kakkonen_GroupB;4;0;2026-07-04;2026-08-15;4;100.0
20;v20;Finland_Kolmonen_North;4;0;2026-08-29;2026-09-19;4;100.0
21;v20;Norway_3rdDivision_Group6;4;0;2026-08-01;2026-09-19;4;100.0
22;v20;Norway_3rdDivision_Group4;4;1;2026-08-01;2026-08-31;5;80.0
23;v20;Austria_Karnten;4;2;2026-09-04;2026-09-18;6;66.67
24;v20;Finland_Ykkonen;3;0;2026-07-11;2026-08-29;3;100.0
25;v20;Estonia_Esiliiga;3;1;2026-07-18;2026-09-14;4;75.0
26;v20;FaroeIslands_1Deild;3;1;2026-08-01;2026-09-18;4;75.0
27;v20;Germany_Oberliga_SchleswigHolstein;3;1;2026-08-30;2026-09-19;4;75.0
28;v20;Netherlands_Eredivisie;3;1;2026-09-12;2026-09-20;4;75.0
29;v20;Austria_Regionalliga_South;3;3;2026-09-04;2026-09-18;6;50.0
30;v20;Wales_CymruPremier;3;3;2026-09-04;2026-09-15;6;50.0
31;v20;CzechRepublic_4Liga_GroupB;2;0;2026-09-12;2026-09-19;2;100.0
32;v20;Estonia_Meistriliiga;2;0;2026-07-16;2026-08-09;2;100.0
33;v20;Finland_Kolmonen_Southern_Group1;2;0;2026-07-29;2026-08-06;2;100.0
34;v20;Germany_Oberliga_RheinlandPfalzSaar;2;0;2026-09-19;2026-09-20;2;100.0
35;v20;Iceland_Division_2;2;0;2026-07-28;2026-08-08;2;100.0
36;v20;Latvia_NakotnesLiga;2;0;2026-07-26;2026-08-08;2;100.0
37;v20;Latvia_Virsliga;2;0;2026-07-18;2026-08-09;2;100.0
