PredictionDate;MatchDate;LeagueId;Round;Home;Away;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Score;Band;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-07-15;2026-07-16;USA_USLLeagueTwo_PlayOff_2026;1;Minneapolis City;West Virginia;USA_USLLeagueTwo_Heartland_2026;USA_USLLeagueTwo_Valley_2026;USA_USLLeagueTwo_2026;68.48;MEDIA-ALTA;Ranking gap: 0.549 | Attacco casa: 3.85/gara | Difesa trasferta subisce: 1.00/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.60;10.98;25.0;;;10.0;13.5;9.0;;;;2.0.0
2026-07-15;2026-07-16;Somalia_NationalLeague_2026;23;Raadsan;Jubba;Somalia_NationalLeague_2026;Somalia_NationalLeague_2026;;65.65;MEDIA-ALTA;Ranking gap: 0.063 | Attacco casa: 1.39/gara | Difesa trasferta subisce: 4.06/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.80;1.26;13.89;;;25.0;13.5;12.0;;;;2.0.0
2026-07-15;2026-07-16;Kazakhstan_FirstLeague_2026;23;Taraz;Aktobe 2;Kazakhstan_FirstLeague_2026;Kazakhstan_FirstLeague_2026;;63.92;MEDIA-ALTA;Ranking gap: 0.015 | Attacco casa: 1.46/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.90;0.3;14.62;;;25.0;10.5;13.5;;;;2.0.0
2026-07-15;2026-07-16;USA_USLLeagueOne_2026;23;Forward Madison;Richmond Kickers;USA_USLLeagueOne_2026;USA_USLLeagueOne_2026;;63.69;MEDIA-ALTA;Ranking gap: 0.581 | Attacco casa: 1.69/gara | Difesa trasferta subisce: 1.71/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.60;11.62;16.92;;;17.14;9.0;9.0;;;;2.0.0
2026-07-15;2026-07-16;Bolivia_DivisionProfesional_2026;13;Academia del Balompie;Independiente;Bolivia_DivisionProfesional_2026;Bolivia_DivisionProfesional_2026;;60.14;MEDIA-ALTA;Ranking gap: 0.007 | Attacco casa: 1.88/gara | Difesa trasferta subisce: 1.50/gara | Over25 casa ultime10: 0.88 | Over25 trasferta ultime10: 0.88;0.14;18.75;;;15.0;13.12;13.12;;;;2.0.0
2026-07-15;2026-07-16;USA_USLLeagueTwo_PlayOff_2026;1;Fort Lauderdale;Swarm FC;USA_USLLeagueTwo_SouthFlorida_2026;USA_USLLeagueTwo_SouthCentral_2026;USA_USLLeagueTwo_2026;59.86;MEDIA;Ranking gap: 0.443 | Attacco casa: 1.83/gara | Difesa trasferta subisce: 1.17/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.90;8.86;18.33;;;11.67;7.5;13.5;;;;2.0.0
2026-07-15;2026-07-16;Iceland_Division_1_2026;22;Afturelding;Leiknir;Iceland_Division_1_2026;Iceland_Division_1_2026;;58.13;MEDIA;Ranking gap: 0.216 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 1.23/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.50;4.32;25.0;;;12.31;9.0;7.5;;;;2.0.0
2026-07-15;2026-07-16;Australia_SAStateLeague_2026;20;Fulham Utd.;Cumberland Utd.;Australia_SAStateLeague_2026;Australia_SAStateLeague_2026;;57.41;MEDIA;Ranking gap: 0.206 | Attacco casa: 2.18/gara | Difesa trasferta subisce: 1.35/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.50;4.12;21.76;;;13.53;10.5;7.5;;;;2.0.0
2026-07-15;2026-07-16;Finland_Kakkonen_GroupA_2026;13;HIFK;PPJ;Finland_Kakkonen_GroupA_2026;Finland_Kakkonen_GroupA_2026;;57.36;MEDIA;Ranking gap: 0.143 | Attacco casa: 2.00/gara | Difesa trasferta subisce: 1.50/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.80;2.86;20.0;;;15.0;7.5;12.0;;;;2.0.0
2026-07-15;2026-07-16;Kazakhstan_FirstLeague_2026;23;Khan Tengri;Yelimay Semey 2;Kazakhstan_FirstLeague_2026;Kazakhstan_FirstLeague_2026;;56.12;MEDIA;Ranking gap: 0.175 | Attacco casa: 1.38/gara | Difesa trasferta subisce: 2.08/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.50;3.5;13.85;;;20.77;10.5;7.5;;;;2.0.0
